sector,subsector,service_or_output_name,region,year,state_id,state_label,state_description,output_unit,output_quantity_basis,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,evidence_summary,derivation_method,assumption_ids,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity?,would_expand_to_process_chain?,energy_co2e,process_co2e,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,state_option_rank,state_option_code,state_option_label,balance_tuning_flag,balance_tuning_note,benchmark_balance_note
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2025,agriculture__cropping_horticulture__conventional,Conventional cropping and horticulture bundle,"Coarse cropping/horticulture activity bundle with farm fuel use, irrigation/pumping electricity and process emissions dominated by soils and fertiliser-related nitrous oxide.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1253.405995, 21.798365, 87.19346]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 87.608283}]","[{""pollutant"": ""CO2e"", ""value"": 472.337221}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,1,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S028"", ""S029"", ""S032""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Low,"Another coarse residual sector block. Useful for whole-economy emissions and liquid-fuels demand, but not robust for commodity-level agricultural supply analysis.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,87.608283,472.337221,progression,10,incumbent,01_incumbent,Incumbent | conventional,TRUE,0,O0,O0 | conventional,FALSE,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2025,agriculture__cropping_horticulture__mitigated,Mitigated cropping and horticulture bundle,"Cropping/horticulture activity bundle with improved fertiliser management, moderate electrification and lower process emissions intensity.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,8000,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1190.735695, 20.708447, 82.833787]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 83.227869}]","[{""pollutant"": ""CO2e"", ""value"": 425.103499}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,0.15,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S006"", ""S028"", ""S029""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Exploratory,Exploratory mitigation state. Best interpreted as a coarse abatement wedge placeholder.,"Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,83.227869,425.103499,progression,20,ambition1,02_ambition1,Ambition 1 | mitigated,FALSE,1,O1,O1 | mitigated,FALSE,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2030,agriculture__cropping_horticulture__conventional,Conventional cropping and horticulture bundle,"Coarse cropping/horticulture activity bundle with farm fuel use, irrigation/pumping electricity and process emissions dominated by soils and fertiliser-related nitrous oxide.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1228.337875, 21.362398, 85.449591]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 85.856118}]","[{""pollutant"": ""CO2e"", ""value"": 462.890476}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,0.9,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S028"", ""S029"", ""S032""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Low,"Another coarse residual sector block. Useful for whole-economy emissions and liquid-fuels demand, but not robust for commodity-level agricultural supply analysis.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,85.856118,462.890476,progression,10,incumbent,01_incumbent,Incumbent | conventional,TRUE,0,O0,O0 | conventional,FALSE,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2030,agriculture__cropping_horticulture__mitigated,Mitigated cropping and horticulture bundle,"Cropping/horticulture activity bundle with improved fertiliser management, moderate electrification and lower process emissions intensity.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,10000,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1153.133515, 20.054496, 80.217984]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 80.599621}]","[{""pollutant"": ""CO2e"", ""value"": 406.21001}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,0.25,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S006"", ""S028"", ""S029""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Exploratory,Exploratory mitigation state. Best interpreted as a coarse abatement wedge placeholder.,"Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,80.599621,406.21001,progression,20,ambition1,02_ambition1,Ambition 1 | mitigated,FALSE,1,O1,O1 | mitigated,FALSE,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2035,agriculture__cropping_horticulture__conventional,Conventional cropping and horticulture bundle,"Coarse cropping/horticulture activity bundle with farm fuel use, irrigation/pumping electricity and process emissions dominated by soils and fertiliser-related nitrous oxide.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1203.269755, 20.926431, 83.705722]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 84.103952}]","[{""pollutant"": ""CO2e"", ""value"": 453.443732}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,0.8,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S028"", ""S029"", ""S032""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Low,"Another coarse residual sector block. Useful for whole-economy emissions and liquid-fuels demand, but not robust for commodity-level agricultural supply analysis.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,84.103952,453.443732,progression,10,incumbent,01_incumbent,Incumbent | conventional,TRUE,0,O0,O0 | conventional,FALSE,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2035,agriculture__cropping_horticulture__mitigated,Mitigated cropping and horticulture bundle,"Cropping/horticulture activity bundle with improved fertiliser management, moderate electrification and lower process emissions intensity.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,13000,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1115.531335, 19.400545, 77.60218]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 77.971372}]","[{""pollutant"": ""CO2e"", ""value"": 387.316521}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,0.4,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S006"", ""S028"", ""S029""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Exploratory,Exploratory mitigation state. Best interpreted as a coarse abatement wedge placeholder.,"Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,77.971372,387.316521,progression,20,ambition1,02_ambition1,Ambition 1 | mitigated,FALSE,1,O1,O1 | mitigated,FALSE,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2040,agriculture__cropping_horticulture__conventional,Conventional cropping and horticulture bundle,"Coarse cropping/horticulture activity bundle with farm fuel use, irrigation/pumping electricity and process emissions dominated by soils and fertiliser-related nitrous oxide.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1178.201635, 20.490463, 81.961853]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 82.351786}]","[{""pollutant"": ""CO2e"", ""value"": 443.996987}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,0.7,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S028"", ""S029"", ""S032""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Low,"Another coarse residual sector block. Useful for whole-economy emissions and liquid-fuels demand, but not robust for commodity-level agricultural supply analysis.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,82.351786,443.996987,progression,10,incumbent,01_incumbent,Incumbent | conventional,TRUE,0,O0,O0 | conventional,FALSE,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2040,agriculture__cropping_horticulture__mitigated,Mitigated cropping and horticulture bundle,"Cropping/horticulture activity bundle with improved fertiliser management, moderate electrification and lower process emissions intensity.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,15000,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1077.929155, 18.746594, 74.986376]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 75.343124}]","[{""pollutant"": ""CO2e"", ""value"": 368.423032}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,0.55,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S006"", ""S028"", ""S029""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Exploratory,Exploratory mitigation state. Best interpreted as a coarse abatement wedge placeholder.,"Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,75.343124,368.423032,progression,20,ambition1,02_ambition1,Ambition 1 | mitigated,FALSE,1,O1,O1 | mitigated,FALSE,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2045,agriculture__cropping_horticulture__conventional,Conventional cropping and horticulture bundle,"Coarse cropping/horticulture activity bundle with farm fuel use, irrigation/pumping electricity and process emissions dominated by soils and fertiliser-related nitrous oxide.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1153.133515, 20.054496, 80.217984]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 80.599621}]","[{""pollutant"": ""CO2e"", ""value"": 434.550243}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,0.6,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S028"", ""S029"", ""S032""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Low,"Another coarse residual sector block. Useful for whole-economy emissions and liquid-fuels demand, but not robust for commodity-level agricultural supply analysis.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,80.599621,434.550243,progression,10,incumbent,01_incumbent,Incumbent | conventional,TRUE,0,O0,O0 | conventional,FALSE,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,2045,agriculture__cropping_horticulture__mitigated,Mitigated cropping and horticulture bundle,"Cropping/horticulture activity bundle with improved fertiliser management, moderate electrification and lower process emissions intensity.",A$m_output_2024,One million 2024 Australian dollars of farm-gate output in the named coarse agricultural bundle.,17000,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1040.326975, 18.092643, 72.370572]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 72.714875}]","[{""pollutant"": ""CO2e"", ""value"": 349.529543}]",tCO2e/A$m_output_2024,Direct on-farm energy and process emissions represented at a coarse bundle level. Major non-CO2 agricultural emissions are embedded in the process-emissions CO2e coefficient.,0.65,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector states; not suitable for detailed agricultural technology competition.,"[""S006"", ""S028"", ""S029""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,"[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]",Exploratory,Exploratory mitigation state. Best interpreted as a coarse abatement wedge placeholder.,"Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE,72.714875,349.529543,progression,20,ambition1,02_ambition1,Ambition 1 | mitigated,FALSE,1,O1,O1 | mitigated,FALSE,,
