family_id,state_id,year,state_label,state_description,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity?,would_expand_to_process_chain?,energy_co2e,process_co2e,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,state_option_rank,state_option_code,state_option_label,balance_tuning_flag,balance_tuning_note,benchmark_balance_note
crude_steel,steel__crude_steel__bf_bof_ccs_transition,2025,CCS-influenced BF-BOF steel,"Primary steel route retaining BF/BOF logic but with substantial capture and storage, lower residual emissions and higher power use.",105,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""sequestration_service""]","[1.6, 11.0, 2.0, 0.7, 0.15, 1.2]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 0.7}]","[{""pollutant"": ""CO2e"", ""value"": 0.15}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,0,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific.","Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,0.7,0.15,progression,30,ambition2,03_ambition2,Ambition 2 | bf bof ccs transition,FALSE,2,O2,O2 | bf bof ccs transition,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
crude_steel,steel__crude_steel__bf_bof_ccs_transition,2030,CCS-influenced BF-BOF steel,"Primary steel route retaining BF/BOF logic but with substantial capture and storage, lower residual emissions and higher power use.",100,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""sequestration_service""]","[1.59, 10.5, 2.0, 0.72, 0.15, 1.25]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 0.65}]","[{""pollutant"": ""CO2e"", ""value"": 0.14}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,0.3,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific.","Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,0.65,0.14,progression,30,ambition2,03_ambition2,Ambition 2 | bf bof ccs transition,FALSE,2,O2,O2 | bf bof ccs transition,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
crude_steel,steel__crude_steel__bf_bof_ccs_transition,2035,CCS-influenced BF-BOF steel,"Primary steel route retaining BF/BOF logic but with substantial capture and storage, lower residual emissions and higher power use.",95,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""sequestration_service""]","[1.58, 10.0, 1.9, 0.74, 0.15, 1.3]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 0.6}]","[{""pollutant"": ""CO2e"", ""value"": 0.13}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,0.4,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific.","Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,0.6,0.13,progression,30,ambition2,03_ambition2,Ambition 2 | bf bof ccs transition,FALSE,2,O2,O2 | bf bof ccs transition,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
crude_steel,steel__crude_steel__bf_bof_ccs_transition,2040,CCS-influenced BF-BOF steel,"Primary steel route retaining BF/BOF logic but with substantial capture and storage, lower residual emissions and higher power use.",90,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""sequestration_service""]","[1.57, 9.5, 1.8, 0.76, 0.15, 1.3]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 0.55}]","[{""pollutant"": ""CO2e"", ""value"": 0.12}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,0.4,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific.","Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,0.55,0.12,progression,30,ambition2,03_ambition2,Ambition 2 | bf bof ccs transition,FALSE,2,O2,O2 | bf bof ccs transition,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
crude_steel,steel__crude_steel__bf_bof_ccs_transition,2045,CCS-influenced BF-BOF steel,"Primary steel route retaining BF/BOF logic but with substantial capture and storage, lower residual emissions and higher power use.",88,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""sequestration_service""]","[1.56, 9.0, 1.7, 0.78, 0.15, 1.3]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 0.5}]","[{""pollutant"": ""CO2e"", ""value"": 0.11}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,0.35,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific.","Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,0.5,0.11,progression,30,ambition2,03_ambition2,Ambition 2 | bf bof ccs transition,FALSE,2,O2,O2 | bf bof ccs transition,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
crude_steel,steel__crude_steel__bf_bof_ccs_transition,2050,CCS-influenced BF-BOF steel,"Primary steel route retaining BF/BOF logic but with substantial capture and storage, lower residual emissions and higher power use.",85,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""sequestration_service""]","[1.55, 8.5, 1.6, 0.8, 0.15, 1.3]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 0.45}]","[{""pollutant"": ""CO2e"", ""value"": 0.1}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,0.25,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific.","Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,0.45,0.1,progression,30,ambition2,03_ambition2,Ambition 2 | bf bof ccs transition,FALSE,2,O2,O2 | bf bof ccs transition,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
crude_steel,steel__crude_steel__bf_bof_conventional,2025,Conventional BF-BOF steel,"Conventional blast-furnace / basic-oxygen-furnace crude steel route using iron ore, coal and some gas, with small scrap input.",80,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel""]","[1.6, 18.0, 1.0, 0.45, 0.15]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 1.7}]","[{""pollutant"": ""CO2e"", ""value"": 0.3}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,1,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S022"", ""S023"", ""S024"", ""S033"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Low,Route intensity is consistent with conventional primary steel benchmarks rather than a plant-specific Australian reconciliation.,"Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,1.7,0.3,progression,10,incumbent,01_incumbent,Incumbent | bf bof conventional,TRUE,0,O0,O0 | bf bof conventional,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
crude_steel,steel__crude_steel__bf_bof_conventional,2030,Conventional BF-BOF steel,"Conventional blast-furnace / basic-oxygen-furnace crude steel route using iron ore, coal and some gas, with small scrap input.",80,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel""]","[1.6, 17.8, 1.0, 0.44, 0.15]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 1.67}]","[{""pollutant"": ""CO2e"", ""value"": 0.29}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,0.75,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S022"", ""S023"", ""S024"", ""S033"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Low,Route intensity is consistent with conventional primary steel benchmarks rather than a plant-specific Australian reconciliation.,"Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,1.67,0.29,progression,10,incumbent,01_incumbent,Incumbent | bf bof conventional,TRUE,0,O0,O0 | bf bof conventional,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
crude_steel,steel__crude_steel__bf_bof_conventional,2035,Conventional BF-BOF steel,"Conventional blast-furnace / basic-oxygen-furnace crude steel route using iron ore, coal and some gas, with small scrap input.",80,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel""]","[1.59, 17.5, 0.9, 0.43, 0.15]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 1.63}]","[{""pollutant"": ""CO2e"", ""value"": 0.28}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,0.5,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S022"", ""S023"", ""S024"", ""S033"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Low,Route intensity is consistent with conventional primary steel benchmarks rather than a plant-specific Australian reconciliation.,"Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,1.63,0.28,progression,10,incumbent,01_incumbent,Incumbent | bf bof conventional,TRUE,0,O0,O0 | bf bof conventional,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
crude_steel,steel__crude_steel__bf_bof_conventional,2040,Conventional BF-BOF steel,"Conventional blast-furnace / basic-oxygen-furnace crude steel route using iron ore, coal and some gas, with small scrap input.",80,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and sequestration service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel""]","[1.58, 17.2, 0.9, 0.42, 0.15]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 1.6}]","[{""pollutant"": ""CO2e"", ""value"": 0.27}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply states if desired.,0.3,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S022"", ""S023"", ""S024"", ""S033"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Low,Route intensity is consistent with conventional primary steel benchmarks rather than a plant-specific Australian reconciliation.,"Split into explicit BF-coke sinter-hot metal-BOF chain; scrap-EAF chain; DRI shaft furnace + EAF or electric smelter chain; capture, compression and storage modules.","This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE,1.6,0.27,progression,10,incumbent,01_incumbent,Incumbent | bf bof conventional,TRUE,0,O0,O0 | bf bof conventional,FALSE,,"For 2025 benchmark commodity closure, BF-BOF coal is mapped 40% to final-energy coal and 60% to process_reductant_coal. Gross model input demand still retains 100% of the coal input for pricing and process representation."
