role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__incumbent_mixed_fuels,2025,2.5,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas"",""refined_liquid_fuels"",""biomass""]","[0.45,0.5,0.02,0.03]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.027145}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,1,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S001"",""S002"",""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Incumbent hot-water fuel mix is split from aggregate residential building service evidence for the comparison pilot.,V1 reduced-form allocation using a fixed water-heating activity coefficient and incumbent final-energy shares.,Exploratory,Declining max_share is an indicative availability envelope for retaining incumbent mixed-fuel hot-water service.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__incumbent_mixed_fuels,2030,2.5,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas"",""refined_liquid_fuels"",""biomass""]","[0.45,0.5,0.02,0.03]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.027145}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,0.85,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S001"",""S002"",""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Incumbent hot-water fuel mix is split from aggregate residential building service evidence for the comparison pilot.,V1 reduced-form allocation using a fixed water-heating activity coefficient and incumbent final-energy shares.,Exploratory,Declining max_share is an indicative availability envelope for retaining incumbent mixed-fuel hot-water service.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__incumbent_mixed_fuels,2035,2.5,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas"",""refined_liquid_fuels"",""biomass""]","[0.45,0.5,0.02,0.03]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.027145}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,0.65,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S001"",""S002"",""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Incumbent hot-water fuel mix is split from aggregate residential building service evidence for the comparison pilot.,V1 reduced-form allocation using a fixed water-heating activity coefficient and incumbent final-energy shares.,Exploratory,Declining max_share is an indicative availability envelope for retaining incumbent mixed-fuel hot-water service.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__incumbent_mixed_fuels,2040,2.5,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas"",""refined_liquid_fuels"",""biomass""]","[0.45,0.5,0.02,0.03]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.027145}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,0.45,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S001"",""S002"",""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Incumbent hot-water fuel mix is split from aggregate residential building service evidence for the comparison pilot.,V1 reduced-form allocation using a fixed water-heating activity coefficient and incumbent final-energy shares.,Exploratory,Declining max_share is an indicative availability envelope for retaining incumbent mixed-fuel hot-water service.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__incumbent_mixed_fuels,2045,2.5,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas"",""refined_liquid_fuels"",""biomass""]","[0.45,0.5,0.02,0.03]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.027145}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,0.25,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S001"",""S002"",""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Incumbent hot-water fuel mix is split from aggregate residential building service evidence for the comparison pilot.,V1 reduced-form allocation using a fixed water-heating activity coefficient and incumbent final-energy shares.,Exploratory,Declining max_share is an indicative availability envelope for retaining incumbent mixed-fuel hot-water service.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__incumbent_mixed_fuels,2050,2.5,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas"",""refined_liquid_fuels"",""biomass""]","[0.45,0.5,0.02,0.03]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.027145}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,0.1,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S001"",""S002"",""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A005"",""A022"",""A023""]",Incumbent hot-water fuel mix is split from aggregate residential building service evidence for the comparison pilot.,V1 reduced-form allocation using a fixed water-heating activity coefficient and incumbent final-energy shares.,Exploratory,Declining max_share is an indicative availability envelope for retaining incumbent mixed-fuel hot-water service.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__heat_pump_transition,2025,4.5,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas"",""biomass""]","[0.42,0.14,0.01]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.007214}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,0.2,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A022"",""A023""]",Transition pathway reflects heat-pump uptake with some residual gas-boosted service in earlier years.,Smoothed electricity intensity and residual gas shares across milestone years.,Exploratory,Aggregate transition pathway for fast solves; technology bundle will hold individual technology assumptions.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__heat_pump_transition,2030,4.1,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas"",""biomass""]","[0.39,0.1,0.005]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.005153}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,0.5,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A022"",""A023""]",Transition pathway reflects heat-pump uptake with some residual gas-boosted service in earlier years.,Smoothed electricity intensity and residual gas shares across milestone years.,Exploratory,Aggregate transition pathway for fast solves; technology bundle will hold individual technology assumptions.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__heat_pump_transition,2035,3.8,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas""]","[0.36,0.06]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.003092}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,0.8,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A022"",""A023""]",Transition pathway reflects heat-pump uptake with some residual gas-boosted service in earlier years.,Smoothed electricity intensity and residual gas shares across milestone years.,Exploratory,Aggregate transition pathway for fast solves; technology bundle will hold individual technology assumptions.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
provide_residential_water_heating,provide_residential_water_heating__pathway_bundle,buildings__residential_water_heating__heat_pump_transition,2040,3.5,2024,AUD_2024,Annualised hot-water equipment and service-delivery cost excluding explicit commodity purchases and carbon costs.,"[""electricity"",""natural_gas""]","[0.33,0.035]","[""GJ/GJ_hot_water_service"",""GJ/GJ_hot_water_service""]",Direct final-energy inputs only. Electricity-related emissions are excluded from end-use coefficients and represented by electricity supply methods.,"[{""pollutant"":""CO2e"",""value"":0.001804}]","[{""pollutant"":""CO2e"",""value"":0.0}]",tCO2e/GJ_hot_water_service,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients to avoid double counting.,1,,,Indicative stock-turnover envelope only; no explicit household stock model in this aggregate pathway representation.,Available in all milestone years as an aggregate hot-water service pathway.,"[""S018"",""S019"",""S020"",""S032""]","[""A002"",""A003"",""A004"",""A022"",""A023""]",Transition pathway reflects heat-pump uptake with some residual gas-boosted service in earlier years.,Smoothed electricity intensity and residual gas shares across milestone years.,Exploratory,Aggregate transition pathway for fast solves; technology bundle will hold individual technology assumptions.,"Can expand into gas storage/instantaneous, resistive electric, electric heat-pump, and solar/boosted water-heating technologies.",Maps to a useful hot-water demand service with competing water-heating technologies in a TIMES-style demand module.,FALSE,FALSE
