role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__conventional,2025,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1768.488746, 38.585209, 154.340836]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 124.014019}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,1,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S027"", ""S032""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Low,"This is a coarse residual sector block intended to preserve agriculture in national emissions accounting, not a farm-system model. Biological process emissions are now represented by explicit residual roles.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__conventional,2030,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1733.118971, 37.813505, 151.254019]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 121.533739}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,0.9,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S027"", ""S032""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Low,"This is a coarse residual sector block intended to preserve agriculture in national emissions accounting, not a farm-system model. Biological process emissions are now represented by explicit residual roles.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__conventional,2035,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1697.749196, 37.041801, 148.167203]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 119.053459}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,0.8,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S027"", ""S032""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Low,"This is a coarse residual sector block intended to preserve agriculture in national emissions accounting, not a farm-system model. Biological process emissions are now represented by explicit residual roles.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__conventional,2040,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1662.379421, 36.270096, 145.080386]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 116.573178}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,0.7,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S027"", ""S032""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Low,"This is a coarse residual sector block intended to preserve agriculture in national emissions accounting, not a farm-system model. Biological process emissions are now represented by explicit residual roles.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__conventional,2045,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1627.009646, 35.498392, 141.993569]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 114.092898}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,0.6,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S027"", ""S032""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Low,"This is a coarse residual sector block intended to preserve agriculture in national emissions accounting, not a farm-system model. Biological process emissions are now represented by explicit residual roles.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__conventional,2050,0,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1591.639871, 34.726688, 138.906752]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 111.612617}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,0.5,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S001"", ""S002"", ""S006"", ""S027"", ""S032""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Low,"This is a coarse residual sector block intended to preserve agriculture in national emissions accounting, not a farm-system model. Biological process emissions are now represented by explicit residual roles.","Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__mitigated,2025,10000,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1680.064309, 36.655949, 146.623794]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 117.813318}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,0.15,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S006"", ""S027""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Exploratory,Highly simplified mitigation method. Use for coarse sensitivity only until a proper agricultural abatement supply model is built. Biological process emissions are now represented by explicit residual roles.,"Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__mitigated,2030,12000,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1644.694534, 35.884244, 143.536977]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 115.333038}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,0.25,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S006"", ""S027""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Exploratory,Highly simplified mitigation method. Use for coarse sensitivity only until a proper agricultural abatement supply model is built. Biological process emissions are now represented by explicit residual roles.,"Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__mitigated,2035,15000,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1609.324759, 35.11254, 140.450161]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 112.852758}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,0.4,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S006"", ""S027""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Exploratory,Highly simplified mitigation method. Use for coarse sensitivity only until a proper agricultural abatement supply model is built. Biological process emissions are now represented by explicit residual roles.,"Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
raise_livestock_output,raise_livestock_output__pathway_bundle,agriculture__livestock__mitigated,2040,18000,2024,AUD_2024,Placeholder incremental non-energy supply/abatement cost. Full agricultural production cost is outside Phase 1 scope.,"[""refined_liquid_fuels"", ""natural_gas"", ""electricity""]","[1573.954984, 34.340836, 137.363344]","[""GJ/A$m_output_2024"", ""GJ/A$m_output_2024"", ""GJ/A$m_output_2024""]","Direct on-farm energy inputs only, allocated from official agriculture sector totals using bundle-level assumptions. Input coefficients are coarse and value-normalised.","[{""pollutant"": ""CO2e"", ""value"": 110.372477}]","[{""pollutant"":""CO2e"",""value"":0}]",tCO2e/A$m_output_2024,Direct on-farm energy emissions only. Biological process emissions are carried by explicit residual roles to keep product-output roles from hiding non-CO2 emissions.,0.55,,,"Indicative upper-bound envelope only. Does not represent commodity markets, land competition or herd/crop stock dynamics.",Available in all milestone years as coarse residual sector methods; not suitable for detailed agricultural technology competition.,"[""S006"", ""S027""]","[""A002"", ""A003"", ""A018"", ""A019"", ""A022"", ""A023""]","Anchored to official agriculture energy totals, official agriculture emissions totals, and ABS output-value data, with explicit bundle-allocation assumptions.",Coarse residual-sector synthesis. Official agriculture energy and emissions totals are allocated to two output bundles using transparent assumptions so the MVP model can retain agriculture without process-level build-out.,Exploratory,Highly simplified mitigation method. Use for coarse sensitivity only until a proper agricultural abatement supply model is built. Biological process emissions are now represented by explicit residual roles.,"Split into cattle, sheep, dairy, broadacre crops, horticulture, fertiliser and manure management submodules.","Would likely remain partly reduced-form even in TIMES, but could expand into livestock and cropping activity/process chains with explicit non-CO2 emissions modules.",FALSE,TRUE
