role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__deep_electric,2025,7,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""refined_liquid_fuels""]","[0.7, 0.01, 0.01]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.001205}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.15,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service method in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__deep_electric,2030,6,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.66],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.35,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service method in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__deep_electric,2035,5.4,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.6],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.6,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service method in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__deep_electric,2040,4.9,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.55],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.85,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service method in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__deep_electric,2045,4.5,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.52],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.95,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service method in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__deep_electric,2050,4.2,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.5],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service method in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__electrified_efficiency,2025,5.5,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""refined_liquid_fuels""]","[0.74, 0.06, 0.02]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.004472}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.45,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Captures a pragmatic commercial electrification pathway without requiring full end-use disaggregation in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__electrified_efficiency,2030,5.2,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""refined_liquid_fuels""]","[0.714286,0.040816,0.020408]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"":""CO2e"",""value"":0.003511}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.8,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Captures a pragmatic commercial electrification pathway without requiring full end-use disaggregation in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__electrified_efficiency,2035,4.9,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas""]","[0.708333,0.020833]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"":""CO2e"",""value"":0.001074}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.95,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Captures a pragmatic commercial electrification pathway without requiring full end-use disaggregation in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_commercial_building_occupants,serve_commercial_building_occupants__pathway_bundle,buildings__commercial__electrified_efficiency,2040,4.7,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.680851],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"":""CO2e"",""value"":0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Captures a pragmatic commercial electrification pathway without requiring full end-use disaggregation in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
