role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__electrified,2025,9,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[1.1],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.05,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S030""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Exploratory,"Useful sensitivity method, but evidence for aggregate national high-temperature electrification remains thin.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__electrified,2030,8.7,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[1.05],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.1,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S030""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Exploratory,"Useful sensitivity method, but evidence for aggregate national high-temperature electrification remains thin.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__electrified,2035,8.3,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[1.0],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.2,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S030""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Exploratory,"Useful sensitivity method, but evidence for aggregate national high-temperature electrification remains thin.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__electrified,2040,7.8,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.95],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.35,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S030""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Exploratory,"Useful sensitivity method, but evidence for aggregate national high-temperature electrification remains thin.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__electrified,2045,7.3,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.9],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.5,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S030""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Exploratory,"Useful sensitivity method, but evidence for aggregate national high-temperature electrification remains thin.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__electrified,2050,6.8,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.85],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.65,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S030""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Exploratory,"Useful sensitivity method, but evidence for aggregate national high-temperature electrification remains thin.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__fossil,2025,6,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""coal"", ""natural_gas"", ""biomass""]","[0.15, 0.45, 0.4]","[""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat""]",Calibration-oriented reduced-form incumbent heat mix. Fuel coefficients were re-tuned in the balance-ready pack to improve 2025 Australian commodity closure while retaining a plausible mixed-fuel incumbent representation.,"[{""pollutant"": ""CO2e"", ""value"": 0.036686}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Balance-ready incumbent. Use as a calibration-oriented national average, not a plant-specific archetype.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__fossil,2030,6.1,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""coal"", ""natural_gas"", ""biomass""]","[0.140421,0.421264,0.441324]","[""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat""]",Calibration-oriented reduced-form incumbent heat mix. Fuel coefficients were re-tuned in the balance-ready pack to improve 2025 Australian commodity closure while retaining a plausible mixed-fuel incumbent representation.,"[{""pollutant"":""CO2e"",""value"":0.034343}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.9,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Balance-ready incumbent. Use as a calibration-oriented national average, not a plant-specific archetype.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__fossil,2035,6.2,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""coal"", ""natural_gas"", ""biomass""]","[0.130785,0.392354,0.482897]","[""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat""]",Calibration-oriented reduced-form incumbent heat mix. Fuel coefficients were re-tuned in the balance-ready pack to improve 2025 Australian commodity closure while retaining a plausible mixed-fuel incumbent representation.,"[{""pollutant"":""CO2e"",""value"":0.031986}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.75,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Balance-ready incumbent. Use as a calibration-oriented national average, not a plant-specific archetype.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_high_temperature_heat,deliver_high_temperature_heat__pathway_bundle,generic_industrial_heat__high_temperature_heat__fossil,2040,6.3,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""coal"", ""natural_gas"", ""biomass""]","[0.12109,0.363269,0.524723]","[""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat""]",Calibration-oriented reduced-form incumbent heat mix. Fuel coefficients were re-tuned in the balance-ready pack to improve 2025 Australian commodity closure while retaining a plausible mixed-fuel incumbent representation.,"[{""pollutant"":""CO2e"",""value"":0.029615}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.6,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Balance-ready incumbent. Use as a calibration-oriented national average, not a plant-specific archetype.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
