family_id,state_id,year,state_label,state_description,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity?,would_expand_to_process_chain?,energy_co2e,process_co2e,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,state_option_rank,state_option_code,state_option_label,balance_tuning_flag,balance_tuning_note,benchmark_balance_note
cement_equivalent,cement_clinker__cement_equivalent__ccs_deep,2025,Deep-abatement cement with CCS,Low-clinker cement route with high alternative-fuel use and substantial CO2 capture and storage from clinker production.,55,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""hydrogen"", ""electricity"", ""capture_service""]","[0.7, 0.6, 0.7, 0.05, 0.13, 0.45]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent"", ""t/t_cement_equivalent""]","Direct thermal fuels, electricity and capture service only. Limestone and minor raw material flows are omitted; process emissions are represented separately.","[{""pollutant"": ""CO2e"", ""value"": 0.08}]","[{""pollutant"": ""CO2e"", ""value"": 0.2}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S030""]","[""A002"", ""A003"", ""A010"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Low,"CCS is probably necessary for very low clinker-sector emissions, but the Australian cost and rollout evidence is much weaker than for clinker-factor and fuel-switch changes.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.08,0.2,progression,30,ambition2,03_ambition2,Ambition 2 | ccs deep,FALSE,2,O2,O2 | ccs deep,FALSE,,
cement_equivalent,cement_clinker__cement_equivalent__ccs_deep,2030,Deep-abatement cement with CCS,Low-clinker cement route with high alternative-fuel use and substantial CO2 capture and storage from clinker production.,50,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""hydrogen"", ""electricity"", ""capture_service""]","[0.5, 0.45, 0.85, 0.1, 0.14, 0.5]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent"", ""t/t_cement_equivalent""]","Direct thermal fuels, electricity and capture service only. Limestone and minor raw material flows are omitted; process emissions are represented separately.","[{""pollutant"": ""CO2e"", ""value"": 0.06}]","[{""pollutant"": ""CO2e"", ""value"": 0.15}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0.05,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S030""]","[""A002"", ""A003"", ""A010"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Low,"CCS is probably necessary for very low clinker-sector emissions, but the Australian cost and rollout evidence is much weaker than for clinker-factor and fuel-switch changes.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.06,0.15,progression,30,ambition2,03_ambition2,Ambition 2 | ccs deep,FALSE,2,O2,O2 | ccs deep,FALSE,,
cement_equivalent,cement_clinker__cement_equivalent__ccs_deep,2035,Deep-abatement cement with CCS,Low-clinker cement route with high alternative-fuel use and substantial CO2 capture and storage from clinker production.,45,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""hydrogen"", ""electricity"", ""capture_service""]","[0.4, 0.35, 1.0, 0.15, 0.15, 0.55]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent"", ""t/t_cement_equivalent""]","Direct thermal fuels, electricity and capture service only. Limestone and minor raw material flows are omitted; process emissions are represented separately.","[{""pollutant"": ""CO2e"", ""value"": 0.05}]","[{""pollutant"": ""CO2e"", ""value"": 0.12}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0.15,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S030""]","[""A002"", ""A003"", ""A010"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Low,"CCS is probably necessary for very low clinker-sector emissions, but the Australian cost and rollout evidence is much weaker than for clinker-factor and fuel-switch changes.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.05,0.12,progression,30,ambition2,03_ambition2,Ambition 2 | ccs deep,FALSE,2,O2,O2 | ccs deep,FALSE,,
cement_equivalent,cement_clinker__cement_equivalent__ccs_deep,2040,Deep-abatement cement with CCS,Low-clinker cement route with high alternative-fuel use and substantial CO2 capture and storage from clinker production.,40,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""hydrogen"", ""electricity"", ""capture_service""]","[0.3, 0.25, 1.1, 0.2, 0.15, 0.6]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent"", ""t/t_cement_equivalent""]","Direct thermal fuels, electricity and capture service only. Limestone and minor raw material flows are omitted; process emissions are represented separately.","[{""pollutant"": ""CO2e"", ""value"": 0.04}]","[{""pollutant"": ""CO2e"", ""value"": 0.1}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0.25,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S030""]","[""A002"", ""A003"", ""A010"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Low,"CCS is probably necessary for very low clinker-sector emissions, but the Australian cost and rollout evidence is much weaker than for clinker-factor and fuel-switch changes.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.04,0.1,progression,30,ambition2,03_ambition2,Ambition 2 | ccs deep,FALSE,2,O2,O2 | ccs deep,FALSE,,
cement_equivalent,cement_clinker__cement_equivalent__ccs_deep,2045,Deep-abatement cement with CCS,Low-clinker cement route with high alternative-fuel use and substantial CO2 capture and storage from clinker production.,38,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""hydrogen"", ""electricity"", ""capture_service""]","[0.2, 0.2, 1.2, 0.25, 0.14, 0.65]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent"", ""t/t_cement_equivalent""]","Direct thermal fuels, electricity and capture service only. Limestone and minor raw material flows are omitted; process emissions are represented separately.","[{""pollutant"": ""CO2e"", ""value"": 0.03}]","[{""pollutant"": ""CO2e"", ""value"": 0.08}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0.4,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S030""]","[""A002"", ""A003"", ""A010"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Low,"CCS is probably necessary for very low clinker-sector emissions, but the Australian cost and rollout evidence is much weaker than for clinker-factor and fuel-switch changes.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.03,0.08,progression,30,ambition2,03_ambition2,Ambition 2 | ccs deep,FALSE,2,O2,O2 | ccs deep,FALSE,,
cement_equivalent,cement_clinker__cement_equivalent__ccs_deep,2050,Deep-abatement cement with CCS,Low-clinker cement route with high alternative-fuel use and substantial CO2 capture and storage from clinker production.,35,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""hydrogen"", ""electricity"", ""capture_service""]","[0.1, 0.15, 1.3, 0.3, 0.14, 0.7]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent"", ""t/t_cement_equivalent""]","Direct thermal fuels, electricity and capture service only. Limestone and minor raw material flows are omitted; process emissions are represented separately.","[{""pollutant"": ""CO2e"", ""value"": 0.02}]","[{""pollutant"": ""CO2e"", ""value"": 0.06}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0.6,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S030""]","[""A002"", ""A003"", ""A010"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Low,"CCS is probably necessary for very low clinker-sector emissions, but the Australian cost and rollout evidence is much weaker than for clinker-factor and fuel-switch changes.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.02,0.06,progression,30,ambition2,03_ambition2,Ambition 2 | ccs deep,FALSE,2,O2,O2 | ccs deep,FALSE,,
cement_equivalent,cement_clinker__cement_equivalent__conventional,2025,Incumbent cement with current clinker ratio,Reduced-form incumbent Australian cement-equivalent supply with current clinker ratio and recalibrated mixed-fuel kiln use for better national commodity closure.,22,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""electricity""]","[0.6, 0.8, 0.4, 0.1]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent""]","Calibration-oriented incumbent kiln fuel mix. Coal, gas and biomass shares were re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the incumbent cement route.","[{""pollutant"": ""CO2e"", ""value"": 0.095212}]","[{""pollutant"": ""CO2e"", ""value"": 0.648}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,1,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Medium,"Balance-ready incumbent cement state. Intended for national reduced-form calibration, not plant-level replication.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.095212,0.648,progression,10,incumbent,01_incumbent,Incumbent | current clinker ratio,TRUE,0,O0,O0 | current clinker ratio,TRUE,Incumbent kiln fuel mix re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the conventional cement route.,
cement_equivalent,cement_clinker__cement_equivalent__conventional,2030,Incumbent cement with current clinker ratio,Reduced-form incumbent Australian cement-equivalent supply with current clinker ratio and recalibrated mixed-fuel kiln use for better national commodity closure.,22,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""electricity""]","[0.55, 0.78, 0.45, 0.1]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent""]","Calibration-oriented incumbent kiln fuel mix. Coal, gas and biomass shares were re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the incumbent cement route.","[{""pollutant"": ""CO2e"", ""value"": 0.089682}]","[{""pollutant"": ""CO2e"", ""value"": 0.63}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0.7,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Medium,"Balance-ready incumbent cement state. Intended for national reduced-form calibration, not plant-level replication.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.089682,0.63,progression,10,incumbent,01_incumbent,Incumbent | current clinker ratio,TRUE,0,O0,O0 | current clinker ratio,TRUE,Incumbent kiln fuel mix re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the conventional cement route.,
cement_equivalent,cement_clinker__cement_equivalent__conventional,2035,Incumbent cement with current clinker ratio,Reduced-form incumbent Australian cement-equivalent supply with current clinker ratio and recalibrated mixed-fuel kiln use for better national commodity closure.,23,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""electricity""]","[0.5, 0.76, 0.5, 0.1]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent""]","Calibration-oriented incumbent kiln fuel mix. Coal, gas and biomass shares were re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the incumbent cement route.","[{""pollutant"": ""CO2e"", ""value"": 0.084153}]","[{""pollutant"": ""CO2e"", ""value"": 0.61}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0.5,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Medium,"Balance-ready incumbent cement state. Intended for national reduced-form calibration, not plant-level replication.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.084153,0.61,progression,10,incumbent,01_incumbent,Incumbent | current clinker ratio,TRUE,0,O0,O0 | current clinker ratio,TRUE,Incumbent kiln fuel mix re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the conventional cement route.,
cement_equivalent,cement_clinker__cement_equivalent__conventional,2040,Incumbent cement with current clinker ratio,Reduced-form incumbent Australian cement-equivalent supply with current clinker ratio and recalibrated mixed-fuel kiln use for better national commodity closure.,23,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""electricity""]","[0.45, 0.74, 0.55, 0.095]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent""]","Calibration-oriented incumbent kiln fuel mix. Coal, gas and biomass shares were re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the incumbent cement route.","[{""pollutant"": ""CO2e"", ""value"": 0.078623}]","[{""pollutant"": ""CO2e"", ""value"": 0.59}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0.3,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Medium,"Balance-ready incumbent cement state. Intended for national reduced-form calibration, not plant-level replication.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.078623,0.59,progression,10,incumbent,01_incumbent,Incumbent | current clinker ratio,TRUE,0,O0,O0 | current clinker ratio,TRUE,Incumbent kiln fuel mix re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the conventional cement route.,
cement_equivalent,cement_clinker__cement_equivalent__conventional,2045,Incumbent cement with current clinker ratio,Reduced-form incumbent Australian cement-equivalent supply with current clinker ratio and recalibrated mixed-fuel kiln use for better national commodity closure.,24,2024,AUD_2024,"Annualised kiln, grinding and process-equipment cost excluding explicitly listed fuel, electricity and capture service purchases. Carbon prices excluded.","[""coal"", ""natural_gas"", ""biomass"", ""electricity""]","[0.4, 0.72, 0.6, 0.093]","[""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""GJ/t_cement_equivalent"", ""MWh/t_cement_equivalent""]","Calibration-oriented incumbent kiln fuel mix. Coal, gas and biomass shares were re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the incumbent cement route.","[{""pollutant"": ""CO2e"", ""value"": 0.073094}]","[{""pollutant"": ""CO2e"", ""value"": 0.57}]",tCO2e/t_cement_equivalent,Direct plant emissions only. Process emissions represent clinker calcination at a cement-equivalent basis using clinker-factor assumptions.,0.2,,,"Indicative upper-bound envelope only. SCM availability, waste-fuel supply and CCS infrastructure constraints are only partly represented.",Conventional and low-clinker states are available from 2025; CCS ramps gradually from 2030 via the max-share envelope.,"[""S025"", ""S026"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A016"", ""A017"", ""A022"", ""A023""]","Strongly anchored to Australian CIF decarbonisation pathway evidence, cross-checked with current Australian production and international IEA intensity benchmarks.","Australian industry pathway synthesis. Clinker ratio and clinker process-factor evidence are converted to per-tonne cement-equivalent process emissions, while fuel and electricity coefficients reflect CIF pathway and current industry-energy data.",Medium,"Balance-ready incumbent cement state. Intended for national reduced-form calibration, not plant-level replication.","Split to clinker kiln, SCM supply, cement grinding and CCS modules, with explicit clinker-to-cement material balances.",Can expand to explicit clinker and cement processes in TIMES with separate kiln and grinding technologies plus capture/storage links.,TRUE,TRUE,0.073094,0.57,progression,10,incumbent,01_incumbent,Incumbent | current clinker ratio,TRUE,0,O0,O0 | current clinker ratio,TRUE,Incumbent kiln fuel mix re-tuned in the balance-ready pack to improve 2025 commodity closure while preserving the conventional cement route.,
