family_id,state_id,year,state_label,state_description,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity?,would_expand_to_process_chain?,energy_co2e,process_co2e,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,state_option_rank,state_option_code,state_option_label,balance_tuning_flag,balance_tuning_note,benchmark_balance_note
domestic_aviation,domestic_aviation__conventional_jet,2025,Conventional jet — domestic aviation,"Standard aviation turbine fuel (jet kerosene) combustion in turbofan engines for domestic Australian air services. Covers all domestic routes. National average energy intensity calibrated to AES 2025 Table F1 (2023-24): 135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm. Autonomous efficiency drift embedded: new aircraft generations (LEAP engines, composite airframes) reduce fuel intensity ~11% by 2050.",0.05,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel""]",[1792.0],"[""GJ/million_pkm""]","AES 2025 Table F1 (2023-24): 135.3 PJ domestic aviation / 75,500 million_pkm (BITRE) = 1,792 GJ/million_pkm. 100% aviation turbine fuel (jet kerosene). Autonomous efficiency drift to 1,592 GJ/million_pkm by 2050 (~11% reduction).","[{""pollutant"": ""CO2e"", ""value"": 128.1}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,1.0,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",AES 2025 Table F1; BITRE Aviation Statistical Report 2023-24; NGGI Cat 1A3a.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,National average masks variation between short-haul (more efficient per pkm on load factor) and long-haul domestic routes. Phase 2: disaggregate by route band.,"Disaggregate into short-haul (<1,000 km), medium-haul and long-haul domestic route bands.",Maps to domestic aviation demand technology in TIMES.,FALSE,FALSE,128.1,0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional jet,TRUE,0,O0,O0 | conventional jet,FALSE,,
domestic_aviation,domestic_aviation__conventional_jet,2030,Conventional jet — domestic aviation,"Standard aviation turbine fuel (jet kerosene) combustion in turbofan engines for domestic Australian air services. Covers all domestic routes. National average energy intensity calibrated to AES 2025 Table F1 (2023-24): 135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm. Autonomous efficiency drift embedded: new aircraft generations (LEAP engines, composite airframes) reduce fuel intensity ~11% by 2050.",0.05,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel""]",[1752.0],"[""GJ/million_pkm""]","AES 2025 Table F1 (2023-24): 135.3 PJ domestic aviation / 75,500 million_pkm (BITRE) = 1,792 GJ/million_pkm. 100% aviation turbine fuel (jet kerosene). Autonomous efficiency drift to 1,592 GJ/million_pkm by 2050 (~11% reduction).","[{""pollutant"": ""CO2e"", ""value"": 125.3}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,0.92,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",AES 2025 Table F1; BITRE Aviation Statistical Report 2023-24; NGGI Cat 1A3a.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,National average masks variation between short-haul (more efficient per pkm on load factor) and long-haul domestic routes. Phase 2: disaggregate by route band.,"Disaggregate into short-haul (<1,000 km), medium-haul and long-haul domestic route bands.",Maps to domestic aviation demand technology in TIMES.,FALSE,FALSE,125.3,0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional jet,FALSE,0,O0,O0 | conventional jet,FALSE,,
domestic_aviation,domestic_aviation__conventional_jet,2035,Conventional jet — domestic aviation,"Standard aviation turbine fuel (jet kerosene) combustion in turbofan engines for domestic Australian air services. Covers all domestic routes. National average energy intensity calibrated to AES 2025 Table F1 (2023-24): 135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm. Autonomous efficiency drift embedded: new aircraft generations (LEAP engines, composite airframes) reduce fuel intensity ~11% by 2050.",0.05,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel""]",[1712.0],"[""GJ/million_pkm""]","AES 2025 Table F1 (2023-24): 135.3 PJ domestic aviation / 75,500 million_pkm (BITRE) = 1,792 GJ/million_pkm. 100% aviation turbine fuel (jet kerosene). Autonomous efficiency drift to 1,592 GJ/million_pkm by 2050 (~11% reduction).","[{""pollutant"": ""CO2e"", ""value"": 122.4}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,0.84,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",AES 2025 Table F1; BITRE Aviation Statistical Report 2023-24; NGGI Cat 1A3a.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,National average masks variation between short-haul (more efficient per pkm on load factor) and long-haul domestic routes. Phase 2: disaggregate by route band.,"Disaggregate into short-haul (<1,000 km), medium-haul and long-haul domestic route bands.",Maps to domestic aviation demand technology in TIMES.,FALSE,FALSE,122.4,0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional jet,FALSE,0,O0,O0 | conventional jet,FALSE,,
domestic_aviation,domestic_aviation__conventional_jet,2040,Conventional jet — domestic aviation,"Standard aviation turbine fuel (jet kerosene) combustion in turbofan engines for domestic Australian air services. Covers all domestic routes. National average energy intensity calibrated to AES 2025 Table F1 (2023-24): 135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm. Autonomous efficiency drift embedded: new aircraft generations (LEAP engines, composite airframes) reduce fuel intensity ~11% by 2050.",0.05,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel""]",[1672.0],"[""GJ/million_pkm""]","AES 2025 Table F1 (2023-24): 135.3 PJ domestic aviation / 75,500 million_pkm (BITRE) = 1,792 GJ/million_pkm. 100% aviation turbine fuel (jet kerosene). Autonomous efficiency drift to 1,592 GJ/million_pkm by 2050 (~11% reduction).","[{""pollutant"": ""CO2e"", ""value"": 119.5}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,0.76,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",AES 2025 Table F1; BITRE Aviation Statistical Report 2023-24; NGGI Cat 1A3a.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,National average masks variation between short-haul (more efficient per pkm on load factor) and long-haul domestic routes. Phase 2: disaggregate by route band.,"Disaggregate into short-haul (<1,000 km), medium-haul and long-haul domestic route bands.",Maps to domestic aviation demand technology in TIMES.,FALSE,FALSE,119.5,0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional jet,FALSE,0,O0,O0 | conventional jet,FALSE,,
domestic_aviation,domestic_aviation__conventional_jet,2045,Conventional jet — domestic aviation,"Standard aviation turbine fuel (jet kerosene) combustion in turbofan engines for domestic Australian air services. Covers all domestic routes. National average energy intensity calibrated to AES 2025 Table F1 (2023-24): 135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm. Autonomous efficiency drift embedded: new aircraft generations (LEAP engines, composite airframes) reduce fuel intensity ~11% by 2050.",0.05,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel""]",[1632.0],"[""GJ/million_pkm""]","AES 2025 Table F1 (2023-24): 135.3 PJ domestic aviation / 75,500 million_pkm (BITRE) = 1,792 GJ/million_pkm. 100% aviation turbine fuel (jet kerosene). Autonomous efficiency drift to 1,592 GJ/million_pkm by 2050 (~11% reduction).","[{""pollutant"": ""CO2e"", ""value"": 116.7}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,0.68,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",AES 2025 Table F1; BITRE Aviation Statistical Report 2023-24; NGGI Cat 1A3a.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,National average masks variation between short-haul (more efficient per pkm on load factor) and long-haul domestic routes. Phase 2: disaggregate by route band.,"Disaggregate into short-haul (<1,000 km), medium-haul and long-haul domestic route bands.",Maps to domestic aviation demand technology in TIMES.,FALSE,FALSE,116.7,0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional jet,FALSE,0,O0,O0 | conventional jet,FALSE,,
domestic_aviation,domestic_aviation__conventional_jet,2050,Conventional jet — domestic aviation,"Standard aviation turbine fuel (jet kerosene) combustion in turbofan engines for domestic Australian air services. Covers all domestic routes. National average energy intensity calibrated to AES 2025 Table F1 (2023-24): 135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm. Autonomous efficiency drift embedded: new aircraft generations (LEAP engines, composite airframes) reduce fuel intensity ~11% by 2050.",0.05,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel""]",[1592.0],"[""GJ/million_pkm""]","AES 2025 Table F1 (2023-24): 135.3 PJ domestic aviation / 75,500 million_pkm (BITRE) = 1,792 GJ/million_pkm. 100% aviation turbine fuel (jet kerosene). Autonomous efficiency drift to 1,592 GJ/million_pkm by 2050 (~11% reduction).","[{""pollutant"": ""CO2e"", ""value"": 113.8}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,0.6,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",AES 2025 Table F1; BITRE Aviation Statistical Report 2023-24; NGGI Cat 1A3a.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,National average masks variation between short-haul (more efficient per pkm on load factor) and long-haul domestic routes. Phase 2: disaggregate by route band.,"Disaggregate into short-haul (<1,000 km), medium-haul and long-haul domestic route bands.",Maps to domestic aviation demand technology in TIMES.,FALSE,FALSE,113.8,0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional jet,FALSE,0,O0,O0 | conventional jet,FALSE,,
domestic_aviation,domestic_aviation__saf_blend,2025,SAF blend — domestic aviation,Sustainable aviation fuel (SAF) drop-in blend replacing aviation turbine fuel progressively. SAF blending increases from 5% in 2025 to 100% by 2050. Only the fossil ATF fraction contributes to scope 1 CO2e; SAF biogenic CO2 excluded per NGA accounting. Total energy intensity similar to conventional jet (SAF and ATF have similar energy density) but energy efficiency improves with new aircraft generations.,0.08,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel"", ""sustainable_aviation_fuel""]","[1702.4, 89.6]","[""GJ/million_pkm"", ""GJ/million_pkm""]","ATF fraction 95%→0% and SAF 5%→100% of 1,792→1,592 GJ/million_pkm total energy. Energy CO2e from ATF fraction only; SAF = 0 kgCO2e/GJ scope 1.","[{""pollutant"": ""CO2e"", ""value"": 121.7}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,0.02,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA SAF pathway data; IEA SAF techno-economics 2024; BITRE Australian SAF Supply Chain study 2023.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Low,SAF supply and cost trajectory is highly uncertain. The 100% SAF by 2050 assumption requires a significant Australian SAF industry that does not yet exist. Max share trajectory reflects supply constraint.,"Add explicit SAF feedstock and production chain; distinguish HEFA, e-SAF, alcohol-to-jet.",Maps to SAF blending demand node; SAF supply from a dedicated fuel supply family.,FALSE,FALSE,121.7,0,progression,20,ambition1,02_ambition1,Ambition 1 | SAF blend,FALSE,1,O1,O1 | SAF blend,FALSE,,
domestic_aviation,domestic_aviation__saf_blend,2030,SAF blend — domestic aviation,Sustainable aviation fuel (SAF) drop-in blend replacing aviation turbine fuel progressively. SAF blending increases from 5% in 2025 to 100% by 2050. Only the fossil ATF fraction contributes to scope 1 CO2e; SAF biogenic CO2 excluded per NGA accounting. Total energy intensity similar to conventional jet (SAF and ATF have similar energy density) but energy efficiency improves with new aircraft generations.,0.074,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel"", ""sustainable_aviation_fuel""]","[1401.6, 350.4]","[""GJ/million_pkm"", ""GJ/million_pkm""]","ATF fraction 95%→0% and SAF 5%→100% of 1,792→1,592 GJ/million_pkm total energy. Energy CO2e from ATF fraction only; SAF = 0 kgCO2e/GJ scope 1.","[{""pollutant"": ""CO2e"", ""value"": 100.2}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,0.14,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA SAF pathway data; IEA SAF techno-economics 2024; BITRE Australian SAF Supply Chain study 2023.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Low,SAF supply and cost trajectory is highly uncertain. The 100% SAF by 2050 assumption requires a significant Australian SAF industry that does not yet exist. Max share trajectory reflects supply constraint.,"Add explicit SAF feedstock and production chain; distinguish HEFA, e-SAF, alcohol-to-jet.",Maps to SAF blending demand node; SAF supply from a dedicated fuel supply family.,FALSE,FALSE,100.2,0,progression,20,ambition1,02_ambition1,Ambition 1 | SAF blend,FALSE,1,O1,O1 | SAF blend,FALSE,,
domestic_aviation,domestic_aviation__saf_blend,2035,SAF blend — domestic aviation,Sustainable aviation fuel (SAF) drop-in blend replacing aviation turbine fuel progressively. SAF blending increases from 5% in 2025 to 100% by 2050. Only the fossil ATF fraction contributes to scope 1 CO2e; SAF biogenic CO2 excluded per NGA accounting. Total energy intensity similar to conventional jet (SAF and ATF have similar energy density) but energy efficiency improves with new aircraft generations.,0.068,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel"", ""sustainable_aviation_fuel""]","[1027.2, 684.8]","[""GJ/million_pkm"", ""GJ/million_pkm""]","ATF fraction 95%→0% and SAF 5%→100% of 1,792→1,592 GJ/million_pkm total energy. Energy CO2e from ATF fraction only; SAF = 0 kgCO2e/GJ scope 1.","[{""pollutant"": ""CO2e"", ""value"": 73.4}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,0.25,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA SAF pathway data; IEA SAF techno-economics 2024; BITRE Australian SAF Supply Chain study 2023.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Low,SAF supply and cost trajectory is highly uncertain. The 100% SAF by 2050 assumption requires a significant Australian SAF industry that does not yet exist. Max share trajectory reflects supply constraint.,"Add explicit SAF feedstock and production chain; distinguish HEFA, e-SAF, alcohol-to-jet.",Maps to SAF blending demand node; SAF supply from a dedicated fuel supply family.,FALSE,FALSE,73.4,0,progression,20,ambition1,02_ambition1,Ambition 1 | SAF blend,FALSE,1,O1,O1 | SAF blend,FALSE,,
domestic_aviation,domestic_aviation__saf_blend,2040,SAF blend — domestic aviation,Sustainable aviation fuel (SAF) drop-in blend replacing aviation turbine fuel progressively. SAF blending increases from 5% in 2025 to 100% by 2050. Only the fossil ATF fraction contributes to scope 1 CO2e; SAF biogenic CO2 excluded per NGA accounting. Total energy intensity similar to conventional jet (SAF and ATF have similar energy density) but energy efficiency improves with new aircraft generations.,0.062,2024,AUD_2024,"Annualised non-fuel operating cost per million passenger-km (real 2024 AUD), excluding explicit energy commodity purchases and carbon costs.","[""aviation_turbine_fuel"", ""sustainable_aviation_fuel""]","[668.8, 1003.2]","[""GJ/million_pkm"", ""GJ/million_pkm""]","ATF fraction 95%→0% and SAF 5%→100% of 1,792→1,592 GJ/million_pkm total energy. Energy CO2e from ATF fraction only; SAF = 0 kgCO2e/GJ scope 1.","[{""pollutant"": ""CO2e"", ""value"": 47.8}]","[{""pollutant"": ""CO2e"", ""value"": 0}]",tCO2e/million_pkm,Direct scope 1 on-board fuel combustion only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. SAF biogenic CO2 excluded from scope 1 per NGA accounting convention. No process emissions for aviation.,0.37,,,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.",Available from 2025.,"[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA SAF pathway data; IEA SAF techno-economics 2024; BITRE Australian SAF Supply Chain study 2023.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Low,SAF supply and cost trajectory is highly uncertain. The 100% SAF by 2050 assumption requires a significant Australian SAF industry that does not yet exist. Max share trajectory reflects supply constraint.,"Add explicit SAF feedstock and production chain; distinguish HEFA, e-SAF, alcohol-to-jet.",Maps to SAF blending demand node; SAF supply from a dedicated fuel supply family.,FALSE,FALSE,47.8,0,progression,20,ambition1,02_ambition1,Ambition 1 | SAF blend,FALSE,1,O1,O1 | SAF blend,FALSE,,
