role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__bev,2025,0.155,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.00043],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.15,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S020""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Electricity-use coefficient is a representative fleet-average service coefficient rather than a specific model-year vehicle rating.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__bev,2030,0.14,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.00041],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.45,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S020""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Electricity-use coefficient is a representative fleet-average service coefficient rather than a specific model-year vehicle rating.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__bev,2035,0.125,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.00039],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.7,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S020""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Electricity-use coefficient is a representative fleet-average service coefficient rather than a specific model-year vehicle rating.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__bev,2040,0.115,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.00037],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.9,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S020""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Electricity-use coefficient is a representative fleet-average service coefficient rather than a specific model-year vehicle rating.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__bev,2045,0.105,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.00035],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.97,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S020""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Electricity-use coefficient is a representative fleet-average service coefficient rather than a specific model-year vehicle rating.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__bev,2050,0.1,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.00033],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S020""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Electricity-use coefficient is a representative fleet-average service coefficient rather than a specific model-year vehicle rating.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__hybrid_transition,2025,0.135,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""refined_liquid_fuels""]",[0.00175],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.000121}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.25,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S032""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Useful transitional abatement method when BEV uptake is constrained or the model values liquid-fuel compatibility.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__hybrid_transition,2030,0.132,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""refined_liquid_fuels""]",[0.00165],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.000114}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.4,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S032""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Useful transitional abatement method when BEV uptake is constrained or the model values liquid-fuel compatibility.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__hybrid_transition,2035,0.128,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""refined_liquid_fuels""]",[0.00155],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.000107}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.35,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S032""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Useful transitional abatement method when BEV uptake is constrained or the model values liquid-fuel compatibility.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
move_passengers_by_road,move_passengers_by_road__pathway_bundle,road_transport__passenger_road__hybrid_transition,2040,0.123,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""refined_liquid_fuels""]",[0.00145],"[""GJ/pkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0001}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/pkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.2,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All methods are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S014"", ""S015"", ""S032""]","[""A002"", ""A003"", ""A006"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent methods are calibrated to aggregate Australian road energy and freight/passenger task data; transition methods reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,Useful transitional abatement method when BEV uptake is constrained or the model values liquid-fuel compatibility.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service methods can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE
