family_id,package_id,year,package_label,package_description,classification,applicable_state_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,max_share,rollout_limit_notes,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,non_stacking_group
oil_and_gas_extraction,oil_and_gas_extraction__compressor_station_upgrade,2025,Compressor station upgrade (VSD + heat integration),"Variable-speed drive (VSD) retrofit on gas compressor drivers and waste-heat recovery integration at onshore processing plants. VSDs allow compressors to run at load-matched speeds rather than full speed, reducing fuel gas consumption by 8-12%. Heat recovery captures turbine exhaust heat for process duties. Applicable to onshore compressor stations in conventional, LDAR, and renewable-diesel states.",pure_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare"", ""oil_and_gas_extraction__renewable_diesel""]","[""natural_gas""]",[0.90],80,2024,AUD_2024,0.05,"Indicative national adoption bound reflecting station-by-station retrofit cycle (major turnaround every 5-7 years) and capital allocation within declining gas production portfolio.","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","Santos and Woodside compressor upgrade programmes report 8-14% gas fuel reduction on retrofitted stations. IEA Natural Gas Decarbonisation 2022 cites 10% central estimate for VSD retrofit on compression. Heat integration adds 2-3%.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from Australian upstream operator disclosures and IEA technology assessment.",Medium,"Electric compression and integrated states excluded — they replace gas turbines rather than improving them. Non-stacking with autonomous gas turbine drift track to avoid double-counting.",compressor_gas_efficiency
oil_and_gas_extraction,oil_and_gas_extraction__compressor_station_upgrade,2030,Compressor station upgrade (VSD + heat integration),"Variable-speed drive (VSD) retrofit on gas compressor drivers and waste-heat recovery integration at onshore processing plants. VSDs allow compressors to run at load-matched speeds rather than full speed, reducing fuel gas consumption by 8-12%. Heat recovery captures turbine exhaust heat for process duties. Applicable to onshore compressor stations in conventional, LDAR, and renewable-diesel states.",pure_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare"", ""oil_and_gas_extraction__renewable_diesel""]","[""natural_gas""]",[0.90],80,2024,AUD_2024,0.12,"Indicative national adoption bound reflecting station-by-station retrofit cycle (major turnaround every 5-7 years) and capital allocation within declining gas production portfolio.","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","Santos and Woodside compressor upgrade programmes report 8-14% gas fuel reduction on retrofitted stations. IEA Natural Gas Decarbonisation 2022 cites 10% central estimate for VSD retrofit on compression. Heat integration adds 2-3%.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from Australian upstream operator disclosures and IEA technology assessment.",Medium,"Electric compression and integrated states excluded — they replace gas turbines rather than improving them. Non-stacking with autonomous gas turbine drift track to avoid double-counting.",compressor_gas_efficiency
oil_and_gas_extraction,oil_and_gas_extraction__compressor_station_upgrade,2035,Compressor station upgrade (VSD + heat integration),"Variable-speed drive (VSD) retrofit on gas compressor drivers and waste-heat recovery integration at onshore processing plants. VSDs allow compressors to run at load-matched speeds rather than full speed, reducing fuel gas consumption by 8-12%. Heat recovery captures turbine exhaust heat for process duties. Applicable to onshore compressor stations in conventional, LDAR, and renewable-diesel states.",pure_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare"", ""oil_and_gas_extraction__renewable_diesel""]","[""natural_gas""]",[0.90],75,2024,AUD_2024,0.22,"Indicative national adoption bound reflecting station-by-station retrofit cycle (major turnaround every 5-7 years) and capital allocation within declining gas production portfolio.","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","Santos and Woodside compressor upgrade programmes report 8-14% gas fuel reduction on retrofitted stations. IEA Natural Gas Decarbonisation 2022 cites 10% central estimate for VSD retrofit on compression. Heat integration adds 2-3%.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from Australian upstream operator disclosures and IEA technology assessment.",Medium,"Electric compression and integrated states excluded — they replace gas turbines rather than improving them. Non-stacking with autonomous gas turbine drift track to avoid double-counting.",compressor_gas_efficiency
oil_and_gas_extraction,oil_and_gas_extraction__compressor_station_upgrade,2040,Compressor station upgrade (VSD + heat integration),"Variable-speed drive (VSD) retrofit on gas compressor drivers and waste-heat recovery integration at onshore processing plants. VSDs allow compressors to run at load-matched speeds rather than full speed, reducing fuel gas consumption by 8-12%. Heat recovery captures turbine exhaust heat for process duties. Applicable to onshore compressor stations in conventional, LDAR, and renewable-diesel states.",pure_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare"", ""oil_and_gas_extraction__renewable_diesel""]","[""natural_gas""]",[0.90],70,2024,AUD_2024,0.32,"Indicative national adoption bound reflecting station-by-station retrofit cycle (major turnaround every 5-7 years) and capital allocation within declining gas production portfolio.","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","Santos and Woodside compressor upgrade programmes report 8-14% gas fuel reduction on retrofitted stations. IEA Natural Gas Decarbonisation 2022 cites 10% central estimate for VSD retrofit on compression. Heat integration adds 2-3%.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from Australian upstream operator disclosures and IEA technology assessment.",Medium,"Electric compression and integrated states excluded — they replace gas turbines rather than improving them. Non-stacking with autonomous gas turbine drift track to avoid double-counting.",compressor_gas_efficiency
oil_and_gas_extraction,oil_and_gas_extraction__compressor_station_upgrade,2045,Compressor station upgrade (VSD + heat integration),"Variable-speed drive (VSD) retrofit on gas compressor drivers and waste-heat recovery integration at onshore processing plants. VSDs allow compressors to run at load-matched speeds rather than full speed, reducing fuel gas consumption by 8-12%. Heat recovery captures turbine exhaust heat for process duties. Applicable to onshore compressor stations in conventional, LDAR, and renewable-diesel states.",pure_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare"", ""oil_and_gas_extraction__renewable_diesel""]","[""natural_gas""]",[0.90],65,2024,AUD_2024,0.40,"Indicative national adoption bound reflecting station-by-station retrofit cycle (major turnaround every 5-7 years) and capital allocation within declining gas production portfolio.","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","Santos and Woodside compressor upgrade programmes report 8-14% gas fuel reduction on retrofitted stations. IEA Natural Gas Decarbonisation 2022 cites 10% central estimate for VSD retrofit on compression. Heat integration adds 2-3%.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from Australian upstream operator disclosures and IEA technology assessment.",Medium,"Electric compression and integrated states excluded — they replace gas turbines rather than improving them. Non-stacking with autonomous gas turbine drift track to avoid double-counting.",compressor_gas_efficiency
oil_and_gas_extraction,oil_and_gas_extraction__compressor_station_upgrade,2050,Compressor station upgrade (VSD + heat integration),"Variable-speed drive (VSD) retrofit on gas compressor drivers and waste-heat recovery integration at onshore processing plants. VSDs allow compressors to run at load-matched speeds rather than full speed, reducing fuel gas consumption by 8-12%. Heat recovery captures turbine exhaust heat for process duties. Applicable to onshore compressor stations in conventional, LDAR, and renewable-diesel states.",pure_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare"", ""oil_and_gas_extraction__renewable_diesel""]","[""natural_gas""]",[0.90],60,2024,AUD_2024,0.48,"Indicative national adoption bound reflecting station-by-station retrofit cycle (major turnaround every 5-7 years) and capital allocation within declining gas production portfolio.","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","Santos and Woodside compressor upgrade programmes report 8-14% gas fuel reduction on retrofitted stations. IEA Natural Gas Decarbonisation 2022 cites 10% central estimate for VSD retrofit on compression. Heat integration adds 2-3%.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from Australian upstream operator disclosures and IEA technology assessment.",Medium,"Electric compression and integrated states excluded — they replace gas turbines rather than improving them. Non-stacking with autonomous gas turbine drift track to avoid double-counting.",compressor_gas_efficiency
oil_and_gas_extraction,oil_and_gas_extraction__wellsite_solar_hybrid,2025,Wellsite solar-diesel hybrid,"Solar PV panels with lithium-ion battery storage replace diesel generators at remote wellsites and field gathering compressor stations. Solar replaces 25-40% of diesel generation load at sites with >5.0 kWh/m2/day irradiance (most of WA inland, QLD CSG, NT). Applicable to conventional and LDAR states where diesel remains the primary wellsite power source.",operational_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare""]","[""refined_liquid_fuels""]",[0.80],120,2024,AUD_2024,0.05,"Indicative national adoption bound reflecting remote-site logistics, CAPEX allocation, and the limited share of total diesel that is at solar-accessible remote wellsites (vs drilling rigs and LNG facilities that are not suited to solar).","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","ARENA-funded solar-diesel hybrid projects at Australian remote mining sites demonstrate 20-40% diesel displacement. QLD Department of Energy: CSG wellpad solar hybrid pilots (Santos, Origin). Solar irradiance data from BOM Atlas of Australian Solar Energy.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from ARENA project reports and BOM solar data.",Medium,"Applies only to states where diesel remains dominant at remote wellsites. Renewable-diesel and integrated states excluded — their coefficients already embed explicit solar-diesel reduction trajectory. Non-stacking with background diesel drift track.",wellsite_diesel
oil_and_gas_extraction,oil_and_gas_extraction__wellsite_solar_hybrid,2030,Wellsite solar-diesel hybrid,"Solar PV panels with lithium-ion battery storage replace diesel generators at remote wellsites and field gathering compressor stations. Solar replaces 25-40% of diesel generation load at sites with >5.0 kWh/m2/day irradiance (most of WA inland, QLD CSG, NT). Applicable to conventional and LDAR states where diesel remains the primary wellsite power source.",operational_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare""]","[""refined_liquid_fuels""]",[0.80],110,2024,AUD_2024,0.12,"Indicative national adoption bound reflecting remote-site logistics, CAPEX allocation, and the limited share of total diesel that is at solar-accessible remote wellsites (vs drilling rigs and LNG facilities that are not suited to solar).","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","ARENA-funded solar-diesel hybrid projects at Australian remote mining sites demonstrate 20-40% diesel displacement. QLD Department of Energy: CSG wellpad solar hybrid pilots (Santos, Origin). Solar irradiance data from BOM Atlas of Australian Solar Energy.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from ARENA project reports and BOM solar data.",Medium,"Applies only to states where diesel remains dominant at remote wellsites. Renewable-diesel and integrated states excluded — their coefficients already embed explicit solar-diesel reduction trajectory. Non-stacking with background diesel drift track.",wellsite_diesel
oil_and_gas_extraction,oil_and_gas_extraction__wellsite_solar_hybrid,2035,Wellsite solar-diesel hybrid,"Solar PV panels with lithium-ion battery storage replace diesel generators at remote wellsites and field gathering compressor stations. Solar replaces 25-40% of diesel generation load at sites with >5.0 kWh/m2/day irradiance (most of WA inland, QLD CSG, NT). Applicable to conventional and LDAR states where diesel remains the primary wellsite power source.",operational_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare""]","[""refined_liquid_fuels""]",[0.80],100,2024,AUD_2024,0.22,"Indicative national adoption bound reflecting remote-site logistics, CAPEX allocation, and the limited share of total diesel that is at solar-accessible remote wellsites (vs drilling rigs and LNG facilities that are not suited to solar).","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","ARENA-funded solar-diesel hybrid projects at Australian remote mining sites demonstrate 20-40% diesel displacement. QLD Department of Energy: CSG wellpad solar hybrid pilots (Santos, Origin). Solar irradiance data from BOM Atlas of Australian Solar Energy.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from ARENA project reports and BOM solar data.",Medium,"Applies only to states where diesel remains dominant at remote wellsites. Renewable-diesel and integrated states excluded — their coefficients already embed explicit solar-diesel reduction trajectory. Non-stacking with background diesel drift track.",wellsite_diesel
oil_and_gas_extraction,oil_and_gas_extraction__wellsite_solar_hybrid,2040,Wellsite solar-diesel hybrid,"Solar PV panels with lithium-ion battery storage replace diesel generators at remote wellsites and field gathering compressor stations. Solar replaces 25-40% of diesel generation load at sites with >5.0 kWh/m2/day irradiance (most of WA inland, QLD CSG, NT). Applicable to conventional and LDAR states where diesel remains the primary wellsite power source.",operational_efficiency_overlay,"[""oil_and_gas_extraction__conventional"", ""oil_and_gas_extraction__ldar_no_flare""]","[""refined_liquid_fuels""]",[0.80],90,2024,AUD_2024,0.32,"Indicative national adoption bound reflecting remote-site logistics, CAPEX allocation, and the limited share of total diesel that is at solar-accessible remote wellsites (vs drilling rigs and LNG facilities that are not suited to solar).","[""S001"", ""S002"", ""S022""]","[""A002"", ""A003"", ""A010""]","ARENA-funded solar-diesel hybrid projects at Australian remote mining sites demonstrate 20-40% diesel displacement. QLD Department of Energy: CSG wellpad solar hybrid pilots (Santos, Origin). Solar irradiance data from BOM Atlas of Australian Solar Energy.","Hybrid synthesis: incumbent states calibrated to AES 2023-24 Table F and NGGI 2023-24 data; efficiency package evidence from ARENA project reports and BOM solar data.",Medium,"Applies only to states where diesel remains dominant at remote wellsites. Renewable-diesel and integrated states excluded — their coefficients already embed explicit solar-diesel reduction trajectory. Non-stacking with background diesel drift track.",wellsite_diesel
