family_id,package_id,year,package_label,package_description,classification,applicable_state_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,max_share,rollout_limit_notes,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,non_stacking_group
low_temperature_heat,industrial_heat__low_temperature__thermal_system_retrofit,2025,Thermal system retrofit,"Boiler, steam, insulation, condensate-return, and economiser retrofit bundle for low-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.92],0.55,2024,AUD_2024,0.1,"Use as an indicative cap on retrofit-eligible incumbent fossil heat activity; uptake is constrained by outage windows, retrofit access, and plant capital budgeting.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a moderate carrier-preserving gas-saving wedge from insulation, condensate return, economisers, and related thermal-system upgrades.",Thin-slice calibration uses a conservative 8% gas-intensity reduction and a modest non-commodity cost adder so the package remains clearly smaller than a route switch to electrified heat.,Medium,Keep this package on the fossil incumbent only so it stays separable from electrification and low-carbon-fuel route changes.,low_temperature_heat_nonstacking
low_temperature_heat,industrial_heat__low_temperature__thermal_system_retrofit,2030,Thermal system retrofit,"Boiler, steam, insulation, condensate-return, and economiser retrofit bundle for low-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.92],0.55,2024,AUD_2024,0.2,"Use as an indicative cap on retrofit-eligible incumbent fossil heat activity; uptake is constrained by outage windows, retrofit access, and plant capital budgeting.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a moderate carrier-preserving gas-saving wedge from insulation, condensate return, economisers, and related thermal-system upgrades.",Thin-slice calibration uses a conservative 8% gas-intensity reduction and a modest non-commodity cost adder so the package remains clearly smaller than a route switch to electrified heat.,Medium,Keep this package on the fossil incumbent only so it stays separable from electrification and low-carbon-fuel route changes.,low_temperature_heat_nonstacking
low_temperature_heat,industrial_heat__low_temperature__thermal_system_retrofit,2035,Thermal system retrofit,"Boiler, steam, insulation, condensate-return, and economiser retrofit bundle for low-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.92],0.55,2024,AUD_2024,0.3,"Use as an indicative cap on retrofit-eligible incumbent fossil heat activity; uptake is constrained by outage windows, retrofit access, and plant capital budgeting.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a moderate carrier-preserving gas-saving wedge from insulation, condensate return, economisers, and related thermal-system upgrades.",Thin-slice calibration uses a conservative 8% gas-intensity reduction and a modest non-commodity cost adder so the package remains clearly smaller than a route switch to electrified heat.,Medium,Keep this package on the fossil incumbent only so it stays separable from electrification and low-carbon-fuel route changes.,low_temperature_heat_nonstacking
low_temperature_heat,industrial_heat__low_temperature__thermal_system_retrofit,2040,Thermal system retrofit,"Boiler, steam, insulation, condensate-return, and economiser retrofit bundle for low-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.92],0.55,2024,AUD_2024,0.4,"Use as an indicative cap on retrofit-eligible incumbent fossil heat activity; uptake is constrained by outage windows, retrofit access, and plant capital budgeting.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a moderate carrier-preserving gas-saving wedge from insulation, condensate return, economisers, and related thermal-system upgrades.",Thin-slice calibration uses a conservative 8% gas-intensity reduction and a modest non-commodity cost adder so the package remains clearly smaller than a route switch to electrified heat.,Medium,Keep this package on the fossil incumbent only so it stays separable from electrification and low-carbon-fuel route changes.,low_temperature_heat_nonstacking
low_temperature_heat,industrial_heat__low_temperature__thermal_system_retrofit,2045,Thermal system retrofit,"Boiler, steam, insulation, condensate-return, and economiser retrofit bundle for low-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.92],0.55,2024,AUD_2024,0.5,"Use as an indicative cap on retrofit-eligible incumbent fossil heat activity; uptake is constrained by outage windows, retrofit access, and plant capital budgeting.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a moderate carrier-preserving gas-saving wedge from insulation, condensate return, economisers, and related thermal-system upgrades.",Thin-slice calibration uses a conservative 8% gas-intensity reduction and a modest non-commodity cost adder so the package remains clearly smaller than a route switch to electrified heat.,Medium,Keep this package on the fossil incumbent only so it stays separable from electrification and low-carbon-fuel route changes.,low_temperature_heat_nonstacking
low_temperature_heat,industrial_heat__low_temperature__thermal_system_retrofit,2050,Thermal system retrofit,"Boiler, steam, insulation, condensate-return, and economiser retrofit bundle for low-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.92],0.55,2024,AUD_2024,0.6,"Use as an indicative cap on retrofit-eligible incumbent fossil heat activity; uptake is constrained by outage windows, retrofit access, and plant capital budgeting.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a moderate carrier-preserving gas-saving wedge from insulation, condensate return, economisers, and related thermal-system upgrades.",Thin-slice calibration uses a conservative 8% gas-intensity reduction and a modest non-commodity cost adder so the package remains clearly smaller than a route switch to electrified heat.,Medium,Keep this package on the fossil incumbent only so it stays separable from electrification and low-carbon-fuel route changes.,low_temperature_heat_nonstacking
low_temperature_heat,industrial_heat__low_temperature__controls_tuning,2025,Controls tuning,"Operational tuning package covering setpoints, sequencing, combustion tuning, metering, and maintenance on low-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.97],0.12,2024,AUD_2024,0.2,"Operational tuning can scale faster than major retrofits, but savings persistence depends on monitoring, controls quality, and plant operating discipline.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a modest operational efficiency wedge on low-temperature fossil heat through controls, metering, and combustion tuning.",Use a conservative gas-only multiplier and low service-cost adder so the package remains the smaller operational companion to the low-temperature thermal-system retrofit.,Medium,Shares the family-local non-stacking group with the thermal-system retrofit so the model chooses at most one portable low-temperature package per activity slice.,low_temperature_heat_nonstacking
low_temperature_heat,industrial_heat__low_temperature__controls_tuning,2030,Controls tuning,"Operational tuning package covering setpoints, sequencing, combustion tuning, metering, and maintenance on low-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.97],0.12,2024,AUD_2024,0.35,"Operational tuning can scale faster than major retrofits, but savings persistence depends on monitoring, controls quality, and plant operating discipline.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a modest operational efficiency wedge on low-temperature fossil heat through controls, metering, and combustion tuning.",Use a conservative gas-only multiplier and low service-cost adder so the package remains the smaller operational companion to the low-temperature thermal-system retrofit.,Medium,Shares the family-local non-stacking group with the thermal-system retrofit so the model chooses at most one portable low-temperature package per activity slice.,low_temperature_heat_nonstacking
low_temperature_heat,industrial_heat__low_temperature__controls_tuning,2035,Controls tuning,"Operational tuning package covering setpoints, sequencing, combustion tuning, metering, and maintenance on low-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.97],0.12,2024,AUD_2024,0.5,"Operational tuning can scale faster than major retrofits, but savings persistence depends on monitoring, controls quality, and plant operating discipline.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a modest operational efficiency wedge on low-temperature fossil heat through controls, metering, and combustion tuning.",Use a conservative gas-only multiplier and low service-cost adder so the package remains the smaller operational companion to the low-temperature thermal-system retrofit.,Medium,Shares the family-local non-stacking group with the thermal-system retrofit so the model chooses at most one portable low-temperature package per activity slice.,low_temperature_heat_nonstacking
low_temperature_heat,industrial_heat__low_temperature__controls_tuning,2040,Controls tuning,"Operational tuning package covering setpoints, sequencing, combustion tuning, metering, and maintenance on low-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__low_temperature_heat__fossil""]","[""natural_gas""]",[0.97],0.12,2024,AUD_2024,0.6,"Operational tuning can scale faster than major retrofits, but savings persistence depends on monitoring, controls quality, and plant operating discipline.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a modest operational efficiency wedge on low-temperature fossil heat through controls, metering, and combustion tuning.",Use a conservative gas-only multiplier and low service-cost adder so the package remains the smaller operational companion to the low-temperature thermal-system retrofit.,Medium,Shares the family-local non-stacking group with the thermal-system retrofit so the model chooses at most one portable low-temperature package per activity slice.,low_temperature_heat_nonstacking
