family_id,state_id,year,state_label,state_description,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity?,would_expand_to_process_chain?,energy_co2e,process_co2e,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,state_option_rank,state_option_code,state_option_label,balance_tuning_flag,balance_tuning_note,benchmark_balance_note
electricity,electricity__grid_supply__deep_clean_firmed,2025,Deep-clean firmed grid supply,More conservative high-firming near-zero power system state with extra storage/firming and very low direct emissions intensity.,125,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.8, 0.8]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.3}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.2,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity state. Useful as a sensitivity state when the model values residual emissions reduction more highly than system cost.,"Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.3,0,progression,40,ambition3,04_ambition3,Ambition 3 | deep clean firmed,FALSE,2,O2,O2 | deep clean firmed,FALSE,,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
electricity,electricity__grid_supply__deep_clean_firmed,2030,Deep-clean firmed grid supply,More conservative high-firming near-zero power system state with extra storage/firming and very low direct emissions intensity.,100,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.2, 0.5]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.12}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.35,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity state. Useful as a sensitivity state when the model values residual emissions reduction more highly than system cost.,"Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.12,0,progression,40,ambition3,04_ambition3,Ambition 3 | deep clean firmed,FALSE,2,O2,O2 | deep clean firmed,FALSE,,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
electricity,electricity__grid_supply__deep_clean_firmed,2035,Deep-clean firmed grid supply,More conservative high-firming near-zero power system state with extra storage/firming and very low direct emissions intensity.,105,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.0, 0.3]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.06}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.5,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity state. Useful as a sensitivity state when the model values residual emissions reduction more highly than system cost.,"Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.06,0,progression,40,ambition3,04_ambition3,Ambition 3 | deep clean firmed,FALSE,2,O2,O2 | deep clean firmed,FALSE,,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
electricity,electricity__grid_supply__deep_clean_firmed,2040,Deep-clean firmed grid supply,More conservative high-firming near-zero power system state with extra storage/firming and very low direct emissions intensity.,120,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.0, 0.2]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.04}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.7,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity state. Useful as a sensitivity state when the model values residual emissions reduction more highly than system cost.,"Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.04,0,progression,40,ambition3,04_ambition3,Ambition 3 | deep clean firmed,FALSE,2,O2,O2 | deep clean firmed,FALSE,,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
electricity,electricity__grid_supply__deep_clean_firmed,2045,Deep-clean firmed grid supply,More conservative high-firming near-zero power system state with extra storage/firming and very low direct emissions intensity.,135,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.0, 0.12]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.025}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.85,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity state. Useful as a sensitivity state when the model values residual emissions reduction more highly than system cost.,"Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.025,0,progression,40,ambition3,04_ambition3,Ambition 3 | deep clean firmed,FALSE,2,O2,O2 | deep clean firmed,FALSE,,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
electricity,electricity__grid_supply__deep_clean_firmed,2050,Deep-clean firmed grid supply,More conservative high-firming near-zero power system state with extra storage/firming and very low direct emissions intensity.,145,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.0, 0.08]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.02}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.95,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity state. Useful as a sensitivity state when the model values residual emissions reduction more highly than system cost.,"Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.02,0,progression,40,ambition3,04_ambition3,Ambition 3 | deep clean firmed,FALSE,2,O2,O2 | deep clean firmed,FALSE,,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
electricity,electricity__grid_supply__incumbent_thermal_mix,2025,Incumbent thermal-heavy grid mix,National average electricity supply dominated by the incumbent thermal fleet with declining coal share and some gas backup.,55,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[6.8, 1.1]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.527613}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.7,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S001"", ""S003"", ""S006"", ""S008"", ""S010"", ""S032""]","[""A001"", ""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,"Intended as the declining incumbent benchmark. In Phase 1 this is a national average, not a state-specific dispatch profile.","Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.527613,0,progression,10,incumbent,01_incumbent,Incumbent | incumbent thermal mix,TRUE,0,O0,O0 | incumbent thermal mix,TRUE,2025 electricity intensity nudged to the official benchmark average so that default incumbent generation activity reproduces the national 2025 electricity emissions total.,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
electricity,electricity__grid_supply__incumbent_thermal_mix,2030,Incumbent thermal-heavy grid mix,National average electricity supply dominated by the incumbent thermal fleet with declining coal share and some gas backup.,58,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[6.3, 1.2]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.5}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.45,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S001"", ""S003"", ""S006"", ""S008"", ""S010"", ""S032""]","[""A001"", ""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,"Intended as the declining incumbent benchmark. In Phase 1 this is a national average, not a state-specific dispatch profile.","Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.5,0,progression,10,incumbent,01_incumbent,Incumbent | incumbent thermal mix,TRUE,0,O0,O0 | incumbent thermal mix,FALSE,,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
electricity,electricity__grid_supply__incumbent_thermal_mix,2035,Incumbent thermal-heavy grid mix,National average electricity supply dominated by the incumbent thermal fleet with declining coal share and some gas backup.,62,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[5.7, 1.2]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.44}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.2,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S001"", ""S003"", ""S006"", ""S008"", ""S010"", ""S032""]","[""A001"", ""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,"Intended as the declining incumbent benchmark. In Phase 1 this is a national average, not a state-specific dispatch profile.","Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.44,0,progression,10,incumbent,01_incumbent,Incumbent | incumbent thermal mix,TRUE,0,O0,O0 | incumbent thermal mix,FALSE,,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
electricity,electricity__grid_supply__incumbent_thermal_mix,2040,Incumbent thermal-heavy grid mix,National average electricity supply dominated by the incumbent thermal fleet with declining coal share and some gas backup.,70,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[4.5, 1.0]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply state. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.33}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.08,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S001"", ""S003"", ""S006"", ""S008"", ""S010"", ""S032""]","[""A001"", ""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,"Intended as the declining incumbent benchmark. In Phase 1 this is a national average, not a state-specific dispatch profile.","Split into state/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form state family can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE,0.33,0,progression,10,incumbent,01_incumbent,Incumbent | incumbent thermal mix,TRUE,0,O0,O0 | incumbent thermal mix,FALSE,,"Electricity-sector coal and gas inputs are generation fuels, not end-use final energy. Use baseline_electricity_balance.csv for generation-output closure and baseline_commodity_balance.csv for final electricity closure."
