family_id,package_id,year,package_label,package_description,classification,applicable_state_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,max_share,rollout_limit_notes,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,non_stacking_group
domestic_shipping,domestic_shipping__slow_steaming_voyage_optimisation,2025,Slow steaming and voyage optimisation,Operational speed reduction (slow steaming) and voyage optimisation for domestic coastal vessels. Well-documented 15% fuel reduction from slow steaming alone (cube law of fuel consumption vs speed). Applies to conventional diesel vessels only.,operational_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.85, 0.85]",0.0,2024,AUD_2024,0.05,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",IMO MEPC slow steaming guidance; Maersk and MSC slow steaming data; ARENA domestic shipping review; cube-law fuel savings validated in literature.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",High,Well-documented savings; limited by coastal trade scheduling requirements and delivery time constraints.,shipping_operational_efficiency
domestic_shipping,domestic_shipping__slow_steaming_voyage_optimisation,2030,Slow steaming and voyage optimisation,Operational speed reduction (slow steaming) and voyage optimisation for domestic coastal vessels. Well-documented 15% fuel reduction from slow steaming alone (cube law of fuel consumption vs speed). Applies to conventional diesel vessels only.,operational_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.85, 0.85]",0.0,2024,AUD_2024,0.15,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",IMO MEPC slow steaming guidance; Maersk and MSC slow steaming data; ARENA domestic shipping review; cube-law fuel savings validated in literature.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",High,Well-documented savings; limited by coastal trade scheduling requirements and delivery time constraints.,shipping_operational_efficiency
domestic_shipping,domestic_shipping__slow_steaming_voyage_optimisation,2035,Slow steaming and voyage optimisation,Operational speed reduction (slow steaming) and voyage optimisation for domestic coastal vessels. Well-documented 15% fuel reduction from slow steaming alone (cube law of fuel consumption vs speed). Applies to conventional diesel vessels only.,operational_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.85, 0.85]",0.0,2024,AUD_2024,0.25,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",IMO MEPC slow steaming guidance; Maersk and MSC slow steaming data; ARENA domestic shipping review; cube-law fuel savings validated in literature.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",High,Well-documented savings; limited by coastal trade scheduling requirements and delivery time constraints.,shipping_operational_efficiency
domestic_shipping,domestic_shipping__slow_steaming_voyage_optimisation,2040,Slow steaming and voyage optimisation,Operational speed reduction (slow steaming) and voyage optimisation for domestic coastal vessels. Well-documented 15% fuel reduction from slow steaming alone (cube law of fuel consumption vs speed). Applies to conventional diesel vessels only.,operational_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.85, 0.85]",0.0,2024,AUD_2024,0.35,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",IMO MEPC slow steaming guidance; Maersk and MSC slow steaming data; ARENA domestic shipping review; cube-law fuel savings validated in literature.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",High,Well-documented savings; limited by coastal trade scheduling requirements and delivery time constraints.,shipping_operational_efficiency
domestic_shipping,domestic_shipping__slow_steaming_voyage_optimisation,2045,Slow steaming and voyage optimisation,Operational speed reduction (slow steaming) and voyage optimisation for domestic coastal vessels. Well-documented 15% fuel reduction from slow steaming alone (cube law of fuel consumption vs speed). Applies to conventional diesel vessels only.,operational_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.85, 0.85]",0.0,2024,AUD_2024,0.42,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",IMO MEPC slow steaming guidance; Maersk and MSC slow steaming data; ARENA domestic shipping review; cube-law fuel savings validated in literature.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",High,Well-documented savings; limited by coastal trade scheduling requirements and delivery time constraints.,shipping_operational_efficiency
domestic_shipping,domestic_shipping__slow_steaming_voyage_optimisation,2050,Slow steaming and voyage optimisation,Operational speed reduction (slow steaming) and voyage optimisation for domestic coastal vessels. Well-documented 15% fuel reduction from slow steaming alone (cube law of fuel consumption vs speed). Applies to conventional diesel vessels only.,operational_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.85, 0.85]",0.0,2024,AUD_2024,0.45,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",IMO MEPC slow steaming guidance; Maersk and MSC slow steaming data; ARENA domestic shipping review; cube-law fuel savings validated in literature.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",High,Well-documented savings; limited by coastal trade scheduling requirements and delivery time constraints.,shipping_operational_efficiency
domestic_shipping,domestic_shipping__hull_biofouling_air_lubrication,2025,Hull biofouling management and air lubrication,"Combination of hull biofouling management (antifouling coatings, hull cleaning) and air lubrication systems (bubble layer under hull). Reduces hull drag by approximately 10% overall. Applies to conventional diesel.",pure_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.9, 0.9]",0.0,2024,AUD_2024,0.05,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",Silverstream Technologies air lubrication performance data (8-12% fuel savings); antifouling hull coating studies; IMO MEPC efficiency measures.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",Medium,Air lubrication particularly effective on larger vessels; hull management benefits all vessel types.,shipping_hull_efficiency
domestic_shipping,domestic_shipping__hull_biofouling_air_lubrication,2030,Hull biofouling management and air lubrication,"Combination of hull biofouling management (antifouling coatings, hull cleaning) and air lubrication systems (bubble layer under hull). Reduces hull drag by approximately 10% overall. Applies to conventional diesel.",pure_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.9, 0.9]",0.0,2024,AUD_2024,0.12,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",Silverstream Technologies air lubrication performance data (8-12% fuel savings); antifouling hull coating studies; IMO MEPC efficiency measures.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",Medium,Air lubrication particularly effective on larger vessels; hull management benefits all vessel types.,shipping_hull_efficiency
domestic_shipping,domestic_shipping__hull_biofouling_air_lubrication,2035,Hull biofouling management and air lubrication,"Combination of hull biofouling management (antifouling coatings, hull cleaning) and air lubrication systems (bubble layer under hull). Reduces hull drag by approximately 10% overall. Applies to conventional diesel.",pure_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.9, 0.9]",0.0,2024,AUD_2024,0.2,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",Silverstream Technologies air lubrication performance data (8-12% fuel savings); antifouling hull coating studies; IMO MEPC efficiency measures.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",Medium,Air lubrication particularly effective on larger vessels; hull management benefits all vessel types.,shipping_hull_efficiency
domestic_shipping,domestic_shipping__hull_biofouling_air_lubrication,2040,Hull biofouling management and air lubrication,"Combination of hull biofouling management (antifouling coatings, hull cleaning) and air lubrication systems (bubble layer under hull). Reduces hull drag by approximately 10% overall. Applies to conventional diesel.",pure_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.9, 0.9]",0.0,2024,AUD_2024,0.28,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",Silverstream Technologies air lubrication performance data (8-12% fuel savings); antifouling hull coating studies; IMO MEPC efficiency measures.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",Medium,Air lubrication particularly effective on larger vessels; hull management benefits all vessel types.,shipping_hull_efficiency
domestic_shipping,domestic_shipping__hull_biofouling_air_lubrication,2045,Hull biofouling management and air lubrication,"Combination of hull biofouling management (antifouling coatings, hull cleaning) and air lubrication systems (bubble layer under hull). Reduces hull drag by approximately 10% overall. Applies to conventional diesel.",pure_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.9, 0.9]",0.0,2024,AUD_2024,0.33,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",Silverstream Technologies air lubrication performance data (8-12% fuel savings); antifouling hull coating studies; IMO MEPC efficiency measures.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",Medium,Air lubrication particularly effective on larger vessels; hull management benefits all vessel types.,shipping_hull_efficiency
domestic_shipping,domestic_shipping__hull_biofouling_air_lubrication,2050,Hull biofouling management and air lubrication,"Combination of hull biofouling management (antifouling coatings, hull cleaning) and air lubrication systems (bubble layer under hull). Reduces hull drag by approximately 10% overall. Applies to conventional diesel.",pure_efficiency_overlay,"[""domestic_shipping__conventional_diesel""]","[""marine_diesel_oil"", ""heavy_fuel_oil""]","[0.9, 0.9]",0.0,2024,AUD_2024,0.35,"National adoption bound reflecting vessel retirement cycles (~25-30 yr life), port infrastructure availability, and coastal trade regulatory environment.","[""S001"", ""S004"", ""S013""]","[""A002"", ""A003"", ""A022"", ""A023""]",Silverstream Technologies air lubrication performance data (8-12% fuel savings); antifouling hull coating studies; IMO MEPC efficiency measures.,"Energy coefficients from AES 2023-24 Table F (30.0 PJ domestic water transport / 30,000 million_tkm = 1000 GJ/million_tkm). Fuel split: 65% MDO (650.0 GJ), 35% HFO (350.0 GJ). NGGI check: 76.0 × 30,000 / 1e6 = 2.28 MtCO2e.",Medium,Air lubrication particularly effective on larger vessels; hull management benefits all vessel types.,shipping_hull_efficiency
