sector,subsector,service_or_output_name,region,state_id,state_label,state_description,state_option_rank,state_option_code,state_option_label,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,balance_tuning_flag,balance_tuning_note,benchmark_balance_note
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,agriculture__cropping_horticulture__conventional,Conventional cropping and horticulture bundle,"Coarse cropping/horticulture activity bundle with farm fuel use, irrigation/pumping electricity and process emissions dominated by soils and fertiliser-related nitrous oxide.",0,O0,O0 | conventional,progression,10,incumbent,01_incumbent,Incumbent | conventional,True,False,,
agriculture,cropping_horticulture,cropping_horticulture_output_bundle,AUS,agriculture__cropping_horticulture__mitigated,Mitigated cropping and horticulture bundle,"Cropping/horticulture activity bundle with improved fertiliser management, moderate electrification and lower process emissions intensity.",1,O1,O1 | mitigated,progression,20,ambition1,02_ambition1,Ambition 1 | mitigated,False,False,,
agriculture,livestock,livestock_output_bundle,AUS,agriculture__livestock__conventional,Conventional livestock output bundle,"Coarse livestock activity bundle dominated by methane and nitrous oxide emissions, plus diesel/electricity/gas use on farms.",0,O0,O0 | conventional,progression,10,incumbent,01_incumbent,Incumbent | conventional,True,False,,
agriculture,livestock,livestock_output_bundle,AUS,agriculture__livestock__mitigated,Mitigated livestock output bundle,"Livestock activity bundle with representative methane, manure and productivity improvements plus moderate on-farm energy efficiency.",1,O1,O1 | mitigated,progression,20,ambition1,02_ambition1,Ambition 1 | mitigated,False,False,,
buildings,commercial,commercial_building_services,AUS,buildings__commercial__incumbent_mixed_fuels,Incumbent mixed-fuel commercial services,"Representative commercial building-service bundle with current electricity, gas and liquid-fuel shares from official energy data.",0,O0,O0 | incumbent mixed fuels,progression,10,incumbent,01_incumbent,Incumbent | incumbent mixed fuels,True,False,,
buildings,commercial,commercial_building_services,AUS,buildings__commercial__electrified_efficiency,Electrified efficient commercial services,"Commercial service bundle with higher-efficiency equipment, reduced fossil fuel use and a predominantly electric load.",1,O1,O1 | electrified efficiency,progression,20,ambition1,02_ambition1,Ambition 1 | electrified efficiency,False,False,,
buildings,commercial,commercial_building_services,AUS,buildings__commercial__deep_electric,Deep-electric commercial services,Highly electrified commercial building-service bundle with very low direct fossil use and lower final-energy intensity.,2,O2,O2 | deep electric,progression,30,ambition2,03_ambition2,Ambition 2 | deep electric,False,False,,
buildings,residential,residential_building_services,AUS,buildings__residential__incumbent_mixed_fuels,Incumbent mixed-fuel residential services,"Representative residential building-service bundle with current electricity, gas, liquid-fuel and biomass shares from official energy data.",0,O0,O0 | incumbent mixed fuels,progression,10,incumbent,01_incumbent,Incumbent | incumbent mixed fuels,True,False,,
buildings,residential,residential_building_services,AUS,buildings__residential__electrified_efficiency,Electrified efficient residential services,Residential services with strong heat-pump and appliance-efficiency uptake but some residual gas or biomass in the near term.,1,O1,O1 | electrified efficiency,progression,20,ambition1,02_ambition1,Ambition 1 | electrified efficiency,False,False,,
buildings,residential,residential_building_services,AUS,buildings__residential__deep_electric,Deep-electric residential services,Highly electrified residential service bundle with widespread heat pumps and high shell/appliance efficiency.,2,O2,O2 | deep electric,progression,30,ambition2,03_ambition2,Ambition 2 | deep electric,False,False,,
