role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__eaf_finishing,2025,40,2024,AUD_2024,"Annualised EAF finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[0.95,0.15,0.7]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Electrode, flux, alloying, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.02}]","[{""pollutant"":""CO2e"",""value"":0.04}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Low,Pilot split of the aggregate H2 DRI route. Finishing intensity is approximate and should be replaced by plant-route evidence.,"Expand into EAF, casting, rolling, scrap blending, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__eaf_finishing,2030,35,2024,AUD_2024,"Annualised EAF finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[0.95,0.15,0.65]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Electrode, flux, alloying, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.015}]","[{""pollutant"":""CO2e"",""value"":0.04}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.1,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Low,Pilot split of the aggregate H2 DRI route. Finishing intensity is approximate and should be replaced by plant-route evidence.,"Expand into EAF, casting, rolling, scrap blending, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__eaf_finishing,2035,32,2024,AUD_2024,"Annualised EAF finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[0.95,0.15,0.63]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Electrode, flux, alloying, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.012}]","[{""pollutant"":""CO2e"",""value"":0.035}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.25,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Low,Pilot split of the aggregate H2 DRI route. Finishing intensity is approximate and should be replaced by plant-route evidence.,"Expand into EAF, casting, rolling, scrap blending, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__eaf_finishing,2040,30,2024,AUD_2024,"Annualised EAF finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[0.95,0.15,0.6]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Electrode, flux, alloying, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.01}]","[{""pollutant"":""CO2e"",""value"":0.03}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.45,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Low,Pilot split of the aggregate H2 DRI route. Finishing intensity is approximate and should be replaced by plant-route evidence.,"Expand into EAF, casting, rolling, scrap blending, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__eaf_finishing,2045,28,2024,AUD_2024,"Annualised EAF finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[0.95,0.15,0.57]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Electrode, flux, alloying, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.008}]","[{""pollutant"":""CO2e"",""value"":0.025}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.7,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Low,Pilot split of the aggregate H2 DRI route. Finishing intensity is approximate and should be replaced by plant-route evidence.,"Expand into EAF, casting, rolling, scrap blending, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__eaf_finishing,2050,25,2024,AUD_2024,"Annualised EAF finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[0.95,0.15,0.55]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Electrode, flux, alloying, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.006}]","[{""pollutant"":""CO2e"",""value"":0.02}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.9,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Low,Pilot split of the aggregate H2 DRI route. Finishing intensity is approximate and should be replaced by plant-route evidence.,"Expand into EAF, casting, rolling, scrap blending, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__electric_smelter,2025,48,2024,AUD_2024,"Annualised electric smelter finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[1,0.05,0.95]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Smelter design, reductant carryover, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.025}]","[{""pollutant"":""CO2e"",""value"":0.04}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material from 2035 onward through share caps; 2025 and 2030 rows are retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Exploratory,Alternative finishing pathway for testing method interchangeability in the child role.,"Expand into electric smelter, EAF/ladle finishing, casting, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__electric_smelter,2030,45,2024,AUD_2024,"Annualised electric smelter finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[1,0.05,0.9]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Smelter design, reductant carryover, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.02}]","[{""pollutant"":""CO2e"",""value"":0.04}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material from 2035 onward through share caps; 2025 and 2030 rows are retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Exploratory,Alternative finishing pathway for testing method interchangeability in the child role.,"Expand into electric smelter, EAF/ladle finishing, casting, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__electric_smelter,2035,42,2024,AUD_2024,"Annualised electric smelter finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[1,0.05,0.86]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Smelter design, reductant carryover, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.016}]","[{""pollutant"":""CO2e"",""value"":0.035}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.15,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material from 2035 onward through share caps; 2025 and 2030 rows are retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Exploratory,Alternative finishing pathway for testing method interchangeability in the child role.,"Expand into electric smelter, EAF/ladle finishing, casting, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
melt_and_refine_dri_into_crude_steel,melt_and_refine_dri_into_crude_steel__technology_bundle,steel__dri_melt_refine__electric_smelter,2040,39,2024,AUD_2024,"Annualised electric smelter finishing conversion cost excluding explicitly listed DRI, scrap, and electricity inputs.","[""direct_reduced_iron"",""scrap_steel"",""electricity""]","[1,0.05,0.82]","[""t/t_crude_steel"",""t/t_crude_steel"",""MWh/t_crude_steel""]","Direct finishing inputs only. Smelter design, reductant carryover, and casting details are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.012}]","[{""pollutant"":""CO2e"",""value"":0.03}]",tCO2e/t_crude_steel,Direct finishing emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.25,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material from 2035 onward through share caps; 2025 and 2030 rows are retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus electric finishing benchmarks; values are indicative topology-test data.,"Reduced-form decomposition split. Aggregate H2 DRI route electricity, scrap, and finishing emissions are separated from upstream DRI production.",Exploratory,Alternative finishing pathway for testing method interchangeability in the child role.,"Expand into electric smelter, EAF/ladle finishing, casting, and intermediate DRI balance modules.",Consumes direct_reduced_iron from make_direct_reduced_iron in the decomposition pilot.,TRUE,TRUE
