role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__deep_electric,2025,7,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""biomass""]","[0.62, 0.01, 0.02]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.000515}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.15,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Represents the high-electrification/efficiency end of the residential service frontier. Useful as the near-zero direct-emissions building method.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__deep_electric,2030,6.2,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas""]","[0.57, 0.005]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.000258}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.4,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Represents the high-electrification/efficiency end of the residential service frontier. Useful as the near-zero direct-emissions building method.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__deep_electric,2035,5.5,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.53],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.7,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Represents the high-electrification/efficiency end of the residential service frontier. Useful as the near-zero direct-emissions building method.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__deep_electric,2040,4.9,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.5],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.9,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Represents the high-electrification/efficiency end of the residential service frontier. Useful as the near-zero direct-emissions building method.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__deep_electric,2045,4.5,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.47],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.98,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Represents the high-electrification/efficiency end of the residential service frontier. Useful as the near-zero direct-emissions building method.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__deep_electric,2050,4.2,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.45],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Represents the high-electrification/efficiency end of the residential service frontier. Useful as the near-zero direct-emissions building method.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__electrified_efficiency,2025,5,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""refined_liquid_fuels"", ""biomass""]","[0.65, 0.1, 0.01, 0.04]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.005843}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.4,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S001"", ""S018"", ""S019"", ""S020"", ""S032""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Energy intensity falls because the method represents a more efficient service package; direct on-site emissions collapse as gas exits.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__electrified_efficiency,2030,4.8,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""refined_liquid_fuels"", ""biomass""]","[0.639175,0.072165,0.005155,0.025773]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"":""CO2e"",""value"":0.004074}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.8,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S001"", ""S018"", ""S019"", ""S020"", ""S032""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Energy intensity falls because the method represents a more efficient service package; direct on-site emissions collapse as gas exits.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__electrified_efficiency,2035,4.6,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""biomass""]","[0.638298,0.042553,0.021277]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"":""CO2e"",""value"":0.002193}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.95,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S001"", ""S018"", ""S019"", ""S020"", ""S032""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Energy intensity falls because the method represents a more efficient service package; direct on-site emissions collapse as gas exits.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
serve_residential_building_occupants,serve_residential_building_occupants__pathway_bundle,buildings__residential__electrified_efficiency,2040,4.4,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas""]","[0.637363,0.021978]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"":""CO2e"",""value"":0.001133}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S001"", ""S018"", ""S019"", ""S020"", ""S032""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and method electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective methods apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Energy intensity falls because the method represents a more efficient service package; direct on-site emissions collapse as gas exits.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form method can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE
