role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__ordinary_blend,2025,5,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.72,0.1]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Ordinary finish grinding consumes clinker and electricity but carries no calcination or kiln fuel emissions.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,1,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__ordinary_blend,2030,5,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.7,0.1]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Ordinary finish grinding consumes clinker and electricity but carries no calcination or kiln fuel emissions.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,0.75,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__ordinary_blend,2035,5.2,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.68,0.1]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Ordinary finish grinding consumes clinker and electricity but carries no calcination or kiln fuel emissions.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,0.55,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__ordinary_blend,2040,5.4,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.66,0.098]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Ordinary finish grinding consumes clinker and electricity but carries no calcination or kiln fuel emissions.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,0.35,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__ordinary_blend,2045,5.6,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.64,0.096]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Ordinary finish grinding consumes clinker and electricity but carries no calcination or kiln fuel emissions.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,0.25,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__ordinary_blend,2050,5.8,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.62,0.094]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Ordinary finish grinding consumes clinker and electricity but carries no calcination or kiln fuel emissions.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,0.15,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__low_clinker_scm_blend,2025,6,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.66,0.11]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Low-clinker finish grinding reduces clinker input through supplementary cementitious material blending.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,0.4,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__low_clinker_scm_blend,2030,6.1,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.62,0.112]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Low-clinker finish grinding reduces clinker input through supplementary cementitious material blending.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,0.7,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__low_clinker_scm_blend,2035,6.2,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.58,0.114]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Low-clinker finish grinding reduces clinker input through supplementary cementitious material blending.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,0.9,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
grind_blend_cement_equivalent,grind_blend_cement_equivalent__pathway_bundle,cement__finish__low_clinker_scm_blend,2040,6.2,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""make_clinker_intermediate"",""electricity""]","[0.54,0.116]","[""t_clinker/t_cement_equivalent"",""MWh/t_cement_equivalent""]",Low-clinker finish grinding reduces clinker input through supplementary cementitious material blending.,[],[],tCO2e/t_cement_equivalent,Final grind and blend child owns cement-equivalent finishing electricity only. Calcination and kiln fuel emissions stay upstream.,1,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
