family_id,state_id,year,state_label,state_description,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity?,would_expand_to_process_chain?,energy_co2e,process_co2e,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,state_option_rank,state_option_code,state_option_label,balance_tuning_flag,balance_tuning_note,benchmark_balance_note
commercial_building_services,buildings__commercial__deep_electric,2025,Deep electrification and efficiency commercial services,Highly electrified commercial building-service bundle with very low direct fossil use and lower final-energy intensity.,7,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""refined_liquid_fuels""]","[0.7, 0.01, 0.01]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.001205}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.15,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service state in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0.001205,0,progression,30,ambition2,03_ambition2,Ambition 2 | deep electric,FALSE,2,O2,O2 | deep electric,FALSE,,
commercial_building_services,buildings__commercial__deep_electric,2030,Deep electrification and efficiency commercial services,Highly electrified commercial building-service bundle with very low direct fossil use and lower final-energy intensity.,6,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.66],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.35,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service state in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | deep electric,FALSE,2,O2,O2 | deep electric,FALSE,,
commercial_building_services,buildings__commercial__deep_electric,2035,Deep electrification and efficiency commercial services,Highly electrified commercial building-service bundle with very low direct fossil use and lower final-energy intensity.,5.4,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.6],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.6,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service state in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | deep electric,FALSE,2,O2,O2 | deep electric,FALSE,,
commercial_building_services,buildings__commercial__deep_electric,2040,Deep electrification and efficiency commercial services,Highly electrified commercial building-service bundle with very low direct fossil use and lower final-energy intensity.,4.9,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.55],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.85,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service state in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | deep electric,FALSE,2,O2,O2 | deep electric,FALSE,,
commercial_building_services,buildings__commercial__deep_electric,2045,Deep electrification and efficiency commercial services,Highly electrified commercial building-service bundle with very low direct fossil use and lower final-energy intensity.,4.5,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.52],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.95,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service state in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | deep electric,FALSE,2,O2,O2 | deep electric,FALSE,,
commercial_building_services,buildings__commercial__deep_electric,2050,Deep electrification and efficiency commercial services,Highly electrified commercial building-service bundle with very low direct fossil use and lower final-energy intensity.,4.2,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.5],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,The most aggressive near-zero-direct-emissions commercial service state in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | deep electric,FALSE,2,O2,O2 | deep electric,FALSE,,
commercial_building_services,buildings__commercial__electrified_efficiency,2025,Electrified efficient commercial services,"Commercial service bundle with higher-efficiency equipment, reduced fossil fuel use and a predominantly electric load.",5.5,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""refined_liquid_fuels""]","[0.74, 0.06, 0.02]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"": ""CO2e"", ""value"": 0.004472}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.45,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Captures a pragmatic commercial electrification pathway without requiring full end-use disaggregation in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0.004472,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified efficiency,FALSE,1,O1,O1 | electrified efficiency,FALSE,,
commercial_building_services,buildings__commercial__electrified_efficiency,2030,Electrified efficient commercial services,"Commercial service bundle with higher-efficiency equipment, reduced fossil fuel use and a predominantly electric load.",5.2,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas"", ""refined_liquid_fuels""]","[0.714286,0.040816,0.020408]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"":""CO2e"",""value"":0.003511}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.8,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Captures a pragmatic commercial electrification pathway without requiring full end-use disaggregation in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0.003511,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified efficiency,FALSE,1,O1,O1 | electrified efficiency,FALSE,,
commercial_building_services,buildings__commercial__electrified_efficiency,2035,Electrified efficient commercial services,"Commercial service bundle with higher-efficiency equipment, reduced fossil fuel use and a predominantly electric load.",4.9,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity"", ""natural_gas""]","[0.708333,0.020833]","[""GJ/GJ_service_eq"", ""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"":""CO2e"",""value"":0.001074}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.95,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Captures a pragmatic commercial electrification pathway without requiring full end-use disaggregation in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0.001074,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified efficiency,FALSE,1,O1,O1 | electrified efficiency,FALSE,,
commercial_building_services,buildings__commercial__electrified_efficiency,2040,Electrified efficient commercial services,"Commercial service bundle with higher-efficiency equipment, reduced fossil fuel use and a predominantly electric load.",4.7,2024,AUD_2024,Annualised appliance/HVAC/water-heating and other non-energy service-delivery cost excluding explicit commodity purchases. Carbon costs excluded.,"[""electricity""]",[0.680851],"[""GJ/GJ_service_eq""]","Direct final-energy inputs only, normalised to the baseline service bundle. Electricity is entered as a final-energy commodity and should pick up grid emissions via the electricity-supply sector.","[{""pollutant"":""CO2e"",""value"":0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_service_eq,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,Indicative upper bound only; no explicit housing-stock rollover or retrofit segmentation in Phase 1.,Available in all milestone years; interpreted as aggregate service-delivery archetypes rather than individual technologies.,"[""S018"", ""S019"", ""S020""]","[""A002"", ""A003"", ""A004"", ""A022"", ""A023""]",Baseline fuel shares are anchored to official Australian energy statistics; electrification direction is informed by AEMO and state electrification evidence.,"Hybrid. 2025 incumbent coefficients are matched to official sector fuel shares. Prospective states apply electrification and efficiency reductions consistent with Australian electrification studies, smoothed across milestone years.",Medium,Captures a pragmatic commercial electrification pathway without requiring full end-use disaggregation in Phase 1.,"Split into space conditioning, water heating, cooking and appliances, with new-build versus retrofit variants.","Each reduced-form state can later map to multiple end-use technologies in a TIMES demand module, potentially using useful-energy service demands and stock-rollover dynamics.",FALSE,FALSE,0,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified efficiency,FALSE,1,O1,O1 | electrified efficiency,FALSE,,
