family_id,state_id,year,state_label,state_description,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity?,would_expand_to_process_chain?,energy_co2e,process_co2e,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,state_option_rank,state_option_code,state_option_label,balance_tuning_flag,balance_tuning_note,benchmark_balance_note,specific_energy_use,energy_efficiency_index,equipment_efficiency_rating,fuel_efficiency_improvement_rate,electricity_efficiency_improvement_rate
coal_mining,coal_mining__conventional,2025,Conventional coal mining,"Diesel and grid-electric equipment covering all mine operations (haulage, loading, blasting, ventilation, processing). Australian coal predominantly open-cut: Victorian brown coal (100% surface) and NSW/QLD thermal black coal (~90% open-cut); export coking coal ~70% open-cut. National-average AES 2025 energy intensity applied: 174 PJ / 467,739 kt = 372 GJ/kt. Demand basis: total Australian coal production (467,739 kt, 2025 anchor; export ~370,000 kt + domestic ~98,700 kt).",52,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""refined_liquid_fuels"", ""electricity"", ""natural_gas""]","[277.0, 72.0, 23.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","AES 2025 Table F: 174 PJ total coal mining / 467,739 kt = 372 GJ/kt. Fuel split: rfuel 74% (277 GJ/kt), elec 19% (72 GJ/kt), gas 6% (23 GJ/kt). Total energy at anchor: 372 × 467,739 / 1e6 = 174.0 PJ.","[{""pollutant"": ""CO2e"", ""value"": 20.5}]","[{""pollutant"": ""CO2e"", ""value"": 56.5}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,1.0,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",AES 2025 Table F; NGGI 2025 total coal mining scope 1; Geoscience Australia 2023-24.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Medium,Per-kt coefficient is national average across all mine types. Open-cut mines have lower fugitive intensity (~12 tCO2e/kt) than the national average of 56.5 tCO2e/kt (dominated by underground export mines). Phase 2: disaggregate by mine type (open-cut vs underground) and by coal type.,"Disaggregate into Victorian brown coal, NSW thermal, and Qld coking coal sub-families.",Maps to total coal production demand node.,FALSE,FALSE,20.5,56.5,incumbent,10,incumbent,01_incumbent,Incumbent | conventional,TRUE,0,O0,O0 | conventional,FALSE,,,372.0,1.0,0.8,0.015,0.025
coal_mining,coal_mining__conventional,2030,Conventional coal mining,"Diesel and grid-electric equipment covering all mine operations (haulage, loading, blasting, ventilation, processing). Australian coal predominantly open-cut: Victorian brown coal (100% surface) and NSW/QLD thermal black coal (~90% open-cut); export coking coal ~70% open-cut. National-average AES 2025 energy intensity applied: 174 PJ / 467,739 kt = 372 GJ/kt. Demand basis: total Australian coal production (467,739 kt, 2025 anchor; export ~370,000 kt + domestic ~98,700 kt).",53,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""refined_liquid_fuels"", ""electricity"", ""natural_gas""]","[267.0, 76.0, 22.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","AES 2025 Table F: 174 PJ total coal mining / 467,739 kt = 372 GJ/kt. Fuel split: rfuel 74% (277 GJ/kt), elec 19% (72 GJ/kt), gas 6% (23 GJ/kt). Total energy at anchor: 372 × 467,739 / 1e6 = 174.0 PJ.","[{""pollutant"": ""CO2e"", ""value"": 19.8}]","[{""pollutant"": ""CO2e"", ""value"": 52.0}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,0.95,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",AES 2025 Table F; NGGI 2025 total coal mining scope 1; Geoscience Australia 2023-24.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Medium,Per-kt coefficient is national average across all mine types. Open-cut mines have lower fugitive intensity (~12 tCO2e/kt) than the national average of 56.5 tCO2e/kt (dominated by underground export mines). Phase 2: disaggregate by mine type (open-cut vs underground) and by coal type.,"Disaggregate into Victorian brown coal, NSW thermal, and Qld coking coal sub-families.",Maps to total coal production demand node.,FALSE,FALSE,19.8,52.0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional,FALSE,0,O0,O0 | conventional,FALSE,,,365.0,0.981,0.82,0.018,0.03
coal_mining,coal_mining__conventional,2035,Conventional coal mining,"Diesel and grid-electric equipment covering all mine operations (haulage, loading, blasting, ventilation, processing). Australian coal predominantly open-cut: Victorian brown coal (100% surface) and NSW/QLD thermal black coal (~90% open-cut); export coking coal ~70% open-cut. National-average AES 2025 energy intensity applied: 174 PJ / 467,739 kt = 372 GJ/kt. Demand basis: total Australian coal production (467,739 kt, 2025 anchor; export ~370,000 kt + domestic ~98,700 kt).",54,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""refined_liquid_fuels"", ""electricity"", ""natural_gas""]","[257.0, 81.0, 21.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","AES 2025 Table F: 174 PJ total coal mining / 467,739 kt = 372 GJ/kt. Fuel split: rfuel 74% (277 GJ/kt), elec 19% (72 GJ/kt), gas 6% (23 GJ/kt). Total energy at anchor: 372 × 467,739 / 1e6 = 174.0 PJ.","[{""pollutant"": ""CO2e"", ""value"": 19.0}]","[{""pollutant"": ""CO2e"", ""value"": 47.0}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,0.95,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",AES 2025 Table F; NGGI 2025 total coal mining scope 1; Geoscience Australia 2023-24.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Medium,Per-kt coefficient is national average across all mine types. Open-cut mines have lower fugitive intensity (~12 tCO2e/kt) than the national average of 56.5 tCO2e/kt (dominated by underground export mines). Phase 2: disaggregate by mine type (open-cut vs underground) and by coal type.,"Disaggregate into Victorian brown coal, NSW thermal, and Qld coking coal sub-families.",Maps to total coal production demand node.,FALSE,FALSE,19.0,47.0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional,FALSE,0,O0,O0 | conventional,FALSE,,,359.0,0.965,0.84,0.02,0.035
coal_mining,coal_mining__conventional,2040,Conventional coal mining,"Diesel and grid-electric equipment covering all mine operations (haulage, loading, blasting, ventilation, processing). Australian coal predominantly open-cut: Victorian brown coal (100% surface) and NSW/QLD thermal black coal (~90% open-cut); export coking coal ~70% open-cut. National-average AES 2025 energy intensity applied: 174 PJ / 467,739 kt = 372 GJ/kt. Demand basis: total Australian coal production (467,739 kt, 2025 anchor; export ~370,000 kt + domestic ~98,700 kt).",55,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""refined_liquid_fuels"", ""electricity"", ""natural_gas""]","[248.0, 86.0, 20.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","AES 2025 Table F: 174 PJ total coal mining / 467,739 kt = 372 GJ/kt. Fuel split: rfuel 74% (277 GJ/kt), elec 19% (72 GJ/kt), gas 6% (23 GJ/kt). Total energy at anchor: 372 × 467,739 / 1e6 = 174.0 PJ.","[{""pollutant"": ""CO2e"", ""value"": 18.4}]","[{""pollutant"": ""CO2e"", ""value"": 43.0}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,0.9,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",AES 2025 Table F; NGGI 2025 total coal mining scope 1; Geoscience Australia 2023-24.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Medium,Per-kt coefficient is national average across all mine types. Open-cut mines have lower fugitive intensity (~12 tCO2e/kt) than the national average of 56.5 tCO2e/kt (dominated by underground export mines). Phase 2: disaggregate by mine type (open-cut vs underground) and by coal type.,"Disaggregate into Victorian brown coal, NSW thermal, and Qld coking coal sub-families.",Maps to total coal production demand node.,FALSE,FALSE,18.4,43.0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional,FALSE,0,O0,O0 | conventional,FALSE,,,354.0,0.952,0.86,0.022,0.04
coal_mining,coal_mining__conventional,2045,Conventional coal mining,"Diesel and grid-electric equipment covering all mine operations (haulage, loading, blasting, ventilation, processing). Australian coal predominantly open-cut: Victorian brown coal (100% surface) and NSW/QLD thermal black coal (~90% open-cut); export coking coal ~70% open-cut. National-average AES 2025 energy intensity applied: 174 PJ / 467,739 kt = 372 GJ/kt. Demand basis: total Australian coal production (467,739 kt, 2025 anchor; export ~370,000 kt + domestic ~98,700 kt).",56,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""refined_liquid_fuels"", ""electricity"", ""natural_gas""]","[238.0, 90.0, 20.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","AES 2025 Table F: 174 PJ total coal mining / 467,739 kt = 372 GJ/kt. Fuel split: rfuel 74% (277 GJ/kt), elec 19% (72 GJ/kt), gas 6% (23 GJ/kt). Total energy at anchor: 372 × 467,739 / 1e6 = 174.0 PJ.","[{""pollutant"": ""CO2e"", ""value"": 17.7}]","[{""pollutant"": ""CO2e"", ""value"": 39.0}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,0.9,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",AES 2025 Table F; NGGI 2025 total coal mining scope 1; Geoscience Australia 2023-24.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Medium,Per-kt coefficient is national average across all mine types. Open-cut mines have lower fugitive intensity (~12 tCO2e/kt) than the national average of 56.5 tCO2e/kt (dominated by underground export mines). Phase 2: disaggregate by mine type (open-cut vs underground) and by coal type.,"Disaggregate into Victorian brown coal, NSW thermal, and Qld coking coal sub-families.",Maps to total coal production demand node.,FALSE,FALSE,17.7,39.0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional,FALSE,0,O0,O0 | conventional,FALSE,,,348.0,0.935,0.88,0.025,0.045
coal_mining,coal_mining__conventional,2050,Conventional coal mining,"Diesel and grid-electric equipment covering all mine operations (haulage, loading, blasting, ventilation, processing). Australian coal predominantly open-cut: Victorian brown coal (100% surface) and NSW/QLD thermal black coal (~90% open-cut); export coking coal ~70% open-cut. National-average AES 2025 energy intensity applied: 174 PJ / 467,739 kt = 372 GJ/kt. Demand basis: total Australian coal production (467,739 kt, 2025 anchor; export ~370,000 kt + domestic ~98,700 kt).",57,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""refined_liquid_fuels"", ""electricity"", ""natural_gas""]","[229.0, 95.0, 19.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","AES 2025 Table F: 174 PJ total coal mining / 467,739 kt = 372 GJ/kt. Fuel split: rfuel 74% (277 GJ/kt), elec 19% (72 GJ/kt), gas 6% (23 GJ/kt). Total energy at anchor: 372 × 467,739 / 1e6 = 174.0 PJ.","[{""pollutant"": ""CO2e"", ""value"": 17.0}]","[{""pollutant"": ""CO2e"", ""value"": 35.0}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,0.85,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",AES 2025 Table F; NGGI 2025 total coal mining scope 1; Geoscience Australia 2023-24.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Medium,Per-kt coefficient is national average across all mine types. Open-cut mines have lower fugitive intensity (~12 tCO2e/kt) than the national average of 56.5 tCO2e/kt (dominated by underground export mines). Phase 2: disaggregate by mine type (open-cut vs underground) and by coal type.,"Disaggregate into Victorian brown coal, NSW thermal, and Qld coking coal sub-families.",Maps to total coal production demand node.,FALSE,FALSE,17.0,35.0,incumbent,10,incumbent,01_incumbent,Incumbent | conventional,FALSE,0,O0,O0 | conventional,FALSE,,,343.0,0.922,0.9,0.028,0.05
coal_mining,coal_mining__bev_haulage,2025,Battery-electric heavy haulage,"BEV haul trucks replace primary haulage diesel. Drivetrain efficiency ~3× vs diesel ICE reduces site energy. Residual diesel retained for non-electric auxiliary plant. Most applicable to open-cut operations (Victorian brown coal, NSW/QLD open-cut, Qld coking coal). Investment appetite varies by mine life and remaining reserve horizon.",78,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""electricity"", ""refined_liquid_fuels"", ""natural_gas""]","[123.0, 125.0, 20.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","Electrification of haulage raises elec to 123 GJ/kt, reduces rfuel to 125 GJ/kt (scaled from AES 2025 basis: 372 GJ/kt total conventional).","[{""pollutant"": ""CO2e"", ""value"": 9.8}]","[{""pollutant"": ""CO2e"", ""value"": 56.5}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,0.03,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Global BEV mining trials; Rio Tinto/BHP open-cut electrification roadmaps.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Low,Max-share trajectory reflects gradual fleet replacement across all mine types. Domestic mines with shorter remaining life have lower uptake than long-life export mines.,"Split into VIC brown coal, NSW/QLD open-cut, and Qld coking BEV pathways.",Maps to BEV coal production demand node.,FALSE,FALSE,9.8,56.5,progression,20,ambition1,02_ambition1,Ambition 1 | bev haulage,FALSE,1,O1,O1 | bev haul trucks,FALSE,,,268.0,0.72,0.88,0.01,0.03
coal_mining,coal_mining__bev_haulage,2030,Battery-electric heavy haulage,"BEV haul trucks replace primary haulage diesel. Drivetrain efficiency ~3× vs diesel ICE reduces site energy. Residual diesel retained for non-electric auxiliary plant. Most applicable to open-cut operations (Victorian brown coal, NSW/QLD open-cut, Qld coking coal). Investment appetite varies by mine life and remaining reserve horizon.",72,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""electricity"", ""refined_liquid_fuels"", ""natural_gas""]","[130.0, 105.0, 19.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","Electrification of haulage raises elec to 123 GJ/kt, reduces rfuel to 125 GJ/kt (scaled from AES 2025 basis: 372 GJ/kt total conventional).","[{""pollutant"": ""CO2e"", ""value"": 8.3}]","[{""pollutant"": ""CO2e"", ""value"": 52.0}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,0.08,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Global BEV mining trials; Rio Tinto/BHP open-cut electrification roadmaps.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Low,Max-share trajectory reflects gradual fleet replacement across all mine types. Domestic mines with shorter remaining life have lower uptake than long-life export mines.,"Split into VIC brown coal, NSW/QLD open-cut, and Qld coking BEV pathways.",Maps to BEV coal production demand node.,FALSE,FALSE,8.3,52.0,progression,20,ambition1,02_ambition1,Ambition 1 | bev haulage,FALSE,1,O1,O1 | bev haul trucks,FALSE,,,254.0,0.683,0.9,0.012,0.035
coal_mining,coal_mining__bev_haulage,2035,Battery-electric heavy haulage,"BEV haul trucks replace primary haulage diesel. Drivetrain efficiency ~3× vs diesel ICE reduces site energy. Residual diesel retained for non-electric auxiliary plant. Most applicable to open-cut operations (Victorian brown coal, NSW/QLD open-cut, Qld coking coal). Investment appetite varies by mine life and remaining reserve horizon.",65,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""electricity"", ""refined_liquid_fuels"", ""natural_gas""]","[136.0, 90.0, 18.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","Electrification of haulage raises elec to 123 GJ/kt, reduces rfuel to 125 GJ/kt (scaled from AES 2025 basis: 372 GJ/kt total conventional).","[{""pollutant"": ""CO2e"", ""value"": 7.2}]","[{""pollutant"": ""CO2e"", ""value"": 47.0}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,0.15,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Global BEV mining trials; Rio Tinto/BHP open-cut electrification roadmaps.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Low,Max-share trajectory reflects gradual fleet replacement across all mine types. Domestic mines with shorter remaining life have lower uptake than long-life export mines.,"Split into VIC brown coal, NSW/QLD open-cut, and Qld coking BEV pathways.",Maps to BEV coal production demand node.,FALSE,FALSE,7.2,47.0,progression,20,ambition1,02_ambition1,Ambition 1 | bev haulage,FALSE,1,O1,O1 | bev haul trucks,FALSE,,,244.0,0.656,0.92,0.014,0.04
coal_mining,coal_mining__bev_haulage,2040,Battery-electric heavy haulage,"BEV haul trucks replace primary haulage diesel. Drivetrain efficiency ~3× vs diesel ICE reduces site energy. Residual diesel retained for non-electric auxiliary plant. Most applicable to open-cut operations (Victorian brown coal, NSW/QLD open-cut, Qld coking coal). Investment appetite varies by mine life and remaining reserve horizon.",60,2024,AUD_2024,Annualised capital and O&M cost excluding explicit energy commodity purchases and excluding policy carbon costs.,"[""electricity"", ""refined_liquid_fuels"", ""natural_gas""]","[140.0, 80.0, 17.0]","[""GJ/kt_coal"", ""GJ/kt_coal"", ""GJ/kt_coal""]","Electrification of haulage raises elec to 123 GJ/kt, reduces rfuel to 125 GJ/kt (scaled from AES 2025 basis: 372 GJ/kt total conventional).","[{""pollutant"": ""CO2e"", ""value"": 6.5}]","[{""pollutant"": ""CO2e"", ""value"": 43.0}]",tCO2e/kt_coal,Direct on-site scope 1 emissions only. Electricity upstream (scope 2) excluded; captured by the electricity supply family. Fugitive methane reported as CO2e (IPCC AR6 GWP100).,0.25,,,National adoption bound reflecting equipment stock turnover (~10-15 yr mine vehicle life) and declining Australian coal demand constraining new capital.,All states available from 2025; uptake bounds reflect Australian mining investment context.,"[""S001"", ""S002"", ""S021""]","[""A002"", ""A003"", ""A009""]",Global BEV mining trials; Rio Tinto/BHP open-cut electrification roadmaps.,"Energy coefficients calibrated to AES 2025 Table F: 174 PJ / 467,739 kt = 372 GJ/kt (fuel split: rfuel 74%, elec 19%, gas 6%). Fugitive emissions calibrated to NGGI 2025: total coal mining scope 1 = 36 MtCO2e at 467,739 kt; fugitive residual = 36 Mt − 9.6 Mt energy = 26.4 Mt → 56.5 tCO2e/kt.",Low,Max-share trajectory reflects gradual fleet replacement across all mine types. Domestic mines with shorter remaining life have lower uptake than long-life export mines.,"Split into VIC brown coal, NSW/QLD open-cut, and Qld coking BEV pathways.",Maps to BEV coal production demand node.,FALSE,FALSE,6.5,43.0,progression,20,ambition1,02_ambition1,Ambition 1 | bev haulage,FALSE,1,O1,O1 | bev haul trucks,FALSE,,,237.0,0.637,0.94,0.016,0.045
