family_id,state_id,year,state_label,state_description,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity?,would_expand_to_process_chain?,energy_co2e,process_co2e,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,state_option_rank,state_option_code,state_option_label,balance_tuning_flag,balance_tuning_note,benchmark_balance_note
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__electrified,2025,Medium-temperature electrified heat,"Medium-temperature industrial heat supplied by electric boilers, advanced heat pumps and resistive process heating.",7.5,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.62],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.2,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S021""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,The achievable share remains uncertain and should be stress-tested.,"Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified,FALSE,1,O1,O1 | electrified,FALSE,,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__electrified,2030,Medium-temperature electrified heat,"Medium-temperature industrial heat supplied by electric boilers, advanced heat pumps and resistive process heating.",7.1,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.6],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.35,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S021""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,The achievable share remains uncertain and should be stress-tested.,"Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified,FALSE,1,O1,O1 | electrified,FALSE,,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__electrified,2035,Medium-temperature electrified heat,"Medium-temperature industrial heat supplied by electric boilers, advanced heat pumps and resistive process heating.",6.8,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.58],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.5,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S021""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,The achievable share remains uncertain and should be stress-tested.,"Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified,FALSE,1,O1,O1 | electrified,FALSE,,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__electrified,2040,Medium-temperature electrified heat,"Medium-temperature industrial heat supplied by electric boilers, advanced heat pumps and resistive process heating.",6.4,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.55],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.65,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S021""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,The achievable share remains uncertain and should be stress-tested.,"Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified,FALSE,1,O1,O1 | electrified,FALSE,,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__electrified,2045,Medium-temperature electrified heat,"Medium-temperature industrial heat supplied by electric boilers, advanced heat pumps and resistive process heating.",6.1,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.52],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.8,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S021""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,The achievable share remains uncertain and should be stress-tested.,"Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified,FALSE,1,O1,O1 | electrified,FALSE,,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__electrified,2050,Medium-temperature electrified heat,"Medium-temperature industrial heat supplied by electric boilers, advanced heat pumps and resistive process heating.",5.8,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.5],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.9,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S021""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,The achievable share remains uncertain and should be stress-tested.,"Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0,0,progression,20,ambition1,02_ambition1,Ambition 1 | electrified,FALSE,1,O1,O1 | electrified,FALSE,,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__fossil,2025,Medium-temperature incumbent mixed-fuel heat,"Reduced-form incumbent medium-temperature industrial heat with a recalibrated national-average mix of natural gas, limited coal and existing biomass/other industrial bioenergy use.",5,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""natural_gas"", ""coal"", ""biomass""]","[0.7, 0.1, 0.2]","[""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat""]",Calibration-oriented reduced-form incumbent heat mix. Fuel coefficients were re-tuned in the balance-ready pack to improve 2025 Australian commodity closure while retaining a plausible mixed-fuel incumbent representation.,"[{""pollutant"": ""CO2e"", ""value"": 0.045069}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Balance-ready incumbent. Use as a calibration-oriented national average, not a plant-specific archetype.","Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0.045069,0,progression,10,incumbent,01_incumbent,Incumbent | mixed-fuel heat,TRUE,0,O0,O0 | mixed-fuel heat,TRUE,Fuel mix re-tuned in the balance-ready pack to reduce 2025 coal overstatement and improve national commodity closure. Treat as a calibration-oriented incumbent rather than a literal subsector average.,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__fossil,2030,Medium-temperature incumbent mixed-fuel heat,"Reduced-form incumbent medium-temperature industrial heat with a recalibrated national-average mix of natural gas, limited coal and existing biomass/other industrial bioenergy use.",5.1,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""natural_gas"", ""coal"", ""biomass""]","[0.683417,0.090452,0.231156]","[""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat""]",Calibration-oriented reduced-form incumbent heat mix. Fuel coefficients were re-tuned in the balance-ready pack to improve 2025 Australian commodity closure while retaining a plausible mixed-fuel incumbent representation.,"[{""pollutant"":""CO2e"",""value"":0.043356}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.8,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Balance-ready incumbent. Use as a calibration-oriented national average, not a plant-specific archetype.","Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0.043356,0,progression,10,incumbent,01_incumbent,Incumbent | mixed-fuel heat,TRUE,0,O0,O0 | mixed-fuel heat,TRUE,Fuel mix re-tuned in the balance-ready pack to reduce 2025 coal overstatement and improve national commodity closure. Treat as a calibration-oriented incumbent rather than a literal subsector average.,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__fossil,2035,Medium-temperature incumbent mixed-fuel heat,"Reduced-form incumbent medium-temperature industrial heat with a recalibrated national-average mix of natural gas, limited coal and existing biomass/other industrial bioenergy use.",5.2,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""natural_gas"", ""coal"", ""biomass""]","[0.666667,0.080808,0.262626]","[""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat""]",Calibration-oriented reduced-form incumbent heat mix. Fuel coefficients were re-tuned in the balance-ready pack to improve 2025 Australian commodity closure while retaining a plausible mixed-fuel incumbent representation.,"[{""pollutant"":""CO2e"",""value"":0.041624}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.6,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Balance-ready incumbent. Use as a calibration-oriented national average, not a plant-specific archetype.","Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0.041624,0,progression,10,incumbent,01_incumbent,Incumbent | mixed-fuel heat,TRUE,0,O0,O0 | mixed-fuel heat,TRUE,Fuel mix re-tuned in the balance-ready pack to reduce 2025 coal overstatement and improve national commodity closure. Treat as a calibration-oriented incumbent rather than a literal subsector average.,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__fossil,2040,Medium-temperature incumbent mixed-fuel heat,"Reduced-form incumbent medium-temperature industrial heat with a recalibrated national-average mix of natural gas, limited coal and existing biomass/other industrial bioenergy use.",5.3,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""natural_gas"", ""coal"", ""biomass""]","[0.649746,0.071066,0.294416]","[""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat""]",Calibration-oriented reduced-form incumbent heat mix. Fuel coefficients were re-tuned in the balance-ready pack to improve 2025 Australian commodity closure while retaining a plausible mixed-fuel incumbent representation.,"[{""pollutant"":""CO2e"",""value"":0.039876}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.4,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Balance-ready incumbent. Use as a calibration-oriented national average, not a plant-specific archetype.","Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0.039876,0,progression,10,incumbent,01_incumbent,Incumbent | mixed-fuel heat,TRUE,0,O0,O0 | mixed-fuel heat,TRUE,Fuel mix re-tuned in the balance-ready pack to reduce 2025 coal overstatement and improve national commodity closure. Treat as a calibration-oriented incumbent rather than a literal subsector average.,
medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__fossil,2045,Medium-temperature incumbent mixed-fuel heat,"Reduced-form incumbent medium-temperature industrial heat with a recalibrated national-average mix of natural gas, limited coal and existing biomass/other industrial bioenergy use.",5.4,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""natural_gas"", ""coal"", ""biomass""]","[0.632653,0.061224,0.326531]","[""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat"", ""GJ/GJ_useful_heat""]",Calibration-oriented reduced-form incumbent heat mix. Fuel coefficients were re-tuned in the balance-ready pack to improve 2025 Australian commodity closure while retaining a plausible mixed-fuel incumbent representation.,"[{""pollutant"":""CO2e"",""value"":0.038109}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.25,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service states.,"[""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band state families are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Balance-ready incumbent. Use as a calibration-oriented national average, not a plant-specific archetype.","Replace with subsector/process-specific service or process states (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE,0.038109,0,progression,10,incumbent,01_incumbent,Incumbent | mixed-fuel heat,TRUE,0,O0,O0 | mixed-fuel heat,TRUE,Fuel mix re-tuned in the balance-ready pack to reduce 2025 coal overstatement and improve national commodity closure. Treat as a calibration-oriented incumbent rather than a literal subsector average.,
