source_id,citation,publication_date,institution,url_or_document_location,parameters_informed,quality_authority_notes
S001,Australian Energy Update 2025 / Australian Energy Statistics 2023–24 tables.,2025-10,"Australian Government, Department of Climate Change, Energy, the Environment and Water (DCCEEW)",energy.gov.au — Australian Energy Update 2025 and Australian Energy Statistics data tables,National energy totals by sector; road transport energy; residential/commercial/agriculture energy; electricity generation context,Primary official Australian energy statistics. Best available baseline for 2023–24 sector final energy and transformation energy.
S002,Australian Energy Flows 2023–24.,2025-10,Australian Government (DCCEEW),energy.gov.au — Australian Energy Statistics / Energy Flows 2023–24,"Sector-by-fuel final energy splits for transport, manufacturing, residential, commercial, agriculture","Primary official Sankey-style energy flow dataset. Used to anchor fuel shares, not technology-level detail."
S003,Australian Energy Statistics Table O / latest electricity generation by source.,2025-10,Australian Government (DCCEEW),Australian Energy Statistics Table O,2024 national electricity generation and renewable/fossil shares,Official Australian generation statistics; suitable baseline for national frontier calibration.
S004,"National Inventory Report 2023, submitted to the UNFCCC in May 2025.",2025-05,Australian Government (DCCEEW),dcceew.gov.au — National Inventory Report 2023,Official greenhouse-gas accounting basis and inventory boundary conventions,Primary national inventory document. Most authoritative source for accounting boundary choices.
S005,National Inventory by Economic Sector (NIbES) 2023 methodology and workbook.,2025,Australian Government (DCCEEW),dcceew.gov.au — National Inventory by Economic Sector 2023 methodology page and workbook,Sector emissions structure; scope-1 versus scope-2 treatment; uncertainty notes,Official disaggregation of inventory to economic sectors. Higher uncertainty than headline inventory but still primary.
S006,Quarterly Update of Australia’s National Greenhouse Gas Inventory.,2025,Australian Government (DCCEEW),dcceew.gov.au — Quarterly Update of Australia’s National Greenhouse Gas Inventory,"Recent sector emissions totals for electricity, transport, agriculture and national total",Official short-run update; used for current sector context where the full inventory lags by one year.
S007,Australia’s Emissions Projections 2025.,2025-12,Australian Government (DCCEEW),dcceew.gov.au — Emissions Projections 2025,"Milestone-year sector trajectories, land-sector sink outlook, transport and electricity trajectory context","Primary current federal projection. Configuration framing is policy-based, not normative net-zero optimization."
S008,CSIRO GenCost 2025–26 consultation summary / landing page.,2025,CSIRO,csiro.au — GenCost,2030 and 2050 electricity system cost and deep-decarbonisation emissions intensity benchmarks,Australian planning benchmark widely used in electricity-sector analysis.
S009,CSIRO GenCost 2024–25 final report and Appendix B techno-economic tables.,2024,CSIRO,CSIRO GenCost 2024–25 final report PDF,"Technology cost trajectories for VRE, gas, CCS, and electrolysers",Transparent technology-cost source; used to interpolate reduced-form method trajectories.
S010,AEMO 2024 Integrated System Plan (ISP).,2024-06,Australian Energy Market Operator (AEMO),aemo.com.au — 2024 Integrated System Plan,"Electricity system pathway structure, renewable shares, system design and gas backup role",Primary Australian power-system planning source. Strong for NEM structure but not a whole-Australia non-NEM model.
S011,ACIL Allen 2025 Natural Gas Price Forecast Report for AEMO.,2025,ACIL Allen / AEMO,AEMO assumptions portal — Natural Gas Price Forecast Report 2025,Indicative industrial gas price trajectory used qualitatively in cost notes,"High-quality planning assumption set; used for real Australian gas price context, not hard-coded into all methods."
S012,BITRE passenger transport statistics workbook.,2025,Bureau of Infrastructure and Transport Research Economics (BITRE),bitre.gov.au — passenger transport statistics,National passenger-km benchmarks for road passenger transport calibration,Official transport statistics. Suitable for service-output calibration.
S013,BITRE freight linehaul / transport yearbook statistics.,2025,BITRE,bitre.gov.au — freight linehaul and Australian infrastructure statistics yearbook,Road freight tonne-km benchmark,Official freight-task benchmark.
S014,National Electric Vehicle Strategy annual update 2024–25 and 2023–24 update.,2025,Australian Government,industry.gov.au / transport.gov.au — National EV Strategy annual updates,"EV sales share, new light vehicle fuel economy trend, NVES context",Primary current federal transport-policy source.
S015,AAA / CIE submission with representative new light vehicle characteristics and running costs.,2025,Australian Automobile Association / Centre for International Economics,AAA submission appendix tables,Passenger vehicle efficiency and cost comparison by drivetrain,"Transparent, Australia-specific secondary source. Good for relative technology deltas."
S016,ARENA / AECOM Electrifying Road Freight report.,2024,ARENA / AECOM,arena.gov.au / AECOM road freight electrification report,"Road freight emissions share, freight transition context, 2050 freight growth",High-quality Australian transport decarbonisation study.
S017,Energeia commercial freight electrification case-study report.,2025,Energeia,commercial EV freight case-study report,Representative BEV freight electricity use and range context,Operational Australian case-study evidence; informative but not national average by itself.
S018,AEMO gas-electricity meter data linkage / residential electrification analysis.,2025,AEMO,AEMO gas/electric meter electrification analysis report,Residential building electrification pace and end-use focus,High-quality Australian operational evidence for building electrification direction.
S019,"State building electrification roadmaps and regulatory advice (e.g., Victorian Gas Substitution Roadmap).",2022-2025,Victorian Government and other state sources,Relevant state roadmap and program pages,Qualitative plausibility of building electrification cost and service-shift trajectories,"Policy and program sources; useful directional evidence, not national calibration data."
S020,AEMO GSOO / gas-infrastructure-review electrification methods and forecasts.,2025-2026,AEMO,AEMO GSOO methodology and NSW Gas Infrastructure Review,Commercial/residential gas switching representation; freight EV share context,"Planning source. Strong for direction and bounds, weaker for direct cost parameters."
S021,AEMO Energy Efficiency Forecasts final report and consultation materials.,2024-2025,AEMO,AEMO energy efficiency forecasts,Industrial efficiency and electrification direction,Useful planning evidence but not a process-level industrial dataset.
S022,HILT CRC policy brief on green iron and steel routes.,2025,Heavy Industry Low-carbon Transition CRC (HILT CRC),HILT CRC policy brief / response,Hydrogen-based steel route emissions and technology maturity,Australia-specific sector study; strong for route comparisons but still emerging.
S023,CEFC / ETI steel decarbonisation phase 3 analysis.,2024-2025,CEFC / Energy Transitions Initiative,CEFC / ETI steel sector decarbonisation report,Australian timing for steel route transitions and hydrogen uptake,Configuration modelling rather than official statistics; useful for pathway sequencing.
S024,IEA steel technology pages and roadmaps.,2023-2025,International Energy Agency (IEA),iea.org — steel analysis and CCUS route notes,Global steel intensity benchmarks; CCS and H2 cost/energy context,Primary international techno-economic reference; used where Australian process data are sparse.
S025,Cement Industry Federation (CIF) Decarbonisation Pathways report and industry data pages.,2022-2026,Cement Industry Federation (CIF),cement.org.au — CIF decarbonisation pathways and production statistics,"Clinker/cement factors, specific thermal and electrical intensity, alternative-fuel shares, Australian production",Best Australia-specific cement pathway source. Industry source but transparent and widely used.
S026,IEA cement technology pages.,2024-2025,IEA,iea.org — cement analysis,International cement performance benchmarks and CCUS penalties,Strong international benchmark; used to cross-check Australian industry values.
S027,ABS livestock products statistics 2023–24.,2025,Australian Bureau of Statistics (ABS),abs.gov.au — livestock products and values,Livestock output bundle sizing for coarse agriculture representation,Primary official output-value benchmark.
S028,ABS broadacre crops statistics 2023–24.,2025,ABS,abs.gov.au — broadacre crops,Cropping output bundle sizing,Primary official output-value benchmark.
S029,ABS horticulture statistics 2023–24.,2025,ABS,abs.gov.au — horticulture statistics,Cropping/horticulture output bundle sizing,Primary official output-value benchmark.
S030,Climate Change Authority (CCA) and AEMO carbon sequestration / removals discussion papers.,2024-2025,Climate Change Authority / AEMO,CCA sequestration insights papers; AEMO assumption consultation summary,Land sequestration constraints and treatment of DAC/CCS uncertainty,Policy/planning analysis. Strong for uncertainty framing; less suitable for exact cost points.
S031,IEA direct air capture (DAC) analysis and cost commentary.,2022-2025,IEA,iea.org — direct air capture analysis,Indicative DAC cost ranges and long-run cost reduction potential,Primary international emerging-technology source.
S032,National Greenhouse Accounts (NGA) Factors 2024/2025 and Cold Hard Facts transport factors.,2024-2025,Australian Government,dcceew.gov.au — NGA Factors; transport emissions factors references,Direct combustion emission factors for gas and liquid fuels; accounting convention notes,Primary official emissions-factor set.
S033,Australian Steel Institute (ASI) industry context pages and white paper.,2023-2025,Australian Steel Institute,steel.org.au — industry overview and sustainable steel white paper,Indicative current Australian steel production scale,Industry association source; useful for order-of-magnitude calibration only.
S034,DCCEEW low-energy buildings and household retrofit program guidance.,2024-2025,"Australian Government, Department of Climate Change, Energy, the Environment and Water",energy.gov.au / energy.gov.au-business and homes retrofit guidance,Residential building-shell retrofit savings and retrofit program context,Australian policy/program source appropriate for directional retrofit savings and rollout logic.
S035,DCCEEW industrial process heat guidance and CEFC/EEC gas-efficiency guide.,2024-2025,"Australian Government; Clean Energy Finance Corporation; Energy Efficiency Council",energy.gov.au process heat pages and the Australian Manufacturing Gas Efficiency Guide,Low-temperature industrial heat retrofit and optimisation opportunities,High-quality Australian directional evidence for boiler/steam-system efficiency measures though not a plant-by-plant cost database.
