representation_id,role_id,anchor_year,method_id,incumbent_share,incumbent_basis,notes
serve_residential_building_occupants__pathway_bundle,serve_residential_building_occupants,2025,buildings__residential__incumbent_mixed_fuels,1.0,default_pathway_method,Pathway representation anchors to the incumbent mixed-fuel method.
provide_residential_water_heating__pathway_bundle,provide_residential_water_heating,2025,buildings__residential_water_heating__incumbent_mixed_fuels,1.0,default_pathway_method,Pathway representation anchors to the incumbent mixed-fuel residential hot-water method.
provide_residential_water_heating__technology_bundle,provide_residential_water_heating,2025,buildings__residential_water_heating__gas_storage,0.48,technology_incumbent_mix,Gas storage and instantaneous systems remain the largest incumbent hot-water technology block in this v1 calibration.
provide_residential_water_heating__technology_bundle,provide_residential_water_heating,2025,buildings__residential_water_heating__resistive_electric,0.32,technology_incumbent_mix,Resistive electric storage systems remain a material incumbent stock share.
provide_residential_water_heating__technology_bundle,provide_residential_water_heating,2025,buildings__residential_water_heating__electric_heat_pump,0.12,technology_incumbent_mix,Heat-pump water heaters are represented as a smaller but growing incumbent stock share.
provide_residential_water_heating__technology_bundle,provide_residential_water_heating,2025,buildings__residential_water_heating__solar_boosted,0.08,technology_incumbent_mix,Solar or boosted systems are represented as a smaller incumbent stock share.
serve_commercial_building_occupants__pathway_bundle,serve_commercial_building_occupants,2025,buildings__commercial__incumbent_mixed_fuels,1.0,default_pathway_method,Pathway representation anchors to the incumbent mixed-fuel method.
account_remaining_residential_building_services__pathway_bundle,account_remaining_residential_building_services,2025,residential_other__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
account_remaining_commercial_building_services__pathway_bundle,account_remaining_commercial_building_services,2025,commercial_other__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
move_passengers_by_road__pathway_bundle,move_passengers_by_road,2025,road_transport__passenger_road__ice_fleet,1.0,default_pathway_method,Pathway representation anchors to the incumbent ICE fleet method.
move_freight_by_road__pathway_bundle,move_freight_by_road,2025,road_transport__freight_road__diesel,1.0,default_pathway_method,Pathway representation anchors to the incumbent diesel fleet method.
move_passengers_by_rail__pathway_bundle,move_passengers_by_rail,2025,transport_rail_passenger__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
move_freight_by_rail__pathway_bundle,move_freight_by_rail,2025,transport_rail_freight__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
move_passengers_by_air__pathway_bundle,move_passengers_by_air,2025,transport_air_passenger__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
move_freight_by_marine__pathway_bundle,move_freight_by_marine,2025,transport_marine_freight__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
operate_off_road_mobile_equipment__pathway_bundle,operate_off_road_mobile_equipment,2025,transport_other_non_road__residual_incumbent,1.0,residual_incumbent_method,Residual representation anchors to its residual incumbent method.
deliver_low_temperature_heat__pathway_bundle,deliver_low_temperature_heat,2025,generic_industrial_heat__low_temperature_heat__fossil,1.0,default_pathway_method,Pathway representation anchors to the incumbent fossil heat method.
deliver_medium_temperature_heat__pathway_bundle,deliver_medium_temperature_heat,2025,generic_industrial_heat__medium_temperature_heat__fossil,1.0,default_pathway_method,Pathway representation anchors to the incumbent fossil heat method.
deliver_high_temperature_heat__pathway_bundle,deliver_high_temperature_heat,2025,generic_industrial_heat__high_temperature_heat__fossil,1.0,default_pathway_method,Pathway representation anchors to the incumbent fossil heat method.
