node_id,node_label,description,parent_node_id,node_kind,boundary,display_order,notes
operate_australian_energy_and_emissions_system,Operate Australian energy and emissions system,Root navigation cluster covering domestic activity and Australian export-gate resource supply,,root,Australia domestic activity plus Australian export gate,0,Required root for grouping/navigation only.
serve_building_occupants,Serve building occupants,Group navigation cluster for building service roles,operate_australian_energy_and_emissions_system,cluster,Australian building service boundary,10,Grouping cluster with no authoritative coverage of its own.
move_people_and_freight,Move people and freight,Group navigation cluster for transport roles,operate_australian_energy_and_emissions_system,cluster,Domestic transport activity,20,Grouping cluster with no authoritative coverage of its own.
make_materials_and_products,Make materials and products,Group navigation cluster for industrial production and host-owned heat roles,operate_australian_energy_and_emissions_system,cluster,Australian production boundary,30,Grouping cluster with no authoritative coverage of its own.
supply_domestic_energy_carriers,Supply domestic energy carriers,Group navigation cluster for domestic energy carrier supply roles,operate_australian_energy_and_emissions_system,cluster,Domestic energy supply boundary,40,Grouping cluster with no authoritative coverage of its own.
grow_food_and_biomass,Grow food and biomass,Group navigation cluster for agriculture and biomass roles,operate_australian_energy_and_emissions_system,cluster,Australian agriculture and land production,50,Grouping cluster with no authoritative coverage of its own.
manage_water_and_waste,Manage water and waste,Group navigation cluster for water and waste roles,operate_australian_energy_and_emissions_system,cluster,Australian water and waste systems,60,Grouping cluster with no authoritative coverage of its own.
remove_and_store_carbon,Remove and store carbon,Group navigation cluster for carbon removal storage and transport roles,operate_australian_energy_and_emissions_system,cluster,Australian removals and storage boundary,70,Grouping cluster with no authoritative coverage of its own.
supply_resources_to_export_gate,Supply resources to export gate,Group navigation cluster for export-gate resource supply roles,operate_australian_energy_and_emissions_system,cluster,Australian export gate,80,Grouping cluster with no authoritative coverage of its own.
account_remaining_domestic_activity,Account remaining domestic activity,Group navigation cluster for residual or other domestic activity roles outside the explicit clusters,operate_australian_energy_and_emissions_system,cluster,Australian domestic activity,90,Grouping cluster with no authoritative coverage of its own.
