role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__conventional,2025,16,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[3.2],"[""GJ_kiln_heat/t_clinker""]",Conventional clinker owns calcination process emissions and consumes host-specific kiln heat from the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.86}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,1,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__conventional,2030,16,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[3.15],"[""GJ_kiln_heat/t_clinker""]",Conventional clinker owns calcination process emissions and consumes host-specific kiln heat from the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.84}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,0.7,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__conventional,2035,17,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[3.1],"[""GJ_kiln_heat/t_clinker""]",Conventional clinker owns calcination process emissions and consumes host-specific kiln heat from the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.82}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,0.5,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__conventional,2040,17,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[3.05],"[""GJ_kiln_heat/t_clinker""]",Conventional clinker owns calcination process emissions and consumes host-specific kiln heat from the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.8}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,0.3,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__conventional,2045,18,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[3],"[""GJ_kiln_heat/t_clinker""]",Conventional clinker owns calcination process emissions and consumes host-specific kiln heat from the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.78}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,0.2,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__conventional,2050,18,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[2.95],"[""GJ_kiln_heat/t_clinker""]",Conventional clinker owns calcination process emissions and consumes host-specific kiln heat from the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.76}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,0.1,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__low_carbon_calciner,2025,19,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[3],"[""GJ_kiln_heat/t_clinker""]",Low-carbon clinker reduces thermal demand and calcination intensity but leaves kiln fuel emissions with the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.82}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,0.4,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__low_carbon_calciner,2030,19,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[2.9],"[""GJ_kiln_heat/t_clinker""]",Low-carbon clinker reduces thermal demand and calcination intensity but leaves kiln fuel emissions with the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.78}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,0.7,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__low_carbon_calciner,2035,20,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[2.8],"[""GJ_kiln_heat/t_clinker""]",Low-carbon clinker reduces thermal demand and calcination intensity but leaves kiln fuel emissions with the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.74}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,0.9,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
make_clinker_intermediate,make_clinker_intermediate__pathway_bundle,cement__clinker__low_carbon_calciner,2040,20,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""cement_kiln_heat""]",[2.7],"[""GJ_kiln_heat/t_clinker""]",Low-carbon clinker reduces thermal demand and calcination intensity but leaves kiln fuel emissions with the kiln heat child.,[],"[{""pollutant"":""CO2e"",""value"":0.7}]",tCO2e/t_clinker,Clinker child owns calcination process emissions. Kiln fuel emissions are excluded and assigned to generate_cement_kiln_heat.,1,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
