family_id,state_id,year,state_label,state_description,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity?,would_expand_to_process_chain?,energy_co2e,process_co2e,state_stage_family,state_stage_rank,state_stage_code,state_sort_key,state_label_standardized,is_default_incumbent_2025,state_option_rank,state_option_code,state_option_label,balance_tuning_flag,balance_tuning_note,benchmark_balance_note
freight_road_transport,road_transport__freight_road__bev,2025,Battery-electric road freight,"Battery-electric road freight service suitable first for urban, depot-based and shorter-haul tasks and later for a wider share of freight.",0.13,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.0008],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.08,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S016"", ""S017"", ""S020""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Low,Coefficient is a nationalised average across heterogeneous freight tasks; should be refined with payload class splits in Phase 2.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | bev,FALSE,2,O2,O2 | bev,FALSE,,
freight_road_transport,road_transport__freight_road__bev,2030,Battery-electric road freight,"Battery-electric road freight service suitable first for urban, depot-based and shorter-haul tasks and later for a wider share of freight.",0.115,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.00075],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.2,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S016"", ""S017"", ""S020""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Low,Coefficient is a nationalised average across heterogeneous freight tasks; should be refined with payload class splits in Phase 2.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | bev,FALSE,2,O2,O2 | bev,FALSE,,
freight_road_transport,road_transport__freight_road__bev,2035,Battery-electric road freight,"Battery-electric road freight service suitable first for urban, depot-based and shorter-haul tasks and later for a wider share of freight.",0.1,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.0007],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.45,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S016"", ""S017"", ""S020""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Low,Coefficient is a nationalised average across heterogeneous freight tasks; should be refined with payload class splits in Phase 2.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | bev,FALSE,2,O2,O2 | bev,FALSE,,
freight_road_transport,road_transport__freight_road__bev,2040,Battery-electric road freight,"Battery-electric road freight service suitable first for urban, depot-based and shorter-haul tasks and later for a wider share of freight.",0.09,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.00065],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.7,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S016"", ""S017"", ""S020""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Low,Coefficient is a nationalised average across heterogeneous freight tasks; should be refined with payload class splits in Phase 2.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | bev,FALSE,2,O2,O2 | bev,FALSE,,
freight_road_transport,road_transport__freight_road__bev,2045,Battery-electric road freight,"Battery-electric road freight service suitable first for urban, depot-based and shorter-haul tasks and later for a wider share of freight.",0.08,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.0006],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.85,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S016"", ""S017"", ""S020""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Low,Coefficient is a nationalised average across heterogeneous freight tasks; should be refined with payload class splits in Phase 2.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | bev,FALSE,2,O2,O2 | bev,FALSE,,
freight_road_transport,road_transport__freight_road__bev,2050,Battery-electric road freight,"Battery-electric road freight service suitable first for urban, depot-based and shorter-haul tasks and later for a wider share of freight.",0.072,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""electricity""]",[0.00055],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.95,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S016"", ""S017"", ""S020""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Low,Coefficient is a nationalised average across heterogeneous freight tasks; should be refined with payload class splits in Phase 2.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0,0,progression,30,ambition2,03_ambition2,Ambition 2 | bev,FALSE,2,O2,O2 | bev,FALSE,,
freight_road_transport,road_transport__freight_road__diesel,2025,Diesel road freight,"Conventional diesel road freight service benchmark, spanning medium and heavy road freight at a national-average level.",0.085,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""refined_liquid_fuels""]",[0.00205],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.000141}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S001"", ""S013"", ""S016"", ""S032""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,2025 coefficient reproduces roughly 36 MtCO2e road-freight emissions when combined with BITRE road tonne-km.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0.000141,0,progression,10,incumbent,01_incumbent,Incumbent | diesel,TRUE,0,O0,O0 | diesel,FALSE,,
freight_road_transport,road_transport__freight_road__diesel,2030,Diesel road freight,"Conventional diesel road freight service benchmark, spanning medium and heavy road freight at a national-average level.",0.084,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""refined_liquid_fuels""]",[0.00198],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.000137}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.85,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S001"", ""S013"", ""S016"", ""S032""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,2025 coefficient reproduces roughly 36 MtCO2e road-freight emissions when combined with BITRE road tonne-km.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0.000137,0,progression,10,incumbent,01_incumbent,Incumbent | diesel,TRUE,0,O0,O0 | diesel,FALSE,,
freight_road_transport,road_transport__freight_road__diesel,2035,Diesel road freight,"Conventional diesel road freight service benchmark, spanning medium and heavy road freight at a national-average level.",0.083,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""refined_liquid_fuels""]",[0.0019],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.000131}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.6,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S001"", ""S013"", ""S016"", ""S032""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,2025 coefficient reproduces roughly 36 MtCO2e road-freight emissions when combined with BITRE road tonne-km.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0.000131,0,progression,10,incumbent,01_incumbent,Incumbent | diesel,TRUE,0,O0,O0 | diesel,FALSE,,
freight_road_transport,road_transport__freight_road__diesel,2040,Diesel road freight,"Conventional diesel road freight service benchmark, spanning medium and heavy road freight at a national-average level.",0.082,2024,AUD_2024,"Annualised vehicle/platform, maintenance and non-energy service-delivery cost excluding explicit energy commodity purchases and excluding policy carbon costs.","[""refined_liquid_fuels""]",[0.00182],"[""GJ/tkm""]",Direct final-energy input only. Electricity and hydrogen take upstream emissions through their own supply sectors if those sectors are modelled.,"[{""pollutant"": ""CO2e"", ""value"": 0.000126}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/tkm,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply states to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.35,,,Indicative national adoption bound only. No explicit vehicle stock turnover or infrastructure optimisation in Phase 1.,"All states are available from 2025 in the reduced-form library, but uptake bounds implicitly reflect infrastructure and stock turnover constraints.","[""S001"", ""S013"", ""S016"", ""S032""]","[""A002"", ""A003"", ""A008"", ""A022"", ""A023""]",Service calibration uses official BITRE passenger-km or tonne-km and official Australian road-energy totals; pathway direction uses Australian EV and road-freight studies.,Hybrid synthesis. Incumbent states are calibrated to aggregate Australian road energy and freight/passenger task data; transition states reflect Australian drivetrain efficiency and cost evidence with smoothed milestone trajectories.,Medium,2025 coefficient reproduces roughly 36 MtCO2e road-freight emissions when combined with BITRE road tonne-km.,"Split by light-duty passenger, buses, vans/light commercial, medium trucks and heavy articulated trucks, with explicit stock rollover.","These reduced-form service states can map to demand technologies in TIMES with vintaged vehicle stocks, charging/fuelling infrastructure and explicit occupancy/load factors.",FALSE,FALSE,0.000126,0,progression,10,incumbent,01_incumbent,Incumbent | diesel,TRUE,0,O0,O0 | diesel,FALSE,,
