role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__h2_shaft_furnace,2025,70,2024,AUD_2024,"Annualised DRI shaft-furnace conversion cost excluding explicitly listed iron ore, hydrogen, and electricity inputs.","[""iron_ore"",""hydrogen"",""electricity""]","[1.55,8.4,0.55]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]","Direct DRI production inputs only. Pelletising, fluxes, and minor materials are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.02}]","[{""pollutant"":""CO2e"",""value"":0.03}]",tCO2e/t_dri,Direct DRI production emissions only. Upstream hydrogen and electricity emissions are represented outside this end-use coefficient.,0,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Low,"Pilot split of the aggregate H2 DRI route. Hydrogen and power intensities are route archetypes, not plant-specific engineering values.","Expand into pelletising, shaft furnace, hydrogen supply, heat recovery, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__h2_shaft_furnace,2030,65,2024,AUD_2024,"Annualised DRI shaft-furnace conversion cost excluding explicitly listed iron ore, hydrogen, and electricity inputs.","[""iron_ore"",""hydrogen"",""electricity""]","[1.53,8,0.5]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]","Direct DRI production inputs only. Pelletising, fluxes, and minor materials are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.015}]","[{""pollutant"":""CO2e"",""value"":0.03}]",tCO2e/t_dri,Direct DRI production emissions only. Upstream hydrogen and electricity emissions are represented outside this end-use coefficient.,0.1,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Low,"Pilot split of the aggregate H2 DRI route. Hydrogen and power intensities are route archetypes, not plant-specific engineering values.","Expand into pelletising, shaft furnace, hydrogen supply, heat recovery, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__h2_shaft_furnace,2035,60,2024,AUD_2024,"Annualised DRI shaft-furnace conversion cost excluding explicitly listed iron ore, hydrogen, and electricity inputs.","[""iron_ore"",""hydrogen"",""electricity""]","[1.51,7.5,0.47]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]","Direct DRI production inputs only. Pelletising, fluxes, and minor materials are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.01}]","[{""pollutant"":""CO2e"",""value"":0.025}]",tCO2e/t_dri,Direct DRI production emissions only. Upstream hydrogen and electricity emissions are represented outside this end-use coefficient.,0.25,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Low,"Pilot split of the aggregate H2 DRI route. Hydrogen and power intensities are route archetypes, not plant-specific engineering values.","Expand into pelletising, shaft furnace, hydrogen supply, heat recovery, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__h2_shaft_furnace,2040,55,2024,AUD_2024,"Annualised DRI shaft-furnace conversion cost excluding explicitly listed iron ore, hydrogen, and electricity inputs.","[""iron_ore"",""hydrogen"",""electricity""]","[1.49,7,0.45]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]","Direct DRI production inputs only. Pelletising, fluxes, and minor materials are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.008}]","[{""pollutant"":""CO2e"",""value"":0.02}]",tCO2e/t_dri,Direct DRI production emissions only. Upstream hydrogen and electricity emissions are represented outside this end-use coefficient.,0.45,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Low,"Pilot split of the aggregate H2 DRI route. Hydrogen and power intensities are route archetypes, not plant-specific engineering values.","Expand into pelletising, shaft furnace, hydrogen supply, heat recovery, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__h2_shaft_furnace,2045,52,2024,AUD_2024,"Annualised DRI shaft-furnace conversion cost excluding explicitly listed iron ore, hydrogen, and electricity inputs.","[""iron_ore"",""hydrogen"",""electricity""]","[1.47,6.6,0.43]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]","Direct DRI production inputs only. Pelletising, fluxes, and minor materials are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.006}]","[{""pollutant"":""CO2e"",""value"":0.015}]",tCO2e/t_dri,Direct DRI production emissions only. Upstream hydrogen and electricity emissions are represented outside this end-use coefficient.,0.7,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Low,"Pilot split of the aggregate H2 DRI route. Hydrogen and power intensities are route archetypes, not plant-specific engineering values.","Expand into pelletising, shaft furnace, hydrogen supply, heat recovery, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__h2_shaft_furnace,2050,50,2024,AUD_2024,"Annualised DRI shaft-furnace conversion cost excluding explicitly listed iron ore, hydrogen, and electricity inputs.","[""iron_ore"",""hydrogen"",""electricity""]","[1.45,6.2,0.4]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]","Direct DRI production inputs only. Pelletising, fluxes, and minor materials are outside the Phase 1 pilot boundary.","[{""pollutant"":""CO2e"",""value"":0.005}]","[{""pollutant"":""CO2e"",""value"":0.01}]",tCO2e/t_dri,Direct DRI production emissions only. Upstream hydrogen and electricity emissions are represented outside this end-use coefficient.,0.9,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.",Treated as material only from 2030 onward through share caps; 2025 row is retained for milestone completeness.,"[""S022"",""S023"",""S024"",""S009""]","[""A002"",""A003"",""A014"",""A015"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Low,"Pilot split of the aggregate H2 DRI route. Hydrogen and power intensities are route archetypes, not plant-specific engineering values.","Expand into pelletising, shaft furnace, hydrogen supply, heat recovery, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__gas_shaft_furnace,2025,58,2024,AUD_2024,"Annualised gas DRI conversion cost excluding explicitly listed iron ore, natural gas, and electricity inputs.","[""iron_ore"",""natural_gas"",""electricity""]","[1.55,11,0.25]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]",Direct DRI production inputs only. Methane leakage and upstream gas supply are outside this end-use coefficient.,"[{""pollutant"":""CO2e"",""value"":0.65}]","[{""pollutant"":""CO2e"",""value"":0.15}]",tCO2e/t_dri,Direct gas DRI route emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.15,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.","Available as a transitional route, then phased down by 2050 through share caps.","[""S022"",""S023"",""S024""]","[""A002"",""A003"",""A014"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Exploratory,Transitional comparator. Included to test technology-bundle selection in the intermediate DRI role.,"Expand into gas reforming, shaft furnace, capture retrofit, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__gas_shaft_furnace,2030,57,2024,AUD_2024,"Annualised gas DRI conversion cost excluding explicitly listed iron ore, natural gas, and electricity inputs.","[""iron_ore"",""natural_gas"",""electricity""]","[1.54,10.5,0.25]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]",Direct DRI production inputs only. Methane leakage and upstream gas supply are outside this end-use coefficient.,"[{""pollutant"":""CO2e"",""value"":0.62}]","[{""pollutant"":""CO2e"",""value"":0.14}]",tCO2e/t_dri,Direct gas DRI route emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.2,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.","Available as a transitional route, then phased down by 2050 through share caps.","[""S022"",""S023"",""S024""]","[""A002"",""A003"",""A014"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Exploratory,Transitional comparator. Included to test technology-bundle selection in the intermediate DRI role.,"Expand into gas reforming, shaft furnace, capture retrofit, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__gas_shaft_furnace,2035,56,2024,AUD_2024,"Annualised gas DRI conversion cost excluding explicitly listed iron ore, natural gas, and electricity inputs.","[""iron_ore"",""natural_gas"",""electricity""]","[1.53,10,0.24]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]",Direct DRI production inputs only. Methane leakage and upstream gas supply are outside this end-use coefficient.,"[{""pollutant"":""CO2e"",""value"":0.6}]","[{""pollutant"":""CO2e"",""value"":0.13}]",tCO2e/t_dri,Direct gas DRI route emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.15,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.","Available as a transitional route, then phased down by 2050 through share caps.","[""S022"",""S023"",""S024""]","[""A002"",""A003"",""A014"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Exploratory,Transitional comparator. Included to test technology-bundle selection in the intermediate DRI role.,"Expand into gas reforming, shaft furnace, capture retrofit, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
produce_direct_reduced_iron,produce_direct_reduced_iron__technology_bundle,steel__dri__gas_shaft_furnace,2040,55,2024,AUD_2024,"Annualised gas DRI conversion cost excluding explicitly listed iron ore, natural gas, and electricity inputs.","[""iron_ore"",""natural_gas"",""electricity""]","[1.52,9.5,0.24]","[""t/t_dri"",""GJ/t_dri"",""MWh/t_dri""]",Direct DRI production inputs only. Methane leakage and upstream gas supply are outside this end-use coefficient.,"[{""pollutant"":""CO2e"",""value"":0.58}]","[{""pollutant"":""CO2e"",""value"":0.12}]",tCO2e/t_dri,Direct gas DRI route emissions only. Electricity-related emissions are represented through electricity-supply methods.,0.1,,,"Pilot envelope only. Shares are indicative and exist to test decomposition topology, not to settle steel deployment constraints.","Available as a transitional route, then phased down by 2050 through share caps.","[""S022"",""S023"",""S024""]","[""A002"",""A003"",""A014"",""A022"",""A023""]",Pilot split from the aggregate H2 DRI electric steel route plus IEA and Australian steel-transition benchmarks; values are indicative topology-test data.,Reduced-form decomposition split. Aggregate H2 DRI route inputs are separated into DRI production and downstream melt/refine finishing rows.,Exploratory,Transitional comparator. Included to test technology-bundle selection in the intermediate DRI role.,"Expand into gas reforming, shaft furnace, capture retrofit, and intermediate DRI storage modules.",Intermediate DRI production role feeding melt_refine_dri_crude_steel in the decomposition pilot.,TRUE,TRUE
