role_id,role_label,description,topology_area_id,topology_area_label,parent_role_id,balance_type,output_unit,notes
serve_residential_building_occupants,Serve residential building occupants,Serve residential building service demand at the reduced form national boundary,buildings,Buildings,,service_demand,GJ_service_eq,Canonical residential built-environment service role.
provide_residential_water_heating,Provide residential water heating,Provide useful hot-water service to Australian residential occupants,buildings,Buildings,serve_residential_building_occupants,service_demand,GJ_hot_water_service,Residential water-heating end-use child for the technology-representation comparison pilot.
serve_commercial_building_occupants,Serve commercial building occupants,Serve commercial building service demand at the reduced form national boundary,buildings,Buildings,,service_demand,GJ_service_eq,Canonical commercial built-environment service role.
account_remaining_residential_building_services,Account remaining residential building services,Account residential building activity not represented by explicit building service roles,buildings,Buildings,serve_residential_building_occupants,service_demand,residual_activity,Required residual companion that absorbs residential building activity not covered by explicit end-use children when the residential end-use decomposition representation is selected.
account_remaining_commercial_building_services,Account remaining commercial building services,Account commercial building activity not represented by explicit building service roles,buildings,Buildings,serve_commercial_building_occupants,service_demand,residual_activity,Required residual companion that absorbs commercial building activity not covered by explicit end-use children when the commercial end-use decomposition representation is selected.
move_passengers_by_road,Move passengers by road,Move passengers by road service demand at the reduced form national boundary,transport,Transport,,service_demand,pkm,Initial role migrated from the current passenger road transport coverage.
move_freight_by_road,Move freight by road,Move freight by road service demand at the reduced form national boundary,transport,Transport,,service_demand,tkm,Initial role migrated from the current freight road transport coverage.
move_passengers_by_rail,Move passengers by rail,Account domestic rail passenger mobility not yet represented by explicit rail pathway methods,transport,Transport,,service_demand,residual_activity,Minimum viable residual coverage for non-road passenger rail until pathway methods are authored.
move_freight_by_rail,Move freight by rail,Account domestic rail freight mobility not yet represented by explicit rail pathway methods,transport,Transport,,service_demand,residual_activity,Minimum viable residual coverage for non-road freight rail until pathway methods are authored.
move_passengers_by_air,Move passengers by air,Account domestic passenger aviation not yet represented by explicit aviation pathway methods,transport,Transport,,service_demand,residual_activity,Minimum viable residual coverage for domestic passenger aviation until pathway methods are authored.
move_freight_by_marine,Move freight by marine,Account domestic marine freight activity not yet represented by explicit shipping pathway methods,transport,Transport,,service_demand,residual_activity,Minimum viable residual coverage for domestic marine freight until pathway methods are authored.
account_other_non_road_transport_activity,Account other non-road transport activity,Account remaining non-road transport activity outside explicit rail aviation and marine residual roles,transport,Transport,,service_demand,residual_activity,Minimum viable residual coverage for other non-road transport activity and off-road transport services.
deliver_low_temperature_heat,Deliver low temperature heat,Deliver low temperature useful industrial heat demand,industrial_heat_and_production,Industrial heat and production,,service_demand,GJ_useful_heat,Initial role migrated from the current low temperature heat coverage.
deliver_medium_temperature_heat,Deliver medium temperature heat,Deliver medium temperature useful industrial heat demand,industrial_heat_and_production,Industrial heat and production,,service_demand,GJ_useful_heat,Initial role migrated from the current medium temperature heat coverage.
deliver_high_temperature_heat,Deliver high temperature heat,Deliver high temperature useful industrial heat demand,industrial_heat_and_production,Industrial heat and production,,service_demand,GJ_useful_heat,Initial role migrated from the current high temperature heat coverage.
make_crude_steel,Make crude steel,Make crude steel at the reduced form national plant gate boundary,industrial_heat_and_production,Industrial heat and production,,service_demand,t_crude_steel,This role is the parent for the planned crude steel decomposition pilot.
make_non_h2_dri_crude_steel,Make non-H2 DRI crude steel,Make the non-H2 DRI share of crude steel output when the crude-steel decomposition representation is active,industrial_heat_and_production,Industrial heat and production,make_crude_steel,service_demand,t_crude_steel,Explicit aggregate child that preserves non-H2 crude-steel coverage while the H2 DRI branch is modeled as intermediate roles.
make_direct_reduced_iron,Make direct reduced iron,Make direct reduced iron as an intermediate material for decomposed H2 DRI crude-steel routes,industrial_heat_and_production,Industrial heat and production,make_crude_steel,intermediate_material,t_dri,Intermediate DRI production child for the crude-steel role-decomposition pilot.
melt_and_refine_dri_into_crude_steel,Melt and refine DRI into crude steel,Melt and refine direct reduced iron into crude steel in the decomposed H2 DRI branch,industrial_heat_and_production,Industrial heat and production,make_crude_steel,intermediate_conversion,t_crude_steel,Intermediate finishing child for the crude-steel role-decomposition pilot.
make_cement_equivalent,Make cement equivalent,Make cement equivalent output at the reduced form national plant gate boundary,industrial_heat_and_production,Industrial heat and production,,service_demand,t_cement_equivalent,Initial role migrated from the current cement equivalent coverage.
make_chemical_products,Make chemical products,Account chemicals and petrochemical material transformation activity not represented by explicit product roles,industrial_heat_and_production,Industrial heat and production,,service_demand,residual_activity,Minimum viable residual coverage for chemical and petrochemical transformation until explicit pathway methods are authored.
make_other_material_products,Make other material products,Account other material transformation activity outside steel cement and chemical product roles,industrial_heat_and_production,Industrial heat and production,,service_demand,residual_activity,Minimum viable residual coverage for other material transformation until explicit pathway methods are authored.
supply_grid_electricity,Supply grid electricity,Supply delivered grid electricity at the reduced form national system boundary,energy_supply,Energy supply,,commodity_supply,MWh,Canonical grid-supply role for domestic electricity coverage.
account_grid_losses_and_own_use,Account grid losses and own use,Account grid losses and electricity sector own use requirements,energy_supply,Energy supply,,accounting_obligation,residual_activity,Explicit role keeps grid losses and own use visible in topology.
account_residual_mining_energy,Account residual mining energy,Account mining and energy extraction activity outside explicit supply roles,energy_supply,Energy supply,,service_demand,residual_activity,Explicit residual coverage keeps energy supply coverage complete.
account_residual_fugitives,Account residual fugitives,Account residual fugitive emissions from coal oil and gas systems,energy_supply,Energy supply,,accounting_obligation,residual_activity,Explicit residual coverage keeps fugitive emissions visible in topology.
raise_livestock_output,Raise livestock output,Raise livestock output at the reduced form agricultural boundary,agriculture,Agriculture,,service_demand,A$m_output_2024,Livestock output role now carries direct energy inputs only; biogenic methane and manure emissions are explicit in account_livestock_biogenic_emissions.
grow_crops_and_horticulture_output,Grow crops and horticulture output,Grow crops and horticulture output at the reduced form agricultural boundary,agriculture,Agriculture,,service_demand,A$m_output_2024,Crop and horticulture output role now carries direct energy inputs only; soil fertiliser and residue emissions are explicit in account_soil_fertiliser_residue_emissions.
account_livestock_biogenic_emissions,Account livestock biogenic emissions,Account livestock methane manure and other biogenic emissions outside the livestock product-output role,agriculture,Agriculture,,accounting_obligation,residual_activity,Explicit residual coverage for livestock biogenic emissions keeps biological and land-sector emissions outside product-output roles.
account_soil_fertiliser_residue_emissions,Account soil fertiliser and residue emissions,Account soil fertiliser residue and other crop-related biological emissions outside crop product-output roles,agriculture,Agriculture,,accounting_obligation,residual_activity,Explicit residual coverage for soil fertiliser and residue emissions keeps biological and land-sector emissions outside product-output roles.
account_residual_construction,Account residual construction,Account construction final energy until explicit construction roles are authored,construction,Construction,,service_demand,residual_activity,Explicit residual coverage keeps construction coverage complete.
provide_water_services,Provide water services,Provide water-sector service coverage until explicit water and wastewater roles are authored,water_waste,Water and waste,,service_demand,residual_activity,Explicit residual coverage keeps water-service coverage complete.
manage_waste_emissions,Manage waste emissions,Manage waste emissions outside explicit future waste-treatment roles,water_waste,Water and waste,,accounting_obligation,residual_activity,Explicit residual coverage keeps waste emissions visible in topology.
account_residual_other_sectors,Account residual other sectors,Account remaining final energy and activity not assigned to a more specific role,other_residuals,Other residuals,,service_demand,residual_activity,Explicit residual coverage keeps total coverage complete.
remove_co2_through_land_sequestration,Remove CO2 through land sequestration,Remove carbon dioxide through land based sequestration,removals_land,Removals and land,,carbon_removal,tCO2_removed,Initial role migrated from the current land sequestration coverage.
remove_co2_through_engineered_removals,Remove CO2 through engineered removals,Remove carbon dioxide through engineered removal methods,removals_land,Removals and land,,carbon_removal,tCO2_removed,Initial role migrated from the current engineered removals coverage.
account_land_carbon_stock_change,Account land carbon stock change,Account land carbon stock change and LULUCF reconciliation outside optional sequestration pathway roles,removals_land,Removals and land,,carbon_removal,residual_activity,Explicit residual coverage for land carbon stock change keeps biological and land-sector emissions outside product-output roles.
supply_domestic_gas,Supply domestic gas,Supply gaseous fuel carriers consumed by Australian roles at the domestic supply boundary,energy_supply,Energy supply,,commodity_supply,residual_activity,Residual placeholder for domestic gaseous fuel supply. Fugitive releases remain explicit in account_residual_fugitives until gas supply is decomposed.
supply_domestic_liquid_fuels,Supply domestic liquid fuels,Supply liquid fuel carriers consumed by Australian roles at the domestic supply boundary,energy_supply,Energy supply,,commodity_supply,residual_activity,Residual placeholder for domestic liquid fuel supply. Upstream extraction and fugitive releases remain visible in existing residual energy-supply roles.
supply_domestic_solid_fuels,Supply domestic solid fuels,Supply solid fuel carriers consumed by Australian roles at the domestic supply boundary,energy_supply,Energy supply,,commodity_supply,residual_activity,Residual placeholder for domestic solid fuel supply. Coal-system fugitive releases remain explicit in account_residual_fugitives until richer coal supply roles land.
supply_domestic_bioenergy,Supply domestic bioenergy,Supply bioenergy carriers consumed by Australian roles at the domestic supply boundary,energy_supply,Energy supply,,commodity_supply,residual_activity,Residual placeholder for biomass and bioenergy carrier supply pending explicit feedstock and sustainability representation.
supply_domestic_hydrogen,Supply domestic hydrogen,Supply hydrogen carriers consumed by Australian roles at the domestic supply boundary,energy_supply,Energy supply,,commodity_supply,residual_activity,Residual placeholder for hydrogen supply until electrolysis fossil hydrogen and storage pathways are authored.
supply_domestic_derived_fuels,Supply domestic derived fuels,Supply derived fuel carriers consumed by Australian roles at the domestic supply boundary,energy_supply,Energy supply,,commodity_supply,residual_activity,Residual placeholder for synthetic fuels refined products and other derived carrier supply pending explicit conversion pathways.
supply_thermal_coal_to_export_gate,Supply thermal coal to export gate,Extract prepare transport and load Australian thermal coal at the export-gate boundary,energy_supply,Energy supply,,commodity_supply,residual_activity,Residual placeholder for Australian thermal coal supply to export gate. Overseas combustion is outside the boundary and coal mine fugitive methane remains visible in account_residual_fugitives.
supply_metallurgical_coal_to_export_gate,Supply metallurgical coal to export gate,Extract prepare transport and load Australian metallurgical coal at the export-gate boundary,energy_supply,Energy supply,,commodity_supply,residual_activity,Residual placeholder for Australian metallurgical coal supply to export gate. Overseas steelmaking is outside the boundary and coal mine fugitive methane remains visible in account_residual_fugitives.
