anchor_type,service_or_output_name,default_2025_state_id,default_2025_state_option_code,default_2025_state_option_label,quantity_2025,unit,anchor_status,source_family,coverage_note,implied_gross_input_energy_pj_if_default,implied_benchmark_final_energy_pj_if_default,implied_energy_emissions_mtco2e_if_default,implied_process_emissions_mtco2e_if_default,implied_total_emissions_mtco2e_if_default
service_demand_anchor,residential_building_services,buildings__residential__incumbent_mixed_fuels,O0,O0 | incumbent mixed fuels,477000000.0,GJ_service_eq,official_direct,Australian Energy Update 2025 Table 5 / Table 11,Aligned to 2023–24 residential final energy use as the incumbent service-demand anchor.,476.046,476.046,8.222,0.0,8.222
service_demand_anchor,commercial_building_services,buildings__commercial__incumbent_mixed_fuels,O0,O0 | incumbent mixed fuels,314000000.0,GJ_service_eq,official_direct,Australian Energy Update 2025 Table 5 / Table 11,Aligned to 2023–24 commercial final energy use as the incumbent service-demand anchor.,314.0,314.0,4.848,0.0,4.848
service_demand_anchor,passenger_road_transport,road_transport__passenger_road__ice_fleet,O0,O0 | ice fleet,293414730000.0,pkm,official_direct,BITRE Yearbook 2024 Table 5.1,Anchored to 2023–24 road passenger task represented by passenger cars plus buses (276.2 + 17.2 = 293.4 billion pkm).,751.142,751.142,51.934,0.0,51.934
service_demand_anchor,freight_road_transport,road_transport__freight_road__diesel,O0,O0 | diesel,249000000000.0,tkm,official_direct,BITRE Yearbook 2024 freight chapter,Anchored to 2023–24 road freight task (~249 billion tonne-km).,510.45,510.45,35.109,0.0,35.109
service_demand_anchor,low_temperature_heat,generic_industrial_heat__low_temperature_heat__fossil,O0,O0 | fossil,120000000.0,GJ_useful_heat,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited low-temperature useful-heat anchor from the synthetic Phase 1 calibration build; broad manufacturing proxy.,132.0,132.0,6.802,0.0,6.802
service_demand_anchor,medium_temperature_heat,generic_industrial_heat__medium_temperature_heat__fossil,O0,O0 | mixed-fuel heat,140000000.0,GJ_useful_heat,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited medium-temperature useful-heat anchor from the synthetic Phase 1 calibration build; broad manufacturing proxy.,140.0,140.0,6.31,0.0,6.31
service_demand_anchor,high_temperature_heat,generic_industrial_heat__high_temperature_heat__fossil,O0,O0 | mixed-fuel heat,170000000.0,GJ_useful_heat,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited high-temperature useful-heat anchor from the synthetic Phase 1 calibration build; broad manufacturing proxy.,170.0,170.0,6.237,0.0,6.237
service_demand_anchor,crude_steel,steel__crude_steel__bf_bof_conventional,O0,O0 | bf bof conventional,5700000.0,t_crude_steel,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited crude steel output anchor from the Phase 1 calibration build.,117.534,55.974,9.69,1.71,11.4
service_demand_anchor,cement_equivalent,cement_clinker__cement_equivalent__conventional,O0,O0 | current clinker ratio,9600000.0,t_cement_equivalent,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited cement-equivalent output anchor from the Phase 1 calibration build.,20.736,20.736,0.914,6.221,7.135
service_demand_anchor,livestock_output_bundle,agriculture__livestock__conventional,O0,O0 | conventional,31134.94,A$m_output_2024,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited coarse agricultural output-bundle anchor from the Phase 1 calibration build.,61.069,61.069,3.861,57.858,61.719
service_demand_anchor,cropping_horticulture_output_bundle,agriculture__cropping_horticulture__conventional,O0,O0 | conventional,36576.29,A$m_output_2024,synthetic_inherited,Phase 1 reference scenario v0.2,Inherited coarse agricultural output-bundle anchor from the Phase 1 calibration build.,49.831,49.831,3.204,17.276,20.481
derived_explicit_electricity_load,electricity,electricity__grid_supply__incumbent_thermal_mix,O0,O0 | incumbent thermal mix,139901279.429854,MWh,derived_from_service_demands,Derived from explicit 2025 service-demand anchors and default 2025 state inputs.,Electricity demanded directly by the explicit modelled services under the incumbent default state set.,,503.645,73.814,0.0,73.814
external_electricity_balance_anchor,electricity_external_balance,electricity__grid_supply__incumbent_thermal_mix,O0,O0 | incumbent thermal mix,144018720.570146,MWh,derived_balance,Derived = official total generation benchmark - explicit modelled end-use electricity.,"Residual electricity-supply output required to reach total generation, covering omitted-sector final demand plus losses/own-use.",,,75.986,0.0,75.986
electricity_output_benchmark,electricity_total_output_benchmark,,,,283920000.0,MWh,official_direct,Official electricity generation benchmark already embedded in the Phase 1 baseline companion.,Total electricity generation benchmark used to close the 2025 electricity-supply activity.,,,,,
