assumption_id,assumption_statement,rationale,affected_sectors_parameters,sensitivity_importance,proposed_validation_route
A001,"Milestone year 2025 is anchored to the latest available Australian baseline evidence, even when that evidence is reported for 2023–24 energy data, 2024 calendar-year electricity generation, or 2022–23 inventory data.",Australian official datasets are staggered in time. Using the latest official dataset family per parameter is preferable to forcing everything to one older year.,All sectors; baseline calibration,High,Revisit when 2024–25 energy flows and newer inventory tables are released.
A002,"output_cost_per_unit is defined as a real-2024 non-commodity conversion/supply cost, excluding explicitly modelled commodity purchases (electricity, gas, coal, fuels, hydrogen, biomass, scrap, iron ore, sequestration service) and excluding carbon costs unless explicitly noted.",This avoids double counting when commodity prices are endogenised or configuration-driven in the reduced-form model.,All sectors; output cost field,High,Cross-check with implementation team before integrating into the reduced-form model.
A003,Direct electricity-related emissions are excluded from end-use sector coefficients; electricity-related emissions are represented only in electricity-supply states.,Prevents scope-2 electricity emissions from being double counted with grid emissions intensity.,"Buildings, transport, industrial heat, steel, cement, agriculture, removals",High,Test aggregate direct emissions versus inventory scope-1 sectors; optionally produce a separate scope-2 reporting view later.
A004,Building service outputs are represented as baseline-normalised service-equivalent GJ rather than detailed physical end-use outputs.,National reduced-form modelling needs a compact service metric with an upgrade path to explicit end uses later.,"Residential buildings, commercial buildings",Medium,"In Phase 2, split space conditioning, water heating and plug loads and re-map service volumes."
A005,The 2025 residential and commercial incumbent states are normalised so that one unit of service corresponds approximately to one unit of 2025 final energy input under incumbent conditions.,This makes baseline calibration transparent using official sector final-energy totals.,Buildings calibration,Medium,Compare with engineering bottom-up service models if later developed.
A006,"Passenger-road incumbent energy intensity is calibrated to aggregate road-energy totals using BITRE passenger-km totals, so it reflects the stock-average fleet and road-use conditions rather than only a representative new car.",Using only new-vehicle test values would materially understate current aggregate road fuel demand.,Passenger road ICE state,High,"Check against vehicle-km, occupancy and fuel sales reconciliation in a transport stock model."
A007,Passenger-road service demand in baseline calibration is represented by national road passenger-km equal to passenger car plus bus motorised passenger travel.,This better matches the road-energy aggregate than using passenger cars alone.,Passenger road calibration volume,Medium,Replace with more detailed road-mode decomposition if required.
A008,Road-freight incumbent energy intensity is inferred from BITRE road tonne-km and Australian freight-emissions evidence indicating road freight is roughly one-third of transport emissions.,Australia lacks a single official direct road-freight final-energy-by-tonne-km table covering the full national task.,Freight road diesel state,High,Validate against detailed heavy-vehicle fuel-sales or freight stock datasets if available.
A009,Indicative direct combustion factors are taken from Australian NGA factors where available; a representative 0.09 tCO2e/GJ coal factor is used where the exact process-specific Australian factor was not directly sourced.,A reduced-form library needs consistent direct combustion factors across sectors even when sector-specific coal factors vary.,"Industrial heat, electricity, cement, steel",Medium,Replace with subsector-specific coal factors in Phase 2.
A010,"Biomass combustion is treated as zero direct CO2e in the energy_emissions field, with sustainability and upstream effects left outside Phase 1.",This matches common territorial inventory treatment for biogenic combustion but is incomplete for life-cycle assessment.,"Buildings, industrial heat, cement, removals",Medium,Add sustainability constraints or upstream biomass emissions in Phase 2.
A011,Electricity supply is represented by a national frontier rather than separate state or NEM/non-NEM state sets in Phase 1.,"A national reduced-form model can function with a single frontier, while regional detail is deferred for faster MVP delivery.",Electricity sector,Medium,Add NEM/non-NEM or state-region variants in Phase 2 if model behavior is materially sensitive.
A012,Electricity-state direct emissions trajectories are calibrated to recent NEM/emissions-projection benchmarks rather than derived solely from fuel coefficients.,"System-average emissions intensity depends on dispatch, curtailment, storage and non-fossil resources, not just simple fuel heat rates.",Electricity energy emissions coefficients,High,Compare against explicit regional dispatch models or ISP trace outputs later.
A013,"Generic industrial heat is represented in three temperature bands (low, medium, high) with representative technology families, rather than subsector-specific processes.",This preserves cross-sector fuel-switch behavior while keeping Phase 1 tractable.,Generic industrial heat,High,"Prioritise process-specific splits for alumina, food, chemicals and minerals in Phase 2."
A014,Steel route states represent Australian-feasible archetypes rather than a calibrated facility-by-facility plant model.,Facility-level Australian steel process data are too sparse for a rigorous full process-chain build in Phase 1.,Steel states,High,"Replace with explicit BF-BOF, EAF, DRI shaft furnace and capture process chains in Phase 2."
A015,Hydrogen-DRI steel state aggregates both H2-DRI-EAF and H2-DRI with electric smelting/BOF-like finishing into one reduced-form near-zero state family.,These routes are distinct but serve a similar Phase 1 modelling role as primary near-zero steel pathways.,Steel H2 state,Medium,Split into distinct route families in Phase 2.
A016,Cement is represented on a cement-equivalent output basis rather than clinker-only output so that clinker factor reduction and electricity intensity can be represented together.,Australia-specific industry data are readily available on both clinker/cement ratio and electricity per tonne cement.,Cement sector,Medium,"Add explicit clinker, SCM and cement milling process chain later."
A017,Cement process-emissions coefficients are derived from clinker-factor trajectories multiplied by clinker process CO2 factors from the Australian CIF pathway.,This is the most transparent Australia-specific way to convert pathway evidence into per-tonne cement-equivalent process emissions.,Cement process emissions,High,Cross-check against plant-level disclosures if they become available.
A018,Agriculture is represented as two coarse output bundles: livestock and cropping/horticulture. Coefficients are allocated using official output values plus explicit judgement on emissions and energy shares.,"A process-rich agricultural build is out of scope for Phase 1, but agriculture is too important to omit entirely.",Agriculture output definitions and coefficients,High,Replace with livestock category and fertiliser/soil-management detail in Phase 2.
A019,Agriculture output_cost_per_unit is treated as a placeholder incremental non-energy supply/abatement cost rather than a full production cost.,Robust full agricultural production-cost functions were not assembled in Phase 1.,Agriculture cost parameters,High,Develop explicit agricultural abatement supply curves in Phase 2.
A020,Land-sector sequestration states are exploratory supply states rather than a full land-use competition model.,"The current evidence base is good enough to frame removals potential and constraints, but not to optimise land use rigorously.",Removals / land sequestration,Medium,Integrate explicit land-use and carbon-forestry competition later.
A021,DACCS is included only as an exploratory engineered-removal state with highly uncertain cost and activity bounds.,"Australian evidence is sparse and costs remain very uncertain, but it is useful to preserve an explicit placeholder for configuration testing.",Removals / DACCS,High,Do not activate in core MVP runs until policy treatment and cost assumptions are reviewed.
