role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__electrified,2025,6,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.32],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.3,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S032""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,Broadly reflects the high efficiency potential of heat pumps for low-temperature process heat.,"Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__electrified,2030,5.8,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.31],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.6,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S032""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,Broadly reflects the high efficiency potential of heat pumps for low-temperature process heat.,"Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__electrified,2035,5.5,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.3],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.8,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S032""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,Broadly reflects the high efficiency potential of heat pumps for low-temperature process heat.,"Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__electrified,2040,5.2,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.29],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.95,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S032""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,Broadly reflects the high efficiency potential of heat pumps for low-temperature process heat.,"Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__electrified,2045,5,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.28],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S032""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,Broadly reflects the high efficiency potential of heat pumps for low-temperature process heat.,"Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__electrified,2050,4.8,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""electricity""]",[0.27],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.0}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S021"", ""S032""]","[""A002"", ""A003"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,Broadly reflects the high efficiency potential of heat pumps for low-temperature process heat.,"Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__fossil,2025,4,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""natural_gas""]",[1.1],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.056683}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,1,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S001"", ""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Useful generic representation for low-temperature industrial heat; not a substitute for food, paper or chemical subsector models.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__fossil,2030,4.1,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""natural_gas""]",[1.1],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.056683}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.7,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S001"", ""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Useful generic representation for low-temperature industrial heat; not a substitute for food, paper or chemical subsector models.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__fossil,2035,4.2,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""natural_gas""]",[1.1],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.056683}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.45,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S001"", ""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Useful generic representation for low-temperature industrial heat; not a substitute for food, paper or chemical subsector models.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
deliver_low_temperature_heat,deliver_low_temperature_heat__pathway_bundle,generic_industrial_heat__low_temperature_heat__fossil,2040,4.3,2024,AUD_2024,Annualised heat-supply equipment and non-energy operating cost excluding explicit commodity purchases and carbon costs.,"[""natural_gas""]",[1.1],"[""GJ/GJ_useful_heat""]",Representative direct heat-supply energy inputs only. Coefficients are deliberately reduced-form and not tied to a single subsector or facility.,"[{""pollutant"": ""CO2e"", ""value"": 0.056683}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/GJ_useful_heat,Direct on-site emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented by electricity-supply methods to avoid double counting. Biogenic CO2 from biomass combustion is excluded from CO2e unless otherwise noted.,0.25,,,"Indicative upper bound only. No explicit retrofit eligibility, resource competition or process-specific constraints beyond broad plausibility.",Available in all milestone years as stylised reduced-form heat-service methods.,"[""S001"", ""S002"", ""S021"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A013"", ""A022"", ""A023""]","Built from Australian manufacturing fuel-mix context and planning evidence on industrial efficiency/electrification, with explicit low-confidence caveats.",Stylised synthesis. Temperature-band method roles are chosen to preserve a fuel-switch and efficiency response in the MVP model while deferring explicit process modelling.,Low,"Useful generic representation for low-temperature industrial heat; not a substitute for food, paper or chemical subsector models.","Replace with subsector/process-specific service or process methods (e.g., food boilers, alumina calciners, chemical steam, minerals kilns).","Could expand to multiple industrial demand technologies or process modules in TIMES, including explicit stock turnover and retrofit/new-build splits.",FALSE,FALSE
