family_id,package_id,year,package_label,package_description,classification,applicable_state_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,max_share,rollout_limit_notes,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,non_stacking_group
domestic_aviation,domestic_aviation__flight_ops_optimisation,2025,Flight operations optimisation,"Route optimisation, reduced taxi time, continuous descent approach, and load factor improvement across the domestic aviation fleet. Applies to conventional jet operations reducing ATF consumption by 8%.",operational_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.92],0.0,2024,AUD_2024,0.1,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA operational improvement guidance; ATAG aviation fuel efficiency improvements; Australian domestic airline continuous descent approach programs.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Well-documented operational savings. Max share limited by route structure and ATC constraints.,aviation_ops_efficiency
domestic_aviation,domestic_aviation__flight_ops_optimisation,2030,Flight operations optimisation,"Route optimisation, reduced taxi time, continuous descent approach, and load factor improvement across the domestic aviation fleet. Applies to conventional jet operations reducing ATF consumption by 8%.",operational_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.92],0.0,2024,AUD_2024,0.2,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA operational improvement guidance; ATAG aviation fuel efficiency improvements; Australian domestic airline continuous descent approach programs.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Well-documented operational savings. Max share limited by route structure and ATC constraints.,aviation_ops_efficiency
domestic_aviation,domestic_aviation__flight_ops_optimisation,2035,Flight operations optimisation,"Route optimisation, reduced taxi time, continuous descent approach, and load factor improvement across the domestic aviation fleet. Applies to conventional jet operations reducing ATF consumption by 8%.",operational_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.92],0.0,2024,AUD_2024,0.3,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA operational improvement guidance; ATAG aviation fuel efficiency improvements; Australian domestic airline continuous descent approach programs.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Well-documented operational savings. Max share limited by route structure and ATC constraints.,aviation_ops_efficiency
domestic_aviation,domestic_aviation__flight_ops_optimisation,2040,Flight operations optimisation,"Route optimisation, reduced taxi time, continuous descent approach, and load factor improvement across the domestic aviation fleet. Applies to conventional jet operations reducing ATF consumption by 8%.",operational_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.92],0.0,2024,AUD_2024,0.4,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA operational improvement guidance; ATAG aviation fuel efficiency improvements; Australian domestic airline continuous descent approach programs.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Well-documented operational savings. Max share limited by route structure and ATC constraints.,aviation_ops_efficiency
domestic_aviation,domestic_aviation__flight_ops_optimisation,2045,Flight operations optimisation,"Route optimisation, reduced taxi time, continuous descent approach, and load factor improvement across the domestic aviation fleet. Applies to conventional jet operations reducing ATF consumption by 8%.",operational_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.92],0.0,2024,AUD_2024,0.48,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA operational improvement guidance; ATAG aviation fuel efficiency improvements; Australian domestic airline continuous descent approach programs.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Well-documented operational savings. Max share limited by route structure and ATC constraints.,aviation_ops_efficiency
domestic_aviation,domestic_aviation__flight_ops_optimisation,2050,Flight operations optimisation,"Route optimisation, reduced taxi time, continuous descent approach, and load factor improvement across the domestic aviation fleet. Applies to conventional jet operations reducing ATF consumption by 8%.",operational_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.92],0.0,2024,AUD_2024,0.5,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",ICAO CORSIA operational improvement guidance; ATAG aviation fuel efficiency improvements; Australian domestic airline continuous descent approach programs.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Well-documented operational savings. Max share limited by route structure and ATC constraints.,aviation_ops_efficiency
domestic_aviation,domestic_aviation__fleet_renewal_aerodynamic,2025,Aircraft fleet renewal aerodynamic improvement,"Fleet renewal programme prioritising aircraft with new-generation aerodynamic designs: winglets, composite airframes, geared turbofan engines (PW1000G, CFM LEAP). Reduces ATF consumption by 10% on retiring aircraft. Applies to conventional jet.",pure_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.9],0.0,2024,AUD_2024,0.05,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",CFM LEAP and PW1000G programme data (15-20% fuel improvement vs CFM56/V2500); Boeing 737 MAX vs 737NG fuel savings; Airbus A320neo vs A320ceo data.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Embedded in autonomous drift track; this package captures accelerated fleet replacement beyond baseline.,aviation_fleet_efficiency
domestic_aviation,domestic_aviation__fleet_renewal_aerodynamic,2030,Aircraft fleet renewal aerodynamic improvement,"Fleet renewal programme prioritising aircraft with new-generation aerodynamic designs: winglets, composite airframes, geared turbofan engines (PW1000G, CFM LEAP). Reduces ATF consumption by 10% on retiring aircraft. Applies to conventional jet.",pure_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.9],0.0,2024,AUD_2024,0.12,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",CFM LEAP and PW1000G programme data (15-20% fuel improvement vs CFM56/V2500); Boeing 737 MAX vs 737NG fuel savings; Airbus A320neo vs A320ceo data.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Embedded in autonomous drift track; this package captures accelerated fleet replacement beyond baseline.,aviation_fleet_efficiency
domestic_aviation,domestic_aviation__fleet_renewal_aerodynamic,2035,Aircraft fleet renewal aerodynamic improvement,"Fleet renewal programme prioritising aircraft with new-generation aerodynamic designs: winglets, composite airframes, geared turbofan engines (PW1000G, CFM LEAP). Reduces ATF consumption by 10% on retiring aircraft. Applies to conventional jet.",pure_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.9],0.0,2024,AUD_2024,0.2,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",CFM LEAP and PW1000G programme data (15-20% fuel improvement vs CFM56/V2500); Boeing 737 MAX vs 737NG fuel savings; Airbus A320neo vs A320ceo data.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Embedded in autonomous drift track; this package captures accelerated fleet replacement beyond baseline.,aviation_fleet_efficiency
domestic_aviation,domestic_aviation__fleet_renewal_aerodynamic,2040,Aircraft fleet renewal aerodynamic improvement,"Fleet renewal programme prioritising aircraft with new-generation aerodynamic designs: winglets, composite airframes, geared turbofan engines (PW1000G, CFM LEAP). Reduces ATF consumption by 10% on retiring aircraft. Applies to conventional jet.",pure_efficiency_overlay,"[""domestic_aviation__conventional_jet""]","[""aviation_turbine_fuel""]",[0.9],0.0,2024,AUD_2024,0.3,"National adoption bound reflecting aircraft stock turnover (~20-25 yr aircraft life), airspace constraints, and Australian domestic aviation market structure.","[""S001"", ""S004"", ""S012""]","[""A002"", ""A003"", ""A022"", ""A023""]",CFM LEAP and PW1000G programme data (15-20% fuel improvement vs CFM56/V2500); Boeing 737 MAX vs 737NG fuel savings; Airbus A320neo vs A320ceo data.,"Energy coefficients from AES 2025 Table F1 (135.3 PJ / 75,500 million_pkm = 1,792 GJ/million_pkm). Emissions from NGA 2024 factors. NGGI Cat 1A3a check: 128.1 tCO2e/million_pkm × 75,500 / 1e6 = 9.67 MtCO2e.",Medium,Embedded in autonomous drift track; this package captures accelerated fleet replacement beyond baseline.,aviation_fleet_efficiency
