family_id,package_id,year,package_label,package_description,classification,applicable_state_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,max_share,rollout_limit_notes,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,non_stacking_group
high_temperature_heat,industrial_heat__high_temperature__combustion_heat_recovery,2025,Combustion heat recovery,Small combustion-side heat-recovery and insulation package for incumbent high-temperature fossil heat systems.,pure_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.96,0.96,0.96]",0.9,2024,AUD_2024,0.05,Keep rollout deliberately narrow because high-temperature recovery opportunities are site-specific and broader savings belong in future subsector-specific modeling rather than a large family-level wedge.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]",Only a small combustion-side recovery package is defensible at the current high-temperature family boundary; larger savings would blur into route change or process redesign.,Apply a modest proportional multiplier across direct thermal fuels and keep the cap low so the package remains a small wedge relative to high-temperature route-switch uncertainty.,Low,Fossil incumbent only. Shares a family-local non-stacking group with the high-temperature controls package.,high_temperature_heat_nonstacking
high_temperature_heat,industrial_heat__high_temperature__combustion_heat_recovery,2030,Combustion heat recovery,Small combustion-side heat-recovery and insulation package for incumbent high-temperature fossil heat systems.,pure_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.96,0.96,0.96]",0.9,2024,AUD_2024,0.1,Keep rollout deliberately narrow because high-temperature recovery opportunities are site-specific and broader savings belong in future subsector-specific modeling rather than a large family-level wedge.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]",Only a small combustion-side recovery package is defensible at the current high-temperature family boundary; larger savings would blur into route change or process redesign.,Apply a modest proportional multiplier across direct thermal fuels and keep the cap low so the package remains a small wedge relative to high-temperature route-switch uncertainty.,Low,Fossil incumbent only. Shares a family-local non-stacking group with the high-temperature controls package.,high_temperature_heat_nonstacking
high_temperature_heat,industrial_heat__high_temperature__combustion_heat_recovery,2035,Combustion heat recovery,Small combustion-side heat-recovery and insulation package for incumbent high-temperature fossil heat systems.,pure_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.96,0.96,0.96]",0.9,2024,AUD_2024,0.15,Keep rollout deliberately narrow because high-temperature recovery opportunities are site-specific and broader savings belong in future subsector-specific modeling rather than a large family-level wedge.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]",Only a small combustion-side recovery package is defensible at the current high-temperature family boundary; larger savings would blur into route change or process redesign.,Apply a modest proportional multiplier across direct thermal fuels and keep the cap low so the package remains a small wedge relative to high-temperature route-switch uncertainty.,Low,Fossil incumbent only. Shares a family-local non-stacking group with the high-temperature controls package.,high_temperature_heat_nonstacking
high_temperature_heat,industrial_heat__high_temperature__combustion_heat_recovery,2040,Combustion heat recovery,Small combustion-side heat-recovery and insulation package for incumbent high-temperature fossil heat systems.,pure_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.96,0.96,0.96]",0.9,2024,AUD_2024,0.2,Keep rollout deliberately narrow because high-temperature recovery opportunities are site-specific and broader savings belong in future subsector-specific modeling rather than a large family-level wedge.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]",Only a small combustion-side recovery package is defensible at the current high-temperature family boundary; larger savings would blur into route change or process redesign.,Apply a modest proportional multiplier across direct thermal fuels and keep the cap low so the package remains a small wedge relative to high-temperature route-switch uncertainty.,Low,Fossil incumbent only. Shares a family-local non-stacking group with the high-temperature controls package.,high_temperature_heat_nonstacking
high_temperature_heat,industrial_heat__high_temperature__combustion_heat_recovery,2045,Combustion heat recovery,Small combustion-side heat-recovery and insulation package for incumbent high-temperature fossil heat systems.,pure_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.96,0.96,0.96]",0.9,2024,AUD_2024,0.25,Keep rollout deliberately narrow because high-temperature recovery opportunities are site-specific and broader savings belong in future subsector-specific modeling rather than a large family-level wedge.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]",Only a small combustion-side recovery package is defensible at the current high-temperature family boundary; larger savings would blur into route change or process redesign.,Apply a modest proportional multiplier across direct thermal fuels and keep the cap low so the package remains a small wedge relative to high-temperature route-switch uncertainty.,Low,Fossil incumbent only. Shares a family-local non-stacking group with the high-temperature controls package.,high_temperature_heat_nonstacking
high_temperature_heat,industrial_heat__high_temperature__combustion_heat_recovery,2050,Combustion heat recovery,Small combustion-side heat-recovery and insulation package for incumbent high-temperature fossil heat systems.,pure_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.96,0.96,0.96]",0.9,2024,AUD_2024,0.3,Keep rollout deliberately narrow because high-temperature recovery opportunities are site-specific and broader savings belong in future subsector-specific modeling rather than a large family-level wedge.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]",Only a small combustion-side recovery package is defensible at the current high-temperature family boundary; larger savings would blur into route change or process redesign.,Apply a modest proportional multiplier across direct thermal fuels and keep the cap low so the package remains a small wedge relative to high-temperature route-switch uncertainty.,Low,Fossil incumbent only. Shares a family-local non-stacking group with the high-temperature controls package.,high_temperature_heat_nonstacking
high_temperature_heat,industrial_heat__high_temperature__controls_tuning,2025,Controls tuning,"Operational combustion tuning, turn-down, temperature-control, and maintenance package on incumbent high-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.985,0.985,0.985]",0.18,2024,AUD_2024,0.1,"Operational tuning is easier to scale than heavy heat-recovery retrofits, but keep the wedge small because the family is too stylised to justify a large generic high-temperature controls effect.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","High-temperature controls are a valid but small operational wedge on incumbent fossil systems, with most larger efficiency-looking gains deferred to process redesign or route change.",Use a deliberately small proportional multiplier and low service-cost adder so the package remains below the scale of the pure heat-recovery retrofit and far below route-change effects.,Low,Shares the family-local non-stacking group with combustion heat recovery.,high_temperature_heat_nonstacking
high_temperature_heat,industrial_heat__high_temperature__controls_tuning,2030,Controls tuning,"Operational combustion tuning, turn-down, temperature-control, and maintenance package on incumbent high-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.985,0.985,0.985]",0.18,2024,AUD_2024,0.2,"Operational tuning is easier to scale than heavy heat-recovery retrofits, but keep the wedge small because the family is too stylised to justify a large generic high-temperature controls effect.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","High-temperature controls are a valid but small operational wedge on incumbent fossil systems, with most larger efficiency-looking gains deferred to process redesign or route change.",Use a deliberately small proportional multiplier and low service-cost adder so the package remains below the scale of the pure heat-recovery retrofit and far below route-change effects.,Low,Shares the family-local non-stacking group with combustion heat recovery.,high_temperature_heat_nonstacking
high_temperature_heat,industrial_heat__high_temperature__controls_tuning,2035,Controls tuning,"Operational combustion tuning, turn-down, temperature-control, and maintenance package on incumbent high-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.985,0.985,0.985]",0.18,2024,AUD_2024,0.35,"Operational tuning is easier to scale than heavy heat-recovery retrofits, but keep the wedge small because the family is too stylised to justify a large generic high-temperature controls effect.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","High-temperature controls are a valid but small operational wedge on incumbent fossil systems, with most larger efficiency-looking gains deferred to process redesign or route change.",Use a deliberately small proportional multiplier and low service-cost adder so the package remains below the scale of the pure heat-recovery retrofit and far below route-change effects.,Low,Shares the family-local non-stacking group with combustion heat recovery.,high_temperature_heat_nonstacking
high_temperature_heat,industrial_heat__high_temperature__controls_tuning,2040,Controls tuning,"Operational combustion tuning, turn-down, temperature-control, and maintenance package on incumbent high-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__high_temperature_heat__fossil""]","[""coal"",""natural_gas"",""biomass""]","[0.985,0.985,0.985]",0.18,2024,AUD_2024,0.45,"Operational tuning is easier to scale than heavy heat-recovery retrofits, but keep the wedge small because the family is too stylised to justify a large generic high-temperature controls effect.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","High-temperature controls are a valid but small operational wedge on incumbent fossil systems, with most larger efficiency-looking gains deferred to process redesign or route change.",Use a deliberately small proportional multiplier and low service-cost adder so the package remains below the scale of the pure heat-recovery retrofit and far below route-change effects.,Low,Shares the family-local non-stacking group with combustion heat recovery.,high_temperature_heat_nonstacking
