commodity_id,description,unit_convention,notes
electricity,Grid electricity supplied by electricity-supply states.,GJ or MWh depending on row,"End-use rows treat electricity as a final-energy input; electricity-related emissions are represented by electricity-supply states, not end-use scope-2 coefficients."
natural_gas,Pipeline natural gas final-energy input.,GJ,Direct combustion emissions use representative NGA factor.
coal,Thermal or metallurgical coal input at reduced-form commodity level.,GJ,Used as a generic coal commodity in Phase 1; split into thermal/coking coal in Phase 2 if needed.
refined_liquid_fuels,Aggregate petroleum products for transport and stationary liquid-fuel use.,GJ,"Combines petrol, diesel and similar refined liquid fuels at MVP level."
hydrogen,Low-carbon hydrogen final-energy or reductant input.,GJ,Direct combustion/emissions coefficient set to zero at point of use in this library; upstream emissions depend on hydrogen supply assumptions outside this package.
biomass,Solid/liquid biomass or alternative bioenergy fuel.,GJ,Biogenic CO2 not counted in direct CO2e field in Phase 1.
scrap_steel,Ferrous scrap input for steelmaking.,t,Added beyond minimum commodity taxonomy because it is material to steel route choice.
iron_ore,Iron ore / pellet / concentrate feedstock for primary steel routes.,t,Added beyond minimum commodity taxonomy because it is material to steel route choice.
capture_service,CO2 transport/storage or equivalent capture service for CCS-enabled process states.,tCO2 stored,Separate from negative-emissions output states; included to preserve a clean upgrade path to explicit CCS infrastructure.
diesel,Automotive diesel and off-road diesel fuel (distillate).,GJ,"NGA 2024 emission factor 69.9 kgCO2e/GJ (AR5 GWP100). Used by rail freight diesel-electric, domestic aviation ground support, and off-road transport."
aviation_turbine_fuel,Aviation turbine fuel (Jet-A1) for civil aviation.,GJ,NGA 2024 emission factor 71.5 kgCO2e/GJ (AR5 GWP100). Used by domestic and international aviation families.
sustainable_aviation_fuel,Sustainable aviation fuel (SAF) — biogenic or synthetic drop-in jet fuel.,GJ,Biogenic CO2 not counted as scope 1 per NGA convention. Used as zero-emission blend in aviation SAF states.
marine_diesel_oil,Marine diesel oil (MDO / distillate marine fuel).,GJ,NGA 2024 emission factor 74.4 kgCO2e/GJ (AR5 GWP100). Used by domestic and international shipping families.
heavy_fuel_oil,Heavy fuel oil (HFO / residual marine fuel) for ocean-going vessels.,GJ,NGA 2024 emission factor 78.9 kgCO2e/GJ (AR5 GWP100). Used by domestic and international shipping families.
ammonia,Green ammonia as a zero-emission marine or industrial fuel.,GJ,Direct combustion CO2e set to zero when green ammonia sourced from renewable hydrogen. Used by domestic and international shipping zero-emission states.
liquefied_natural_gas,Liquefied natural gas (LNG) used as a marine transition fuel.,GJ,NGA 2024 emission factor approximately 51.3 kgCO2e/GJ for LNG combustion (~30% lower CO2 per GJ than HFO). Methane slip not captured in this factor.
