role_id,package_id,year,package_label,package_description,classification,applicable_method_ids,affected_input_commodities,input_multipliers,delta_output_cost_per_unit,cost_basis_year,currency,max_share,rollout_limit_notes,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,non_stacking_group
deliver_medium_temperature_heat,industrial_heat__medium_temperature__thermal_system_retrofit,2025,Thermal system retrofit,"Carrier-preserving insulation, burner, and heat-recovery retrofit bundle for medium-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.95,0.95,0.95]",0.65,2024,AUD_2024,0.08,Retrofit availability is slower than in low-temperature systems because medium-temperature uses are more heterogeneous and outage windows are harder to generalise at the current role boundary.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Medium-temperature fossil heat still supports a moderate carrier-preserving retrofit wedge, but it should remain smaller and slower than the low-temperature package.",Apply one proportional multiplier across the direct thermal fuel mix to preserve the authored medium-temperature fossil blend while keeping the package within the accepted research band.,Low,Applies only to the fossil incumbent and shares a role-local non-stacking group with the operational controls package.,medium_temperature_heat_nonstacking
deliver_medium_temperature_heat,industrial_heat__medium_temperature__thermal_system_retrofit,2030,Thermal system retrofit,"Carrier-preserving insulation, burner, and heat-recovery retrofit bundle for medium-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.95,0.95,0.95]",0.65,2024,AUD_2024,0.15,Retrofit availability is slower than in low-temperature systems because medium-temperature uses are more heterogeneous and outage windows are harder to generalise at the current role boundary.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Medium-temperature fossil heat still supports a moderate carrier-preserving retrofit wedge, but it should remain smaller and slower than the low-temperature package.",Apply one proportional multiplier across the direct thermal fuel mix to preserve the authored medium-temperature fossil blend while keeping the package within the accepted research band.,Low,Applies only to the fossil incumbent and shares a role-local non-stacking group with the operational controls package.,medium_temperature_heat_nonstacking
deliver_medium_temperature_heat,industrial_heat__medium_temperature__thermal_system_retrofit,2035,Thermal system retrofit,"Carrier-preserving insulation, burner, and heat-recovery retrofit bundle for medium-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.95,0.95,0.95]",0.65,2024,AUD_2024,0.22,Retrofit availability is slower than in low-temperature systems because medium-temperature uses are more heterogeneous and outage windows are harder to generalise at the current role boundary.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Medium-temperature fossil heat still supports a moderate carrier-preserving retrofit wedge, but it should remain smaller and slower than the low-temperature package.",Apply one proportional multiplier across the direct thermal fuel mix to preserve the authored medium-temperature fossil blend while keeping the package within the accepted research band.,Low,Applies only to the fossil incumbent and shares a role-local non-stacking group with the operational controls package.,medium_temperature_heat_nonstacking
deliver_medium_temperature_heat,industrial_heat__medium_temperature__thermal_system_retrofit,2040,Thermal system retrofit,"Carrier-preserving insulation, burner, and heat-recovery retrofit bundle for medium-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.95,0.95,0.95]",0.65,2024,AUD_2024,0.3,Retrofit availability is slower than in low-temperature systems because medium-temperature uses are more heterogeneous and outage windows are harder to generalise at the current role boundary.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Medium-temperature fossil heat still supports a moderate carrier-preserving retrofit wedge, but it should remain smaller and slower than the low-temperature package.",Apply one proportional multiplier across the direct thermal fuel mix to preserve the authored medium-temperature fossil blend while keeping the package within the accepted research band.,Low,Applies only to the fossil incumbent and shares a role-local non-stacking group with the operational controls package.,medium_temperature_heat_nonstacking
deliver_medium_temperature_heat,industrial_heat__medium_temperature__thermal_system_retrofit,2045,Thermal system retrofit,"Carrier-preserving insulation, burner, and heat-recovery retrofit bundle for medium-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.95,0.95,0.95]",0.65,2024,AUD_2024,0.38,Retrofit availability is slower than in low-temperature systems because medium-temperature uses are more heterogeneous and outage windows are harder to generalise at the current role boundary.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Medium-temperature fossil heat still supports a moderate carrier-preserving retrofit wedge, but it should remain smaller and slower than the low-temperature package.",Apply one proportional multiplier across the direct thermal fuel mix to preserve the authored medium-temperature fossil blend while keeping the package within the accepted research band.,Low,Applies only to the fossil incumbent and shares a role-local non-stacking group with the operational controls package.,medium_temperature_heat_nonstacking
deliver_medium_temperature_heat,industrial_heat__medium_temperature__thermal_system_retrofit,2050,Thermal system retrofit,"Carrier-preserving insulation, burner, and heat-recovery retrofit bundle for medium-temperature fossil heat systems.",pure_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.95,0.95,0.95]",0.65,2024,AUD_2024,0.45,Retrofit availability is slower than in low-temperature systems because medium-temperature uses are more heterogeneous and outage windows are harder to generalise at the current role boundary.,"[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Medium-temperature fossil heat still supports a moderate carrier-preserving retrofit wedge, but it should remain smaller and slower than the low-temperature package.",Apply one proportional multiplier across the direct thermal fuel mix to preserve the authored medium-temperature fossil blend while keeping the package within the accepted research band.,Low,Applies only to the fossil incumbent and shares a role-local non-stacking group with the operational controls package.,medium_temperature_heat_nonstacking
deliver_medium_temperature_heat,industrial_heat__medium_temperature__controls_tuning,2025,Controls tuning,"Operational controls, tuning, maintenance, and sequencing package on medium-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.98,0.98,0.98]",0.16,2024,AUD_2024,0.15,"Operational uptake can move faster than heavy retrofits, but persistence remains management-dependent and the current role is too coarse for a full controls-performance model.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a smaller operational tuning wedge on medium-temperature fossil systems through controls, sequencing, and maintenance.",Use a conservative proportional multiplier across the direct thermal fuel mix so the package remains clearly smaller than both the route-change methods and the medium-temperature retrofit package.,Low,Shares the role-local non-stacking group with the medium-temperature thermal-system retrofit.,medium_temperature_heat_nonstacking
deliver_medium_temperature_heat,industrial_heat__medium_temperature__controls_tuning,2030,Controls tuning,"Operational controls, tuning, maintenance, and sequencing package on medium-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.98,0.98,0.98]",0.16,2024,AUD_2024,0.3,"Operational uptake can move faster than heavy retrofits, but persistence remains management-dependent and the current role is too coarse for a full controls-performance model.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a smaller operational tuning wedge on medium-temperature fossil systems through controls, sequencing, and maintenance.",Use a conservative proportional multiplier across the direct thermal fuel mix so the package remains clearly smaller than both the route-change methods and the medium-temperature retrofit package.,Low,Shares the role-local non-stacking group with the medium-temperature thermal-system retrofit.,medium_temperature_heat_nonstacking
deliver_medium_temperature_heat,industrial_heat__medium_temperature__controls_tuning,2035,Controls tuning,"Operational controls, tuning, maintenance, and sequencing package on medium-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.98,0.98,0.98]",0.16,2024,AUD_2024,0.45,"Operational uptake can move faster than heavy retrofits, but persistence remains management-dependent and the current role is too coarse for a full controls-performance model.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a smaller operational tuning wedge on medium-temperature fossil systems through controls, sequencing, and maintenance.",Use a conservative proportional multiplier across the direct thermal fuel mix so the package remains clearly smaller than both the route-change methods and the medium-temperature retrofit package.,Low,Shares the role-local non-stacking group with the medium-temperature thermal-system retrofit.,medium_temperature_heat_nonstacking
deliver_medium_temperature_heat,industrial_heat__medium_temperature__controls_tuning,2040,Controls tuning,"Operational controls, tuning, maintenance, and sequencing package on medium-temperature fossil heat systems.",operational_efficiency_overlay,"[""generic_industrial_heat__medium_temperature_heat__fossil""]","[""natural_gas"",""coal"",""biomass""]","[0.98,0.98,0.98]",0.16,2024,AUD_2024,0.55,"Operational uptake can move faster than heavy retrofits, but persistence remains management-dependent and the current role is too coarse for a full controls-performance model.","[""S021"",""S032"",""S035""]","[""A002"",""A003"",""A009"",""A013"",""A022"",""A023""]","Australian process-heat guidance supports a smaller operational tuning wedge on medium-temperature fossil systems through controls, sequencing, and maintenance.",Use a conservative proportional multiplier across the direct thermal fuel mix so the package remains clearly smaller than both the route-change methods and the medium-temperature retrofit package.,Low,Shares the role-local non-stacking group with the medium-temperature thermal-system retrofit.,medium_temperature_heat_nonstacking
