role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__mixed_fossil,2025,3.2,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass""]","[0.45,0.4,0.15]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Incumbent host-specific kiln heat mix. This heat must not also be represented by the high-temperature industrial heat coefficients folded into make_other_material_products.,"[{""pollutant"":""CO2e"",""value"":0.0381}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,1,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__mixed_fossil,2030,3.3,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass""]","[0.43,0.38,0.19]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Incumbent host-specific kiln heat mix. This heat must not also be represented by the high-temperature industrial heat coefficients folded into make_other_material_products.,"[{""pollutant"":""CO2e"",""value"":0.036}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,0.7,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__mixed_fossil,2035,3.4,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass""]","[0.4,0.36,0.24]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Incumbent host-specific kiln heat mix. This heat must not also be represented by the high-temperature industrial heat coefficients folded into make_other_material_products.,"[{""pollutant"":""CO2e"",""value"":0.0335}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,0.5,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__mixed_fossil,2040,3.5,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass""]","[0.36,0.34,0.3]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Incumbent host-specific kiln heat mix. This heat must not also be represented by the high-temperature industrial heat coefficients folded into make_other_material_products.,"[{""pollutant"":""CO2e"",""value"":0.0305}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,0.3,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__mixed_fossil,2045,3.6,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass""]","[0.32,0.32,0.36]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Incumbent host-specific kiln heat mix. This heat must not also be represented by the high-temperature industrial heat coefficients folded into make_other_material_products.,"[{""pollutant"":""CO2e"",""value"":0.027}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,0.2,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__mixed_fossil,2050,3.7,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass""]","[0.28,0.3,0.42]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Incumbent host-specific kiln heat mix. This heat must not also be represented by the high-temperature industrial heat coefficients folded into make_other_material_products.,"[{""pollutant"":""CO2e"",""value"":0.0235}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,0.1,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A009"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__alt_fuels,2025,3.8,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass"",""hydrogen""]","[0.35,0.35,0.25,0.05]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Alternative-fuels kiln heat keeps fuel inputs and direct combustion emissions inside the cement decomposition branch.,"[{""pollutant"":""CO2e"",""value"":0.031}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,0.4,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__alt_fuels,2030,3.9,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass"",""hydrogen""]","[0.28,0.3,0.34,0.08]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Alternative-fuels kiln heat keeps fuel inputs and direct combustion emissions inside the cement decomposition branch.,"[{""pollutant"":""CO2e"",""value"":0.026}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,0.7,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__alt_fuels,2035,4,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass"",""hydrogen""]","[0.2,0.25,0.43,0.12]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Alternative-fuels kiln heat keeps fuel inputs and direct combustion emissions inside the cement decomposition branch.,"[{""pollutant"":""CO2e"",""value"":0.021}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,0.9,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
generate_cement_kiln_heat,generate_cement_kiln_heat__pathway_bundle,cement__kiln_heat__alt_fuels,2040,4.1,2024,AUD_2024,Reduced-form child role cost excluding explicitly listed inputs and excluding policy carbon costs.,"[""coal"",""natural_gas"",""biomass"",""hydrogen""]","[0.14,0.2,0.52,0.16]","[""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat"",""GJ/GJ_kiln_heat""]",Alternative-fuels kiln heat keeps fuel inputs and direct combustion emissions inside the cement decomposition branch.,"[{""pollutant"":""CO2e"",""value"":0.016}]",[],tCO2e/GJ_kiln_heat,Kiln heat child owns host-specific fuel inputs and direct combustion emissions. Limestone calcination emissions are excluded.,1,,,Indicative decomposition pilot envelope only. Child activity propagation is refined in the linked-parent activity issue.,Available for the cement decomposition representation from 2025 as reduced-form child pathways.,"[""S025"",""S026"",""S032""]","[""A002"",""A003"",""A010"",""A016"",""A017"",""A022"",""A023""]",Split from the aggregate Australian cement pathway evidence and the cement decomposition boundary design.,Reduced-form decomposition of aggregate cement-equivalent pathway rows into clinker kiln heat and finishing children.,Medium,Pilot child representation for topology testing. Replace with route-specific engineering evidence before decision-grade use.,Expand to plant-level clinker kiln grinding blending and capture modules with explicit material balances.,Can map to linked TIMES processes for kiln heat clinker production and cement finish grinding.,TRUE,TRUE
