role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__deep_clean_firmed,2025,125,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.8, 0.8]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.3}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.2,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity method. Useful as a sensitivity method when the model values residual emissions reduction more highly than system cost.,"Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__deep_clean_firmed,2030,100,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.2, 0.5]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.12}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.35,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity method. Useful as a sensitivity method when the model values residual emissions reduction more highly than system cost.,"Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__deep_clean_firmed,2035,105,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.0, 0.3]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.06}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.5,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity method. Useful as a sensitivity method when the model values residual emissions reduction more highly than system cost.,"Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__deep_clean_firmed,2040,120,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.0, 0.2]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.04}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.7,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity method. Useful as a sensitivity method when the model values residual emissions reduction more highly than system cost.,"Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__deep_clean_firmed,2045,135,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.0, 0.12]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.025}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.85,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity method. Useful as a sensitivity method when the model values residual emissions reduction more highly than system cost.,"Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__deep_clean_firmed,2050,145,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[0.0, 0.08]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.02}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.95,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S007"", ""S008"", ""S009"", ""S010""]","[""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,Represents an efficient but more conservatively firmed near-zero electricity method. Useful as a sensitivity method when the model values residual emissions reduction more highly than system cost.,"Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__incumbent_thermal_mix,2025,55,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[6.8, 1.1]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.527613}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.7,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S001"", ""S003"", ""S006"", ""S008"", ""S010"", ""S032""]","[""A001"", ""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,"Intended as the declining incumbent benchmark. In Phase 1 this is a national average, not a method-specific dispatch profile.","Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__incumbent_thermal_mix,2030,58,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[6.3, 1.2]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.5}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.45,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S001"", ""S003"", ""S006"", ""S008"", ""S010"", ""S032""]","[""A001"", ""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,"Intended as the declining incumbent benchmark. In Phase 1 this is a national average, not a method-specific dispatch profile.","Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__incumbent_thermal_mix,2035,62,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[5.7, 1.2]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.44}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.2,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S001"", ""S003"", ""S006"", ""S008"", ""S010"", ""S032""]","[""A001"", ""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,"Intended as the declining incumbent benchmark. In Phase 1 this is a national average, not a method-specific dispatch profile.","Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
supply_electricity,supply_electricity__pathway_bundle,electricity__grid_supply__incumbent_thermal_mix,2040,70,2024,AUD_2024,"Annualised generation, storage, transmission proxy, fixed O&M and balancing/system integration cost. Explicit fossil fuel commodity inputs are listed separately; policy carbon costs are excluded.","[""coal"", ""natural_gas""]","[4.5, 1.0]","[""GJ/MWh"", ""GJ/MWh""]",Indicative direct fuel inputs to the residual thermal portion of the grid-supply method. Non-fuel renewable energy inputs are implicit in the output cost rather than represented as commodities.,"[{""pollutant"": ""CO2e"", ""value"": 0.33}]","[{""pollutant"": ""CO2e"", ""value"": 0.0}]",tCO2e/MWh,Direct stack and process-equivalent power-sector emissions intensity at the reduced-form electricity-supply boundary; upstream fuel-cycle emissions excluded.,0.08,,,Phase-1 indicative national upper bound only. Regional power-system constraints are deferred.,Available in all milestone years; national frontier formulation only in Phase 1.,"[""S001"", ""S003"", ""S006"", ""S008"", ""S010"", ""S032""]","[""A001"", ""A002"", ""A011"", ""A012"", ""A022"", ""A023""]","Anchored to Australian official generation and emissions context, plus AEMO ISP and CSIRO GenCost system-cost / emissions-intensity benchmarks.",Synthesis. Direct emissions trajectories are calibrated to recent Australian grid intensity and official projection context; output cost follows CSIRO whole-system benchmark points with smoothed milestone interpolation.,Medium,"Intended as the declining incumbent benchmark. In Phase 1 this is a national average, not a method-specific dispatch profile.","Split into method/NEM region supply curves, renewable classes, storage classes, and explicit thermal backup processes.","This single reduced-form method role can later expand into TIMES supply technologies plus seasonal/time-slice balancing, with cap-act representation for generation and storage.",TRUE,FALSE
