representation_id,role_id,representation_kind,representation_label,description,is_default,direct_method_kind,notes
deliver_residential_building_services__pathway_bundle,deliver_residential_building_services,pathway_bundle,Residential building services pathway bundle,Direct pathway bundle for delivering residential building services,true,pathway,Initial default representation migrated from current package coverage.
deliver_commercial_building_services__pathway_bundle,deliver_commercial_building_services,pathway_bundle,Commercial building services pathway bundle,Direct pathway bundle for delivering commercial building services,true,pathway,Initial default representation migrated from current package coverage.
account_residual_residential_buildings__pathway_bundle,account_residual_residential_buildings,pathway_bundle,Residual residential buildings pathway bundle,Direct residual bundle for residential building activity,true,residual,Initial default representation migrated from current residual coverage.
account_residual_commercial_buildings__pathway_bundle,account_residual_commercial_buildings,pathway_bundle,Residual commercial buildings pathway bundle,Direct residual bundle for commercial building activity,true,residual,Initial default representation migrated from current residual coverage.
deliver_passenger_road_transport__pathway_bundle,deliver_passenger_road_transport,pathway_bundle,Passenger road transport pathway bundle,Direct pathway bundle for passenger road transport,true,pathway,Initial default representation migrated from current package coverage.
deliver_freight_road_transport__pathway_bundle,deliver_freight_road_transport,pathway_bundle,Freight road transport pathway bundle,Direct pathway bundle for freight road transport,true,pathway,Initial default representation migrated from current package coverage.
account_residual_transport__pathway_bundle,account_residual_transport,pathway_bundle,Residual transport pathway bundle,Direct residual bundle for transport activity,true,residual,Initial default representation migrated from current residual coverage.
deliver_low_temperature_heat__pathway_bundle,deliver_low_temperature_heat,pathway_bundle,Low temperature heat pathway bundle,Direct pathway bundle for low temperature useful heat,true,pathway,Initial default representation migrated from current package coverage.
deliver_medium_temperature_heat__pathway_bundle,deliver_medium_temperature_heat,pathway_bundle,Medium temperature heat pathway bundle,Direct pathway bundle for medium temperature useful heat,true,pathway,Initial default representation migrated from current package coverage.
deliver_high_temperature_heat__pathway_bundle,deliver_high_temperature_heat,pathway_bundle,High temperature heat pathway bundle,Direct pathway bundle for high temperature useful heat,true,pathway,Initial default representation migrated from current package coverage.
produce_crude_steel__pathway_bundle,produce_crude_steel,pathway_bundle,Crude steel pathway bundle,Direct pathway bundle for crude steel production,true,pathway,Initial default representation before the planned crude steel decomposition pilot.
produce_cement_equivalent__pathway_bundle,produce_cement_equivalent,pathway_bundle,Cement equivalent pathway bundle,Direct pathway bundle for cement equivalent production,true,pathway,Initial default representation migrated from current package coverage.
account_residual_manufacturing__pathway_bundle,account_residual_manufacturing,pathway_bundle,Residual manufacturing pathway bundle,Direct residual bundle for manufacturing activity,true,residual,Initial default representation migrated from current residual coverage.
account_residual_ippu__pathway_bundle,account_residual_ippu,pathway_bundle,Residual IPPU pathway bundle,Direct residual bundle for industrial process emissions,true,residual,Initial default representation migrated from current residual coverage.
supply_electricity__pathway_bundle,supply_electricity,pathway_bundle,Electricity supply pathway bundle,Direct pathway bundle for delivered grid electricity,true,pathway,Initial default representation migrated from current package coverage.
account_electricity_grid_losses_own_use__pathway_bundle,account_electricity_grid_losses_own_use,pathway_bundle,Electricity losses and own use pathway bundle,Direct residual bundle for grid losses and own use,true,residual,Initial default representation migrated from current residual coverage.
account_residual_mining_energy__pathway_bundle,account_residual_mining_energy,pathway_bundle,Residual mining energy pathway bundle,Direct residual bundle for mining and energy extraction activity,true,residual,Initial default representation migrated from current residual coverage.
account_residual_fugitives__pathway_bundle,account_residual_fugitives,pathway_bundle,Residual fugitives pathway bundle,Direct residual bundle for fugitive emissions,true,residual,Initial default representation migrated from current residual coverage.
produce_livestock_output__pathway_bundle,produce_livestock_output,pathway_bundle,Livestock output pathway bundle,Direct pathway bundle for livestock output,true,pathway,Initial default representation migrated from current package coverage.
produce_cropping_horticulture_output__pathway_bundle,produce_cropping_horticulture_output,pathway_bundle,Cropping and horticulture output pathway bundle,Direct pathway bundle for cropping and horticulture output,true,pathway,Initial default representation migrated from current package coverage.
account_residual_agriculture__pathway_bundle,account_residual_agriculture,pathway_bundle,Residual agriculture pathway bundle,Direct residual bundle for agriculture activity and emissions,true,residual,Initial default representation migrated from current residual coverage.
account_residual_construction__pathway_bundle,account_residual_construction,pathway_bundle,Residual construction pathway bundle,Direct residual bundle for construction activity,true,residual,Initial default representation migrated from current residual coverage.
account_residual_water_waste__pathway_bundle,account_residual_water_waste,pathway_bundle,Residual water and waste pathway bundle,Direct residual bundle for water sector final energy,true,residual,Initial default representation migrated from current residual coverage.
account_residual_waste_emissions__pathway_bundle,account_residual_waste_emissions,pathway_bundle,Residual waste emissions pathway bundle,Direct residual bundle for waste emissions,true,residual,Initial default representation migrated from current residual coverage.
account_residual_other_sectors__pathway_bundle,account_residual_other_sectors,pathway_bundle,Residual other sectors pathway bundle,Direct residual bundle for remaining activity,true,residual,Initial default representation migrated from current residual coverage.
remove_co2_land_sequestration__pathway_bundle,remove_co2_land_sequestration,pathway_bundle,Land sequestration pathway bundle,Direct pathway bundle for land based carbon removal,true,pathway,Initial default representation migrated from current package coverage.
remove_co2_engineered_removals__pathway_bundle,remove_co2_engineered_removals,pathway_bundle,Engineered removals pathway bundle,Direct pathway bundle for engineered carbon removal,true,pathway,Initial default representation migrated from current package coverage.
account_residual_lulucf_sink__pathway_bundle,account_residual_lulucf_sink,pathway_bundle,Residual LULUCF sink pathway bundle,Direct residual bundle for LULUCF sink reconciliation,true,residual,Initial default representation migrated from current residual coverage.
