role_id,representation_id,method_id,year,output_cost_per_unit,cost_basis_year,currency,cost_components_summary,input_commodities,input_coefficients,input_units,input_basis_notes,energy_emissions_by_pollutant,process_emissions_by_pollutant,emissions_units,emissions_boundary_notes,max_share,max_activity,min_share,rollout_limit_notes,availability_conditions,source_ids,assumption_ids,evidence_summary,derivation_method,confidence_rating,review_notes,candidate_expansion_pathway,times_or_vedalang_mapping_notes,would_expand_to_explicit_capacity,would_expand_to_process_chain
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_ccs_transition,2025,105,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""capture_service""]","[1.6, 11.0, 2.0, 0.7, 0.15, 1.2]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 0.7}]","[{""pollutant"": ""CO2e"", ""value"": 0.15}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,0,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.",Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_ccs_transition,2030,100,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""capture_service""]","[1.59,10.606061,2.020202,0.727273,0.15,1.25]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"":""CO2e"",""value"":0.656566}]","[{""pollutant"": ""CO2e"", ""value"": 0.14}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,0.3,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.",Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_ccs_transition,2035,95,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""capture_service""]","[1.58,10.204082,1.938776,0.755102,0.15,1.3]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"":""CO2e"",""value"":0.612245}]","[{""pollutant"": ""CO2e"", ""value"": 0.13}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,0.4,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.",Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_ccs_transition,2040,90,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""capture_service""]","[1.57,9.793814,1.85567,0.783505,0.15,1.3]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"":""CO2e"",""value"":0.56701}]","[{""pollutant"": ""CO2e"", ""value"": 0.12}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,0.4,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.",Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_ccs_transition,2045,88,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""capture_service""]","[1.56,9.375,1.770833,0.8125,0.15,1.3]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"":""CO2e"",""value"":0.520833}]","[{""pollutant"": ""CO2e"", ""value"": 0.11}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,0.35,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.",Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_ccs_transition,2050,85,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel"", ""capture_service""]","[1.55,8.947368,1.684211,0.842105,0.15,1.3]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"":""CO2e"",""value"":0.473684}]","[{""pollutant"": ""CO2e"", ""value"": 0.1}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,0.25,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S023"", ""S024"", ""S030""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Exploratory,"Included because CCS remains a plausible transitional primary steel option, but Australian evidence is sparse and route economics are highly project-specific. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.",Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_conventional,2025,80,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel""]","[1.6, 18.0, 1.0, 0.45, 0.15]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"": ""CO2e"", ""value"": 1.7}]","[{""pollutant"": ""CO2e"", ""value"": 0.3}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,1,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S022"", ""S023"", ""S024"", ""S033"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Low,Route intensity is consistent with conventional primary steel benchmarks rather than a plant-specific Australian reconciliation. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.,Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_conventional,2030,80,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel""]","[1.6,17.979798,1.010101,0.444444,0.15]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"":""CO2e"",""value"":1.686869}]","[{""pollutant"": ""CO2e"", ""value"": 0.29}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,0.75,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S022"", ""S023"", ""S024"", ""S033"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Low,Route intensity is consistent with conventional primary steel benchmarks rather than a plant-specific Australian reconciliation. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.,Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_conventional,2035,80,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel""]","[1.59,17.857143,0.918367,0.438776,0.15]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"":""CO2e"",""value"":1.663265}]","[{""pollutant"": ""CO2e"", ""value"": 0.28}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,0.5,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S022"", ""S023"", ""S024"", ""S033"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Low,Route intensity is consistent with conventional primary steel benchmarks rather than a plant-specific Australian reconciliation. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.,Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
produce_crude_steel_non_h2_dri_residual,produce_crude_steel_non_h2_dri_residual__pathway_bundle,steel__crude_steel_non_h2__bf_bof_conventional,2040,80,2024,AUD_2024,"Annualised process conversion cost excluding explicitly listed commodity feedstocks, fuels and capture service; carbon prices excluded.","[""iron_ore"", ""coal"", ""natural_gas"", ""electricity"", ""scrap_steel""]","[1.58,17.731959,0.927835,0.43299,0.15]","[""t/t_crude_steel"", ""GJ/t_crude_steel"", ""GJ/t_crude_steel"", ""MWh/t_crude_steel"", ""t/t_crude_steel""]",Direct material and energy inputs only. Auxiliary fluxes and minor alloying materials are omitted in Phase 1.,"[{""pollutant"":""CO2e"",""value"":1.649485}]","[{""pollutant"": ""CO2e"", ""value"": 0.27}]",tCO2e/t_crude_steel,Direct on-site route emissions only. Electricity-related emissions are excluded from end-use coefficients and should be represented through electricity-supply methods if desired.,0.3,,,"Indicative upper-bound envelope only. Scrap availability, ore quality, hydrogen supply and plant replacement constraints are only partly represented.",Conventional and scrap routes are available from 2025; CCS and H2 primary routes are treated as material only from 2030 onward through their share caps.,"[""S022"", ""S023"", ""S024"", ""S033"", ""S032""]","[""A002"", ""A003"", ""A009"", ""A014"", ""A022"", ""A023""]","Built from Australian steel-transition studies plus IEA route benchmarks and industry context, with explicit low-confidence caveats for project-specific future routes.","Route archetype synthesis. Per-tonne energy and process emissions are benchmarked to conventional, CCS-enabled, scrap-EAF and H2-DRI route literature, then smoothed across milestone years.",Low,Route intensity is consistent with conventional primary steel benchmarks rather than a plant-specific Australian reconciliation. In the decomposition pilot this row covers only the non-H2 DRI aggregate branch.,Retain as aggregate non-H2 crude-steel coverage while DRI production and DRI melt/refine are tested as explicit child roles.,"This sector should ultimately expand to explicit process chains with material balances, capture modules, and possibly capacity vintages.",TRUE,TRUE
