representation_id,role_id,representation_kind,representation_label,description,is_default,notes
serve_residential_building_occupants__pathway_bundle,serve_residential_building_occupants,pathway_bundle,Residential building services pathway bundle,Direct pathway bundle for delivering residential building services,true,Initial default representation migrated from current package coverage.
provide_residential_water_heating__pathway_bundle,provide_residential_water_heating,pathway_bundle,Residential water heating pathway bundle,Aggregate pathway bundle for useful residential hot-water service.,true,Default direct representation for fast whole-system runs and comparison with the later technology bundle.
provide_residential_water_heating__technology_bundle,provide_residential_water_heating,technology_bundle,Residential water heating technology bundle,Technology bundle where individual residential hot-water technologies compete to satisfy the same useful hot-water service.,false,Non-default representation for pathway-vs-technology comparison; incumbent mix calibration is refined in simple-msm-techrep-1.4.
serve_residential_building_occupants__end_use_decomposition,serve_residential_building_occupants,role_decomposition,Residential building end-use decomposition,Optional decomposition that exposes residential water heating as an explicit child role for representation comparison.,false,Initial decomposition surface for water-heating comparison; additional residential end uses can be added later.
serve_commercial_building_occupants__pathway_bundle,serve_commercial_building_occupants,pathway_bundle,Commercial building services pathway bundle,Direct pathway bundle for delivering commercial building services,true,Initial default representation migrated from current package coverage.
serve_commercial_building_occupants__end_use_decomposition,serve_commercial_building_occupants,role_decomposition,Commercial building end-use decomposition,Decompose commercial building services into explicit end-use children plus a remaining-services residual companion.,false,Optional decomposition companion to the default reduced-form representation; activates the commercial residual companion until explicit commercial end-use children are authored.
account_remaining_residential_building_services__pathway_bundle,account_remaining_residential_building_services,residual_stub,Residual residential buildings pathway bundle,Direct residual bundle for residential building activity,true,Initial default representation migrated from current residual coverage.
account_remaining_commercial_building_services__pathway_bundle,account_remaining_commercial_building_services,residual_stub,Residual commercial buildings pathway bundle,Direct residual bundle for commercial building activity,true,Initial default representation migrated from current residual coverage.
move_passengers_by_road__pathway_bundle,move_passengers_by_road,pathway_bundle,Passenger road transport pathway bundle,Direct pathway bundle for passenger road transport,true,Initial default representation migrated from current package coverage.
move_freight_by_road__pathway_bundle,move_freight_by_road,pathway_bundle,Freight road transport pathway bundle,Direct pathway bundle for freight road transport,true,Initial default representation migrated from current package coverage.
move_passengers_by_rail__pathway_bundle,move_passengers_by_rail,residual_stub,Passenger rail residual bundle,Direct residual bundle for passenger rail activity,true,Minimum viable residual representation pending explicit passenger rail pathways.
move_freight_by_rail__pathway_bundle,move_freight_by_rail,residual_stub,Freight rail residual bundle,Direct residual bundle for rail freight activity,true,Minimum viable residual representation pending explicit freight rail pathways.
move_passengers_by_air__pathway_bundle,move_passengers_by_air,residual_stub,Passenger aviation residual bundle,Direct residual bundle for domestic passenger aviation,true,Minimum viable residual representation pending explicit aviation pathways.
move_freight_by_marine__pathway_bundle,move_freight_by_marine,residual_stub,Marine freight residual bundle,Direct residual bundle for domestic marine freight,true,Minimum viable residual representation pending explicit shipping pathways.
operate_off_road_mobile_equipment__pathway_bundle,operate_off_road_mobile_equipment,residual_stub,Other non-road transport residual bundle,Direct residual bundle for other non-road transport activity,true,Minimum viable residual representation pending richer non-road transport coverage.
deliver_low_temperature_heat__pathway_bundle,deliver_low_temperature_heat,pathway_bundle,Low temperature heat pathway bundle,Direct pathway bundle for low temperature useful heat,true,Initial default representation migrated from current package coverage.
deliver_medium_temperature_heat__pathway_bundle,deliver_medium_temperature_heat,pathway_bundle,Medium temperature heat pathway bundle,Direct pathway bundle for medium temperature useful heat,true,Initial default representation migrated from current package coverage.
deliver_high_temperature_heat__pathway_bundle,deliver_high_temperature_heat,pathway_bundle,High temperature heat pathway bundle,Direct pathway bundle for high temperature useful heat,true,Initial default representation migrated from current package coverage.
make_crude_steel__pathway_bundle,make_crude_steel,pathway_bundle,Crude steel pathway bundle,Direct pathway bundle for crude steel production,true,Initial default representation before the planned crude steel decomposition pilot.
make_crude_steel__h2_dri_decomposition,make_crude_steel,role_decomposition,Crude steel H2 DRI decomposition,Optional topology that keeps non-H2 crude steel aggregate while decomposing the H2 DRI route into DRI production and melt/refine child roles.,false,Pilot decomposition option; parent direct methods are inactive when this representation is selected.
make_non_h2_dri_crude_steel__pathway_bundle,make_non_h2_dri_crude_steel,pathway_bundle,Non-H2 DRI crude steel pathway bundle,"Direct pathway bundle covering conventional BF-BOF, scrap EAF, and CCS-influenced BF-BOF crude steel while H2 DRI is decomposed.",true,Required child representation for complete crude-steel coverage under the decomposition pilot.
make_direct_reduced_iron__technology_bundle,make_direct_reduced_iron,technology_bundle,Direct reduced iron technology bundle,"Technology bundle for making DRI from hydrogen, gas, or imported residual supply.",true,Required intermediate child representation for the decomposed H2 DRI crude-steel route.
melt_and_refine_dri_into_crude_steel__technology_bundle,melt_and_refine_dri_into_crude_steel,technology_bundle,DRI melt and refine technology bundle,Technology bundle for converting DRI into crude steel through EAF or electric smelter finishing.,true,Required finishing child representation for the decomposed H2 DRI crude-steel route.
make_cement_equivalent__pathway_bundle,make_cement_equivalent,pathway_bundle,Cement equivalent pathway bundle,Direct pathway bundle for cement equivalent production,true,Initial default representation migrated from current package coverage.
